FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,6203.823552,7,58592055.1424,0.00392156862745098
1,6203.84352,2,58592074.9184,0.041528879054234
2,6203.86352,1,58592094.9248,0.0341405945868421
3,6203.88352,2,58592114.9184,0.0413321859569324
4,6203.90352,1,58592134.912,0.0342245989304813
5,6203.92352,2,58592154.9312,0.0412492060565083
6,6203.94352,1,58592174.9248,0.0341907923043826
7,6203.96352,2,58592194.9312,0.041100661790317
8,6203.98352,1,58592214.9888,0.0341323990411211
9,6204.00352,2,58592234.944,0.0409449464216199
10,6204.02352,1,58592254.9248,0.0341846456450919
11,6204.04352,2,58592274.9696,0.0408855287151433
12,6204.06352,1,58592294.9376,0.0341928411908128
13,6204.08352,2,58592314.9696,0.0408025488147192
14,6204.10352,1,58592334.976,0.0341703034400803
15,6204.12352,2,58592354.9568,0.0405700002048886
16,6204.14352,1,58592374.9632,0.0341651812240048
17,6204.16352,2,58592394.944,0.0404859958612494
18,6204.18352,1,58592414.9376,0.0340699080049993
19,6204.20352,2,58592434.9696,0.0401868584424365
20,6204.22352,1,58592454.9632,0.0340176614010285
21,6204.24352,2,58592474.9696,0.0399112832175713
22,6204.26352,1,58592494.9632,0.0340627369024935
23,6204.28352,2,58592514.9696,0.0398590366136005
24,6204.30352,1,58592534.976,0.0339807814452845
25,6204.32352,2,58592554.9952,0.0400321675169545
26,6204.34352,1,58592574.976,0.0339746347859938
27,6204.36352,2,58592595.008,0.0400741696887742
28,6204.38352,1,58592614.976,0.0339910258774356
29,6204.40352,2,58592634.9824,0.0400137275390825
30,6204.42352,1,58592654.9888,0.0339367303870346
31,6204.44352,2,58592674.9952,0.0402216895117504
32,6204.46352,1,58592694.9888,0.0338650193619768
33,6204.48352,2,58592714.9952,0.0404808736451739
34,6204.50352,1,58592734.9888,0.0339520970352613
35,6204.52352,2,58592754.9824,0.0405597557727375
36,6204.54352,1,58592775.04,0.0339234126252382
37,6204.56352,2,58592794.9952,0.0409777286045034
38,6204.58352,1,58592815.0016,0.0338701415780523
39,6204.60352,2,58592835.0208,0.0414315569487983
40,6204.62352,1,58592855.0144,0.0338189194172967
41,6204.64352,2,58592874.9952,0.0418413342348434
42,6204.66352,1,58592895.0272,0.033785112791198
43,6204.68352,2,58592915.0208,0.0418280164730469
44,6204.70352,1,58592935.0144,0.0338619460323314
45,6204.72352,2,58592955.0592,0.0414213125166472
46,6204.74352,1,58592975.0144,0.0337789661319073
47,6204.76352,2,58592995.0336,0.0414059458684205
48,6204.78352,1,58593015.0144,0.033730817300797
49,6204.80352,2,58593035.0208,0.041100661790317
50,6204.82352,1,58593055.3216,0.0337338906304424
51,6204.84352,2,58593075.0336,0.0408773331694224
52,6204.86352,1,58593095.0528,0.0338435060544594
53,6204.88352,2,58593115.0464,0.0405454135677259
54,6204.90352,1,58593135.0656,0.0337707705861864
55,6204.92352,2,58593155.1104,0.0404696047698076
