mouse_id,genotype,condition,week,behavior,mean_dFF,n_events
376,NE,Social,Preinduction,Novel_interaction,0.1549309526539411,3
376,NE,Social,Preinduction,Social_interaction,1.4856923728000695,10
372,NE,Social,Preinduction,Novel_interaction,1.0400591804964558,5
372,NE,Social,Preinduction,Social_interaction,1.9611239580201063,3
423,NE,Social,Preinduction,Novel_interaction,0.6907178125741535,3
423,NE,Social,Preinduction,Social_interaction,1.3116992468856117,13
459,NE,Social,Preinduction,Novel_interaction,1.0149427130388897,5
459,NE,Social,Preinduction,Social_interaction,0.7517160823207624,7
398,NE,Social,Preinduction,Social_interaction,1.1054211311184674,5
400,NE,Social,Preinduction,Novel_interaction,0.05928680043403939,4
400,NE,Social,Preinduction,Social_interaction,0.49438184069928404,8
376,NE,Social,W1,Novel_interaction,1.1114860630931827,5
376,NE,Social,W1,Social_interaction,1.7732730706922712,12
372,NE,Social,W1,Novel_interaction,0.13955854202156615,2
372,NE,Social,W1,Social_interaction,2.2926258125989256,6
423,NE,Social,W1,Novel_interaction,2.2895871271028616,1
423,NE,Social,W1,Social_interaction,2.8033354084366735,5
459,NE,Social,W1,Novel_interaction,0.9044098264349,6
459,NE,Social,W1,Social_interaction,1.2641751665292897,7
398,NE,Social,W1,Novel_interaction,-0.12179254176386506,2
398,NE,Social,W1,Social_interaction,2.0324850233390643,9
400,NE,Social,W1,Novel_interaction,0.4577049012212752,4
400,NE,Social,W1,Social_interaction,0.307926139933115,8
376,NE,Social,W2,Novel_interaction,0.31815529759167444,10
376,NE,Social,W2,Social_interaction,1.8925300369363431,14
372,NE,Social,W2,Novel_interaction,1.1685129976606905,4
372,NE,Social,W2,Social_interaction,2.6040355317940196,7
423,NE,Social,W2,Novel_interaction,0.7846653082109355,7
423,NE,Social,W2,Social_interaction,0.9814267450873929,10
459,NE,Social,W2,Novel_interaction,0.0389949431387333,12
459,NE,Social,W2,Social_interaction,0.4684454847345407,11
398,NE,Social,W2,Novel_interaction,1.4294553125205738,7
398,NE,Social,W2,Social_interaction,1.680353779503707,8
400,NE,Social,W2,Novel_interaction,0.6309824027942441,13
400,NE,Social,W2,Social_interaction,0.0032403930052222565,3
