FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,12932.628544,7,65715264.8064,0.00392156862745098
1,12932.648512,2,65715284.4672,0.0340453213678366
2,12932.668512,1,65715304.4736,0.0316491486876882
3,12932.688512,2,65715324.4928,0.0339479992624009
4,12932.708512,1,65715344.5248,0.0314575778064622
5,12932.728512,2,65715364.5568,0.0317987173970947
6,12932.748512,1,65715384.5248,0.0314155756346426
7,12932.768512,2,65715404.4928,0.0337441350625935
8,12932.788512,1,65715424.4736,0.0313131313131313
9,12932.808512,2,65715444.48,0.033630421865716
10,12932.828512,1,65715464.6016,0.0313028868809802
11,12932.848512,2,65715484.4544,0.0336754973671809
12,12932.868512,1,65715504.4864,0.0312803491302477
13,12932.888512,2,65715524.5312,0.0334265576659086
14,12932.908512,1,65715544.4736,0.031218882537341
15,12932.928512,2,65715564.4928,0.0331171758149446
16,12932.948512,1,65715584.5504,0.0311246337615506
17,12932.968512,2,65715604.4416,0.0329788759809044
18,12932.988512,1,65715624.5248,0.0310590693957834
19,12933.008512,2,65715644.4928,0.0328610650111664
20,12933.028512,1,65715664.576,0.0310744360440101
21,12933.048512,2,65715684.5184,0.0327227651771262
22,12933.068512,1,65715704.4992,0.0310170672239638
23,12933.088512,2,65715724.5184,0.0327073985288995
24,12933.108512,1,65715744.576,0.0310068227918127
25,12933.128512,2,65715764.5568,0.0328067695207655
26,12933.148512,1,65715784.6144,0.0309115495728072
27,12933.168512,2,65715804.5312,0.0328016473046899
28,12933.188512,1,65715824.832,0.0308439363206097
29,12933.208512,2,65715844.544,0.0326940807671031
30,12933.228512,1,65715864.5376,0.0308152519105866
31,12933.248512,2,65715884.5312,0.0324676788165632
32,12933.268512,1,65715904.5888,0.0308326674452435
33,12933.288512,2,65715924.5568,0.032284303481058
34,12933.308512,1,65715944.6784,0.0307906652734239
35,12933.328512,2,65715964.5824,0.0321828836027619
36,12933.348512,1,65715984.5248,0.030700514270494
37,12933.368512,2,65716004.5568,0.0320824881676809
38,12933.388512,1,65716024.8448,0.0307117831458602
39,12933.408512,2,65716044.5568,0.0319667260843731
40,12933.428512,1,65716064.6272,0.0306984653840638
41,12933.448512,2,65716084.5696,0.0319073083778966
42,12933.468512,1,65716104.64,0.0305765566414654
43,12933.488512,2,65716124.544,0.0319708238572336
44,12933.508512,1,65716144.576,0.0306718298604708
45,12933.528512,2,65716164.5952,0.0317823263056529
46,12933.548512,1,65716184.5888,0.0306349499047268
47,12933.568512,2,65716204.5696,0.0317997418403098
48,12933.588512,1,65716224.6016,0.0306636343147499
49,12933.608512,2,65716244.5952,0.0319277972421989
50,12933.628512,1,65716264.6912,0.0306267543590059
51,12933.648512,2,65716284.5952,0.0320394615526461
52,12933.668512,1,65716304.576,0.0306513409961686
53,12933.688512,2,65716324.6464,0.0321869813756223
54,12933.708512,1,65716344.6656,0.03057348331182
55,12933.728512,2,65716364.9536,0.0320722437355297
56,12933.748512,1,65716384.64,0.030564263322884
57,12933.768512,2,65716404.608,0.0319124305939722
58,12933.788512,1,65716424.6272,0.0305191878214191
59,12933.808512,2,65716444.6336,0.031874526195013
60,12933.828512,1,65716464.6016,0.0305857766304014
61,12933.848512,2,65716484.608,0.0316727108816358
62,12933.868512,1,65716504.6656,0.0305304566967853
63,12933.888512,2,65716524.7488,0.0315262155018747
64,12933.908512,1,65716544.6016,0.0305284078103551
65,12933.928512,2,65716564.6592,0.0315846087651361
66,12933.948512,1,65716584.6656,0.0304392812506403
67,12933.968512,2,65716604.6336,0.0315231421722294
68,12933.988512,1,65716624.6656,0.0305017722867621
69,12934.008512,2,65716644.672,0.0314934333189911
70,12934.028512,1,65716664.7808,0.0304372323642101
71,12934.048512,2,65716684.6592,0.031382793451759
72,12934.068512,1,65716704.6656,0.0304474767963612
73,12934.088512,2,65716724.7488,0.0313602557010265
74,12934.108512,1,65716744.6656,0.030473087876739
75,12934.128512,2,65716764.6848,0.0314043067592763
76,12934.148512,1,65716784.7296,0.0304362079209949
77,12934.168512,2,65716804.6592,0.0314278689532239
78,12934.188512,1,65716824.6528,0.0304669412174483
79,12934.208512,2,65716844.6848,0.0314995799782818
80,12934.228512,1,65716864.6912,0.0305120167189133
81,12934.248512,2,65716884.7104,0.0313858667814043
82,12934.268512,1,65716904.6528,0.0305130411621284
83,12934.288512,2,65716924.7104,0.0314524555903866
84,12934.308512,1,65716944.6272,0.0304146946134776
85,12934.328512,2,65716964.6976,0.0314452844878808
86,12934.348512,1,65716984.6656,0.0304054746245416
87,12934.368512,2,65717004.6464,0.0314667977953982
88,12934.388512,1,65717024.704,0.0304556723420821
89,12934.408512,2,65717044.6592,0.0313612801442416
90,12934.428512,1,65717064.7168,0.0304269879320589
91,12934.448512,2,65717084.8128,0.0312680558116664
92,12934.468512,1,65717104.6784,0.0304146946134776
93,12934.488512,2,65717124.6848,0.031237322515213
94,12934.508512,1,65717144.7168,0.0303419591452046
95,12934.528512,2,65717164.6976,0.0312793246870326
96,12934.548512,1,65717184.6912,0.0303972790788207
97,12934.568512,2,65717204.7232,0.0314258200667937
98,12934.588512,1,65717224.7168,0.030409572397402
99,12934.608512,2,65717244.7488,0.0312905935623988
100,12934.628512,1,65717264.8064,0.0303870346466695
101,12934.648512,2,65717284.6976,0.0313336201774336
102,12934.668512,1,65717304.7168,0.0303685946687975
