FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,5259.240544,7,55746043.648,0.00392156862745098
1,5259.260512,2,55746063.5136,0.0508861433810724
2,5259.280512,1,55746083.4688,0.0328405761468642
3,5259.300512,2,55746103.5136,0.050609543712992
4,5259.320512,1,55746123.5968,0.0327330096092774
5,5259.340512,2,55746143.488,0.0501874731083656
6,5259.360512,1,55746163.5584,0.0325086565451677
7,5259.380512,2,55746183.616,0.049945704509599
8,5259.400512,1,55746203.6224,0.0323908455754298
9,5259.420512,2,55746223.5264,0.0499928288974942
10,5259.440512,1,55746243.5072,0.0321869813756223
11,5259.460512,2,55746263.5264,0.0496732026143791
12,5259.480512,1,55746283.5072,0.0320056549265474
13,5259.500512,2,55746303.5264,0.0492685475444096
14,5259.520512,1,55746323.6224,0.0319411150039953
15,5259.540512,2,55746343.5136,0.049163029893253
16,5259.560512,1,55746363.5072,0.0319011617186059
17,5259.580512,2,55746383.552,0.0491835187575553
18,5259.600512,1,55746403.5328,0.0316624664494847
19,5259.620512,2,55746423.5392,0.0500430266150347
20,5259.640512,1,55746443.6224,0.0316491486876882
21,5259.660512,2,55746463.552,0.0505019771754052
22,5259.680512,1,55746483.5712,0.0314237711803635
23,5259.700512,2,55746503.5264,0.0504794394246727
24,5259.720512,1,55746523.5328,0.0313172290859918
25,5259.740512,2,55746543.552,0.0503124551806093
26,5259.760512,1,55746563.5712,0.0313633290306718
27,5259.780512,2,55746583.552,0.0500215133075174
28,5259.800512,1,55746603.584,0.0312045403323294
29,5259.820512,2,55746623.6288,0.049899604564919
30,5259.840512,1,55746643.584,0.031146147069068
31,5259.860512,2,55746663.5648,0.0505050505050505
32,5259.880512,1,55746683.5968,0.0311676603765853
33,5259.900512,2,55746703.5648,0.0508840944946422
34,5259.920512,1,55746723.5712,0.0310969737947426
35,5259.940512,2,55746743.5776,0.0509076566885898
36,5259.960512,1,55746763.584,0.0309935050300162
37,5259.980512,2,55746783.5904,0.0510234187718975
38,5260.000512,1,55746803.6608,0.0309545761878419
39,5260.020512,2,55746823.616,0.0509517077468396
40,5260.040512,1,55746843.5968,0.0308183252402319
41,5260.060512,2,55746863.5776,0.0503175773966849
42,5260.080512,1,55746883.6608,0.030718954248366
43,5260.100512,2,55746903.5648,0.0498309668695064
44,5260.120512,1,55746923.6992,0.0306677320876104
45,5260.140512,2,55746943.5904,0.0495871493843096
46,5260.160512,1,55746963.6096,0.0307056364865695
47,5260.180512,2,55746983.6928,0.0493914807302231
48,5260.200512,1,55747003.6224,0.0305683610957445
49,5260.220512,2,55747023.5904,0.0493371852398222
50,5260.240512,1,55747043.6992,0.0306390476775872
51,5260.260512,2,55747063.6288,0.049172249882189
52,5260.280512,1,55747083.5968,0.0305601655500236
53,5260.300512,2,55747103.616,0.0487993525518881
54,5260.320512,1,55747123.6608,0.0305949966193374
55,5260.340512,2,55747143.616,0.0486098305570922
56,5260.360512,1,55747163.648,0.0305325055832155
57,5260.380512,2,55747183.6416,0.0483311820025816
58,5260.400512,1,55747203.6608,0.030409572397402
59,5260.420512,2,55747223.6928,0.0478476448050485
60,5260.440512,1,55747243.6608,0.0304792345360297
61,5260.460512,2,55747263.6672,0.0475013829983404
62,5260.480512,1,55747283.6736,0.0305089433892679
63,5260.500512,2,55747303.6288,0.0471848300448706
64,5260.520512,1,55747323.6608,0.030473087876739
65,5260.540512,2,55747343.6416,0.046960476980761
66,5260.560512,1,55747363.6224,0.0305325055832155
67,5260.580512,2,55747383.6672,0.0468682770914008
68,5260.600512,1,55747403.6736,0.030491527854611
69,5260.620512,2,55747423.6416,0.0466592906755179
70,5260.640512,1,55747443.712,0.0304249390456287
71,5260.660512,2,55747463.6416,0.0464718175671523
72,5260.680512,1,55747483.6736,0.0303603991230766
73,5260.700512,2,55747503.68,0.046223902309095
74,5260.720512,1,55747523.6736,0.0304034257381113
75,5260.740512,2,55747543.68,0.0461214579875837
76,5260.760512,1,55747563.6864,0.0303655213391522
77,5260.780512,2,55747583.6928,0.0458889093777532
78,5260.800512,1,55747603.6864,0.0304628434445879
79,5260.820512,2,55747623.68,0.0458090028069744
80,5260.840512,1,55747643.7248,0.03025488147192
81,5260.860512,2,55747663.7056,0.0458305161144918
82,5260.880512,1,55747683.6864,0.0303409347019895
83,5260.900512,2,55747704.1152,0.0458294916712767
84,5260.920512,1,55747723.776,0.0302886880980187
85,5260.940512,2,55747743.7056,0.0458100272501895
86,5260.960512,1,55747763.712,0.0302815169955129
87,5260.980512,2,55747783.7056,0.045687094064376
88,5261.000512,1,55747803.6864,0.0303132747351814
89,5261.020512,2,55747823.7184,0.0457260229065503
90,5261.040512,1,55747843.6864,0.0302374659372631
91,5261.060512,2,55747863.68,0.0456809474050853
92,5261.080512,1,55747883.6992,0.0301934148790133
93,5261.100512,2,55747903.68,0.0458489560923638
94,5261.120512,1,55747923.7376,0.0302661503472862
