FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,7532.913568,7,57490686.8736,0.00392156862745098
1,7532.933536,2,57490706.8544,0.0454402032495339
2,7532.953536,1,57490726.8352,0.0333097711393857
3,7532.973536,2,57490746.8416,0.0455549408896265
4,7532.993536,1,57490766.8224,0.0351824533366116
5,7533.013536,2,57490786.8416,0.0458294916712767
6,7533.033536,1,57490806.8608,0.0331550802139037
7,7533.053536,2,57490826.8288,0.0439598828036962
8,7533.073536,1,57490846.8864,0.0330761980863401
9,7533.093536,2,57490866.8672,0.0436443542934415
10,7533.113536,1,57490886.8864,0.0330260003687996
11,7533.133536,2,57490907.0208,0.0432499436556232
12,7533.153536,1,57490926.8352,0.0330003892884217
13,7533.173536,2,57490946.8928,0.0431741348577048
14,7533.193536,1,57490966.8736,0.0328108672936259
15,7533.213536,2,57490986.9312,0.0432489192124081
16,7533.233536,1,57491006.8608,0.0327616940193005
17,7533.253536,2,57491026.944,0.0433155080213904
18,7533.273536,1,57491046.8608,0.0327135451881902
19,7533.293536,2,57491066.88,0.0432171614727396
20,7533.313536,1,57491086.8992,0.0326377363902719
21,7533.333536,2,57491106.8544,0.0429825639764788
22,7533.353536,1,57491126.8736,0.0325332431823304
23,7533.373536,2,57491146.88,0.0425922511115209
24,7533.393536,1,57491166.9504,0.0324922654537259
25,7533.413536,2,57491186.9696,0.0422582826233942
26,7533.433536,1,57491206.8864,0.0323683078246973
27,7533.453536,2,57491226.8544,0.0418331386891225
28,7533.473536,1,57491246.848,0.0323765033704182
29,7533.493536,2,57491266.944,0.0413875058905485
30,7533.513536,1,57491286.9376,0.0323232323232323
31,7533.533536,2,57491306.8928,0.0411406150757064
32,7533.553536,1,57491326.9248,0.0323058167885754
33,7533.573536,2,57491346.9312,0.0408343065543877
34,7533.593536,1,57491366.9376,0.0321972258077735
35,7533.613536,2,57491386.9568,0.0407246911303706
36,7533.633536,1,57491406.912,0.0321511258630934
37,7533.653536,2,57491426.9184,0.0406089290470629
38,7533.673536,1,57491446.9248,0.0321326858852214
39,7533.693536,2,57491466.9056,0.0404470670190751
40,7533.713536,1,57491486.9376,0.0321224414530703
41,7533.733536,2,57491506.944,0.0403866248693835
42,7533.753536,1,57491526.9248,0.0320865859405413
43,7533.773536,2,57491546.944,0.0405474624541562
44,7533.793536,1,57491566.9376,0.032019997131559
45,7533.813536,2,57491586.9952,0.0403927715286742
46,7533.833536,1,57491606.9376,0.0320179482451288
47,7533.853536,2,57491626.944,0.0402595939107095
48,7533.873536,1,57491646.9632,0.0320005327104719
49,7533.893536,2,57491666.944,0.0401448562706169
50,7533.913536,1,57491686.9504,0.0320005327104719
51,7533.933536,2,57491706.944,0.040136660724896
52,7533.953536,1,57491726.9504,0.0320077038129776
53,7533.973536,2,57491746.9696,0.0402165672956748
54,7533.993536,1,57491766.9376,0.0319831171758149
55,7534.013536,2,57491786.9312,0.040227836171041
56,7534.033536,1,57491806.9632,0.0319216505829082
57,7534.053536,2,57491826.9056,0.0401848095560063
58,7534.073536,1,57491846.9888,0.0319841416190301
59,7534.093536,2,57491866.9568,0.0400669985862684
60,7534.113536,1,57491886.9632,0.0319697994140185
61,7534.133536,2,57491906.944,0.0401223185198844
62,7534.153536,1,57491926.9632,0.0319503349929313
63,7534.173536,2,57491947.008,0.0400751941319893
64,7534.193536,1,57491966.976,0.0319687749708034
65,7534.213536,2,57491986.9952,0.0399194787632921
66,7534.233536,1,57492006.976,0.0319083328211117
67,7534.253536,2,57492026.9824,0.0399973364476407
68,7534.273536,1,57492046.976,0.0318396951256992
69,7534.293536,2,57492066.9952,0.0399215276497224
70,7534.313536,1,57492087.0144,0.031947261663286
71,7534.333536,2,57492106.9952,0.0400229475280185
72,7534.353536,1,57492127.0016,0.0318786239678735
73,7534.373536,2,57492146.9952,0.0401110496445182
74,7534.393536,1,57492167.0016,0.0319093572643268
75,7534.413536,2,57492187.0592,0.0401837851127912
76,7534.433536,1,57492207.0016,0.0318489151146352
77,7534.453536,2,57492227.008,0.0401059274284426
78,7534.473536,1,57492247.0272,0.0319083328211117
79,7534.493536,2,57492267.008,0.0400444608355359
80,7534.513536,1,57492287.0272,0.0318355973528387
81,7534.533536,2,57492307.0464,0.0399020632286352
82,7534.553536,1,57492327.0144,0.0318417440121294
83,7534.573536,2,57492347.0336,0.0396520990841478
84,7534.593536,1,57492367.04,0.0318243284774725
85,7534.613536,2,57492387.136,0.0395056037043867
86,7534.633536,1,57492407.0272,0.031856086217141
87,7534.653536,2,57492427.0208,0.0394533571004159
88,7534.673536,1,57492447.1424,0.0318120351588911
89,7534.693536,2,57492467.0592,0.0392218329338005
90,7534.713536,1,57492487.232,0.0317823263056529
91,7534.733536,2,57492507.072,0.0394031593828754
92,7534.753536,1,57492527.04,0.0317495441227693
93,7534.773536,2,57492547.072,0.0394287704632532
94,7534.793536,1,57492567.0528,0.03180179072674
95,7534.813536,2,57492587.1232,0.0395558014219272
96,7534.833536,1,57492607.0016,0.0317218841559612
97,7534.853536,2,57492627.0464,0.0395394103304854
98,7534.873536,1,57492647.0528,0.0316880775298625
99,7534.893536,2,57492667.0592,0.039635707992706
100,7534.913536,1,57492687.0912,0.0317362263609728
101,7534.933536,2,57492707.0592,0.039572192513369
102,7534.953536,1,57492727.0656,0.0316942241891532
103,7534.973536,2,57492747.0976,0.0395414592169156
104,7534.993536,1,57492767.0528,0.0317280308152519
105,7535.013536,2,57492787.072,0.0394922859425902
106,7535.033536,1,57492807.0912,0.0318058884996005
107,7535.053536,2,57492827.0848,0.0394431126682648
108,7535.073536,1,57492847.0784,0.0316870530866474
109,7535.093536,2,57492867.0976,0.0394984326018809
110,7535.113536,1,57492887.1424,0.0316665642223452
111,7535.133536,2,57492907.2,0.0395711680701539
112,7535.153536,1,57492927.0784,0.031719835269531
113,7535.173536,2,57492947.072,0.0395250681254738
