mouse_id,week,behavior,mean_dFF
372,Preinduction,Novel_interaction,1.0823423676909247
372,W1,Novel_interaction,2.6958103313190667
372,W2,Novel_interaction,1.445774540970972
376,Preinduction,Novel_interaction,-0.7652121762738607
376,W1,Novel_interaction,0.4588000343482933
376,W2,Novel_interaction,0.6633727381863392
398,W1,Novel_interaction,1.091105365037068
398,W2,Novel_interaction,1.3332302120235906
400,Preinduction,Novel_interaction,1.3317654793140987
400,W1,Novel_interaction,2.5988924165923635
400,W2,Novel_interaction,-0.12330044845936314
423,Preinduction,Novel_interaction,0.3980045743305012
423,W1,Novel_interaction,1.2283963775138227
423,W2,Novel_interaction,0.8442770361720758
459,Preinduction,Novel_interaction,1.4139303712000397
459,W1,Novel_interaction,0.7585132103923562
459,W2,Novel_interaction,0.36530391431838494
372,Preinduction,Social_interaction,0.7628541244023154
372,W1,Social_interaction,2.733094177980026
372,W2,Social_interaction,2.8889235783249005
376,Preinduction,Social_interaction,1.4235088678357355
376,W1,Social_interaction,1.6582721491486272
376,W2,Social_interaction,1.743032052562576
398,Preinduction,Social_interaction,1.3207849410441053
398,W1,Social_interaction,2.2262221432073543
398,W2,Social_interaction,1.4364006941021799
400,Preinduction,Social_interaction,0.21851824717988289
400,W1,Social_interaction,0.7289952396510213
400,W2,Social_interaction,2.5829433080604978
423,Preinduction,Social_interaction,0.8932106996160708
423,W1,Social_interaction,3.3563201142555124
423,W2,Social_interaction,1.3784044769966581
459,Preinduction,Social_interaction,0.9974959254684627
459,W1,Social_interaction,2.0202073627330046
459,W2,Social_interaction,1.2434673143425168
