FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,13118.972544,7,61877889.152,0.00392156862745098
1,13118.992512,2,61877909.12,0.0395209703526134
2,13119.012512,1,61877929.1392,0.0354631507775524
3,13119.032512,2,61877949.0688,0.0393611572110558
4,13119.052512,1,61877969.1008,0.0333435777654845
5,13119.072512,2,61877989.0816,0.0390425553711558
6,13119.092512,1,61878009.088,0.0352039666441289
7,13119.112512,2,61878029.12,0.0387208802016104
8,13119.132512,1,61878049.088,0.0351937222119778
9,13119.152512,2,61878069.1584,0.0385518470711168
10,13119.172512,1,61878089.1648,0.0350892290040363
11,13119.192512,2,61878109.1456,0.0385538959575471
12,13119.212512,1,61878129.1008,0.0350257135246993
13,13119.232512,2,61878149.1072,0.0383674472923966
14,13119.252512,1,61878169.1648,0.0350011268875366
15,13119.272512,2,61878189.1072,0.038170754195095
16,13119.292512,1,61878209.088,0.0349355625217694
17,13119.312512,2,61878229.0816,0.0379935255188805
18,13119.332512,1,61878249.1904,0.0348894625770894
19,13119.352512,2,61878269.1328,0.037816296842666
20,13119.372512,1,61878289.1648,0.0347818960395025
21,13119.392512,2,61878309.1456,0.0376093593132133
22,13119.412512,1,61878329.1264,0.0347747249369967
23,13119.432512,2,61878349.0816,0.0374761816952486
24,13119.452512,1,61878369.1264,0.0346476939783228
25,13119.472512,2,61878389.1328,0.0374270084209232
26,13119.492512,1,61878409.1904,0.0345718851804045
27,13119.512512,2,61878429.184,0.0372856352572377
28,13119.532512,1,61878449.1392,0.0344141209252771
29,13119.552512,2,61878469.1712,0.0371401643206917
30,13119.572512,1,61878489.1648,0.0343936320609749
31,13119.592512,2,61878509.0944,0.0372292908804065
32,13119.612512,1,61878529.1776,0.0344120720388469
33,13119.632512,2,61878549.1584,0.037115577683529
34,13119.652512,1,61878569.1776,0.0343516298891552
35,13119.672512,2,61878589.1584,0.0372805130411621
36,13119.692512,1,61878609.1392,0.0343249943655623
37,13119.712512,2,61878629.1584,0.0371944598110927
38,13119.732512,1,61878649.216,0.034413096482062
39,13119.752512,2,61878669.2992,0.0372528530743541
40,13119.772512,1,61878689.152,0.0342635277726556
41,13119.792512,2,61878709.1712,0.037225193107546
42,13119.812512,1,61878729.1904,0.0342625033294404
43,13119.832512,2,61878749.2224,0.0373286618722724
44,13119.852512,1,61878769.1648,0.0342666011023009
45,13119.872512,2,61878789.1584,0.0371688487307149
46,13119.892512,1,61878809.2416,0.0342655766590858
47,13119.912512,2,61878829.1712,0.0371985575839531
48,13119.932512,1,61878849.216,0.0343342143544983
49,13119.952512,2,61878869.184,0.0371217243428197
50,13119.972512,1,61878889.1776,0.0342266478169115
51,13119.992512,2,61878909.1712,0.0372651463929354
52,13120.012512,1,61878929.2288,0.0342543077837195
53,13120.032512,2,61878949.1584,0.0372344130964821
54,13120.052512,1,61878969.2544,0.034249185567644
55,13120.072512,2,61878989.2224,0.0373593951687258
56,13120.092512,1,61879009.1776,0.0343024566148298
57,13120.112512,2,61879029.2352,0.037343004077284
58,13120.132512,1,61879049.216,0.0342092322822546
59,13120.152512,2,61879069.2608,0.0372938308029586
60,13120.172512,1,61879089.28,0.0341866945315221
61,13120.192512,2,61879109.2224,0.0372282664371914
62,13120.212512,1,61879129.1904,0.034204110066179
63,13120.232512,2,61879149.2736,0.0372077775728891
64,13120.252512,1,61879169.2032,0.0341692789968652
65,13120.272512,2,61879189.2096,0.0370213289077386
66,13120.292512,1,61879209.2672,0.0341866945315221
67,13120.312512,2,61879229.2608,0.0369311779048087
68,13120.332512,1,61879249.28,0.0340883479828713
69,13120.352512,2,61879269.2864,0.0369219579158727
70,13120.372512,1,61879289.2032,0.0341108857336038
71,13120.392512,2,61879309.2096,0.0369444956666052
72,13120.412512,1,61879329.2288,0.0340156125145983
73,13120.432512,2,61879349.2608,0.0368348802425882
74,13120.452512,1,61879369.2672,0.0341231790521851
75,13120.472512,2,61879389.2736,0.0368359046858033
76,13120.492512,1,61879409.2416,0.0340832257667957
77,13120.512512,2,61879429.2864,0.0368348802425882
78,13120.532512,1,61879449.216,0.0340781035507202
79,13120.552512,2,61879469.248,0.0367641936607454
80,13120.572512,1,61879489.3312,0.0340811768803655
81,13120.592512,2,61879509.2608,0.0367734136496814
82,13120.612512,1,61879529.3312,0.0340996168582375
83,13120.632512,2,61879549.2864,0.0368891757329891
84,13120.652512,1,61879569.2416,0.0341006413014527
85,13120.672512,2,61879589.2864,0.0369803511791341
86,13120.692512,1,61879609.2928,0.0339756592292089
87,13120.712512,2,61879629.3376,0.0371125043538837
88,13120.732512,1,61879649.28,0.0339705370131334
89,13120.752512,2,61879669.2608,0.0371586042985637
90,13120.772512,1,61879689.3312,0.0340873235396562
91,13120.792512,2,61879709.2992,0.0373368574179933
92,13120.812512,1,61879729.2672,0.0340822013235806
93,13120.832512,2,61879749.44,0.0375448193906612
94,13120.852512,1,61879769.344,0.034112934620034
95,13120.872512,2,61879789.312,0.0377538058065441
96,13120.892512,1,61879809.28,0.0341416190300572
97,13120.912512,2,61879829.248,0.037952547790276
98,13120.932512,1,61879849.3312,0.0340279058331797
99,13120.952512,2,61879869.3376,0.0380304054746245
100,13120.972512,1,61879889.3312,0.0340914213125166
101,13120.992512,2,61879909.3504,0.0380765054193046
102,13121.012512,1,61879929.3696,0.0340873235396562
103,13121.032512,2,61879949.2992,0.0382086585940541
104,13121.052512,1,61879969.3568,0.0341631323375745
105,13121.072512,2,61879989.3632,0.0381994386051181
106,13121.092512,1,61880009.2672,0.0341887434179523
107,13121.112512,2,61880029.3888,0.0381861208433217
108,13121.132512,1,61880049.3056,0.0341426434732723
109,13121.152512,2,61880069.2992,0.0380488454524966
110,13121.172512,1,61880089.3696,0.0341559612350687
111,13121.192512,2,61880109.376,0.0380631876575082
112,13121.212512,1,61880129.344,0.0341375212571967
113,13121.232512,2,61880149.3888,0.0379392300284795
114,13121.252512,1,61880169.3312,0.0341006413014527
115,13121.272512,2,61880189.3888,0.0379259122666831
116,13121.292512,1,61880209.3568,0.034049419140697
117,13121.312512,2,61880229.3248,0.0379320589259737
118,13121.332512,1,61880249.3696,0.0341119101768189
119,13121.352512,2,61880269.3376,0.0378531767984101
120,13121.372512,1,61880289.344,0.034103714631098
121,13121.392512,2,61880309.4016,0.0379013256295204
122,13121.412512,1,61880329.408,0.0340791279939353
123,13121.432512,2,61880349.4016,0.0377968324215789
124,13121.452512,1,61880369.408,0.0341293257114758
125,13121.472512,2,61880389.3376,0.0376687770196898
126,13121.492512,1,61880409.3568,0.0341426434732723
127,13121.512512,2,61880429.3888,0.0375202327534985
128,13121.532512,1,61880449.3312,0.0340934701989469
129,13121.552512,2,61880469.4016,0.0375038416620567
130,13121.572512,1,61880489.344,0.0340176614010285
131,13121.592512,2,61880509.3888,0.0374823283545393
132,13121.612512,1,61880529.3696,0.0341006413014527
133,13121.632512,2,61880549.4016,0.0374690105927428
134,13121.652512,1,61880569.3824,0.0341006413014527
135,13121.672512,2,61880589.4272,0.0375499416067367
136,13121.692512,1,61880609.3824,0.0341713278832954
137,13121.712512,2,61880629.4528,0.037506914991702
138,13121.732512,1,61880649.408,0.0340750302210748
139,13121.752512,2,61880669.44,0.0373091974511853
140,13121.772512,1,61880689.4592,0.0341467412461327
141,13121.792512,2,61880709.4528,0.0369834245087795
142,13121.812512,1,61880729.3952,0.0340791279939353
143,13121.832512,2,61880749.4272,0.0368195135943615
144,13121.852512,1,61880769.4592,0.0340524924703424
145,13121.872512,2,61880789.4144,0.036705800397484
146,13121.892512,1,61880809.4464,0.0339889769910054
147,13121.912512,2,61880829.4656,0.0367795603089721
148,13121.932512,1,61880849.4976,0.0339541459216916
149,13121.952512,2,61880869.4784,0.0367846825250476
150,13121.972512,1,61880889.4336,0.0339387792734649
151,13121.992512,2,61880909.4656,0.0367201426024955
152,13122.012512,1,61880929.4848,0.0339326326141742
153,13122.032512,2,61880949.4144,0.0367529247853791
154,13122.052512,1,61880969.472,0.03398590366136
155,13122.072512,2,61880989.4912,0.0367088737271293
156,13122.092512,1,61881009.408,0.0339172659659475
157,13122.112512,2,61881029.4656,0.0366494560206528
158,13122.132512,1,61881049.472,0.0339807814452845
159,13122.152512,2,61881069.44,0.0364507140369209
160,13122.172512,1,61881089.4592,0.0339633659106276
161,13122.192512,2,61881109.4272,0.0364927162087406
162,13122.212512,1,61881129.4848,0.0340258569467494
163,13122.232512,2,61881149.504,0.0364117851947467
164,13122.252512,1,61881169.4976,0.0339910258774356
165,13122.272512,2,61881189.4784,0.0363226586350319
166,13122.292512,1,61881209.472,0.0339643903538427
167,13122.312512,2,61881229.4784,0.0362652898149856
168,13122.332512,1,61881249.5232,0.0339715614563485
169,13122.352512,2,61881269.5296,0.0361946032331428
170,13122.372512,1,61881289.4592,0.0340381502653308
171,13122.392512,2,61881309.4912,0.0361290388673756
172,13122.412512,1,61881329.4592,0.034040199151761
173,13122.432512,2,61881349.4912,0.0361741143688405
174,13122.452512,1,61881369.4592,0.0339920503206507
175,13122.472512,2,61881389.4784,0.0360522056262421
176,13122.492512,1,61881409.4464,0.0340022947528019
177,13122.512512,2,61881429.5168,0.0361925543467126
178,13122.532512,1,61881449.536,0.0340371258221157
179,13122.552512,2,61881469.5424,0.0361648943799045
180,13122.572512,1,61881489.472,0.0340442969246215
181,13122.592512,2,61881509.4784,0.0361239166513
182,13122.612512,1,61881529.5104,0.03412215460897
183,13122.632512,2,61881549.4912,0.0361526010613232
184,13122.652512,1,61881569.4976,0.0341108857336038
185,13122.672512,2,61881589.5424,0.036224312086381
186,13122.692512,1,61881609.5104,0.0340361013789006
187,13122.712512,2,61881629.4784,0.0361464544020325
188,13122.732512,1,61881649.5232,0.0340555657999877
189,13122.752512,2,61881669.504,0.0360644989448235
190,13122.772512,1,61881689.5104,0.0340248325035343
191,13122.792512,2,61881709.5552,0.0359343946565042
192,13122.812512,1,61881729.5104,0.0341108857336038
193,13122.832512,2,61881749.5808,0.0359938123629807
194,13122.852512,1,61881769.5616,0.0340903968693015
195,13122.872512,2,61881789.4912,0.0360614256151782
196,13122.892512,1,61881809.536,0.0341078124039584
