mouse_id,genotype,condition,week,mean_dFF,n_events
376,NE,,Preinduction,1.684480534013482,6
372,NE,,Preinduction,2.6179631826234475,12
423,NE,,Preinduction,1.6130282866424526,3
459,NE,,Preinduction,4.656908390735804,6
398,NE,,Preinduction,2.3835924817734986,6
400,NE,,Preinduction,9.629705423721257,1
376,NE,,W1,0.7237147945422311,9
372,NE,,W1,4.809899730349032,5
423,NE,,W1,2.8248428049906824,5
459,NE,,W1,3.96511920040748,5
398,NE,,W1,4.153172918275713,3
459,NE,,W2,1.1372094653905644,10
398,NE,,W2,2.3406832313580903,11
400,NE,,W2,5.1122955561180214,6
376,NE,,W2,0.21088045679653272,17
372,NE,,W2,-0.1926764639443485,5
423,NE,,W2,-0.12115482866072146,7
