mouse_id,genotype,condition,week,mean_dFF,n_events
376,NE,,Preinduction,0.10975414616518973,6
372,NE,,Preinduction,0.8358973979269653,12
423,NE,,Preinduction,-1.0108021053317484,3
459,NE,,Preinduction,1.0507541368022502,6
398,NE,,Preinduction,0.3575487369351282,6
400,NE,,Preinduction,-0.6876900792825524,1
376,NE,,W1,0.38722378859115547,9
372,NE,,W1,-0.016658539414082706,5
423,NE,,W1,1.2513834854901562,5
459,NE,,W1,0.3121075914185083,5
398,NE,,W1,0.7117297711441731,3
459,NE,,W2,0.17156103348436585,10
398,NE,,W2,0.6243668198781637,11
400,NE,,W2,1.1433673662951547,6
376,NE,,W2,0.2705693088164442,17
372,NE,,W2,0.5772788131340303,5
423,NE,,W2,0.15599973441202516,7
