mouse_id,genotype,condition,week,mean_dFF,n_events
376,NE,,Preinduction,1.3915698311883566,7
372,NE,,Preinduction,2.5571717184255953,12
423,NE,,Preinduction,0.8840407600740843,4
459,NE,,Preinduction,3.27755607141522,7
398,NE,,Preinduction,2.255417720073484,7
400,NE,,Preinduction,9.49387320845238,1
376,NE,,W1,1.4852370789660085,9
372,NE,,W1,5.088470358577465,5
423,NE,,W1,1.5742903494107146,5
459,NE,,W1,3.81069767202465,6
398,NE,,W1,3.3218369313694645,3
459,NE,,W2,1.0471895585889806,10
398,NE,,W2,2.2233586064248616,12
400,NE,,W2,4.383425323568669,6
376,NE,,W2,-0.12452743332169623,17
372,NE,,W2,-0.07086220846147526,5
423,NE,,W2,-0.7950833670230859,7
