mouse_id,genotype,condition,week,mean_dFF,n_events
376,NE,,Preinduction,-0.3230343912796088,7
372,NE,,Preinduction,-0.011235984740736504,12
423,NE,,Preinduction,0.423269667811018,4
459,NE,,Preinduction,0.6990253194630064,7
398,NE,,Preinduction,0.6662347444332986,7
400,NE,,Preinduction,-1.0444820189781192,1
376,NE,,W1,1.0465102266453605,9
372,NE,,W1,0.805152468746886,5
423,NE,,W1,-0.27026776565124894,5
459,NE,,W1,0.3801768485258766,6
398,NE,,W1,-1.0238575970561674,3
459,NE,,W2,-0.37132658151056874,10
398,NE,,W2,0.17197965507421972,12
400,NE,,W2,-0.6548123827804767,6
376,NE,,W2,-0.0032348066668160293,17
372,NE,,W2,-0.3136683123131336,5
423,NE,,W2,-0.6259387546631313,7
