FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,4885.49456,7,59058066.0736,0.00392259307066609
1,4885.514528,2,59058086.0672,0.068526031102096
2,4885.534528,1,59058106.0096,0.0359733234986785
3,4885.554528,2,59058126.1312,0.06787960743336
4,4885.574528,1,59058146.0224,0.035786874833528
5,4885.594528,2,59058166.0032,0.067724916507878
6,4885.614528,1,59058186.048,0.035613743930174
7,4885.634528,2,59058206.0288,0.0672126949003217
8,4885.654528,1,59058226.0224,0.035423197492163
9,4885.674528,2,59058246.0928,0.0665170979572602
10,4885.694528,1,59058266.048,0.0351711844612453
11,4885.714528,2,59058286.1952,0.0657702788534432
12,4885.734528,1,59058306.0736,0.0350738623558096
13,4885.754528,2,59058326.016,0.0651177085254164
14,4885.774528,1,59058346.048,0.034949904726781
15,4885.794528,2,59058366.272,0.0643749871944598
16,4885.814528,1,59058386.2144,0.0348157026656012
17,4885.834528,2,59058406.1568,0.0638064212100723
18,4885.854528,1,59058426.112,0.0347009650255086
19,4885.874528,2,59058446.0928,0.0636220214313521
20,4885.894528,1,59058466.0736,0.034540127440736
21,4885.914528,2,59058486.0544,0.0633259573421845
22,4885.934528,1,59058506.048,0.0345093941442826
23,4885.954528,2,59058526.1056,0.0631016042780749
24,4885.974528,1,59058546.1248,0.0344171942549224
25,4885.994528,2,59058566.0672,0.0626518737066404
26,4886.014528,1,59058586.2784,0.0342205011576208
27,4886.034528,2,59058606.0928,0.0618190013727539
28,4886.054528,1,59058626.0736,0.034112934620034
29,4886.074528,2,59058646.08,0.0612258487512037
30,4886.094528,1,59058666.0608,0.0339828303317147
31,4886.114528,2,59058686.0544,0.061018911221751
32,4886.134528,1,59058706.0736,0.0339275103980986
33,4886.154528,2,59058726.0928,0.0609062224680886
34,4886.174528,1,59058746.112,0.0337984305529944
35,4886.194528,2,59058766.0544,0.0610506689614195
36,4886.214528,1,59058786.1248,0.0337052062204192
37,4886.234528,2,59058806.1056,0.0611111111111111
38,4886.254528,1,59058826.1888,0.0336734484807507
39,4886.274528,2,59058846.0672,0.0613549285963079
40,4886.294528,1,59058866.0864,0.033475730940234
41,4886.314528,2,59058886.144,0.0612842420144651
42,4886.334528,1,59058906.1632,0.0334695842809433
43,4886.354528,2,59058926.1184,0.0614819595549819
44,4886.374528,1,59058946.1248,0.033457290962362
45,4886.394528,2,59058966.1184,0.0614963017599934
46,4886.414528,1,59058986.2272,0.0334152887905423
47,4886.434528,2,59059006.1312,0.0609584690720593
48,4886.454528,1,59059026.112,0.0332544512057697
49,4886.474528,2,59059046.144,0.0609051980248735
50,4886.494528,1,59059066.1504,0.0332749400700719
51,4886.514528,2,59059086.1568,0.0603222898354744
52,4886.534528,1,59059106.1376,0.0332964533775893
53,4886.554528,2,59059126.1568,0.0602751654475792
