week,mouse_id,behavior,n_bouts,total_duration_s,mean_duration_s,median_duration_s
Preinduction,ID376,In zone 3(NeutralZone / Nose-point),10,101.19100000000023,10.119100000000023,4.922000000000001
Preinduction,ID376,In zone 3(O1_prevC1 / Nose-point),6,36.030999999999835,6.005166666666639,3.090999999999923
Preinduction,ID376,In zone 3(C2_prevO2 / Nose-point),3,163.00900000000001,54.336333333333336,64.09899999999999
Preinduction,ID376,In zone 3(O2_prevC2 / Nose-point),3,16.604999999999976,5.534999999999992,2.1999999999999886
Preinduction,ID376,In zone 3(C1_prevO1 / Nose-point),5,395.4140000000021,79.08280000000042,113.11200000000099
Preinduction,ID372,In zone 3(C1_prevO1 / Nose-point),7,215.38300000000032,30.769000000000045,30.189000000000036
Preinduction,ID372,In zone 3(O1_prevC1 / Nose-point),8,32.2270000000002,4.028375000000025,3.301000000000016
Preinduction,ID372,In zone 3(C2_prevO2 / Nose-point),9,290.8820000000038,32.32022222222265,25.567999999999984
Preinduction,ID372,In zone 3(O2_prevC2 / Nose-point),12,34.171999999999244,2.8476666666666035,3.071499999999901
Preinduction,ID372,In zone 3(O1_round / Nose-point),3,12.68500000000008,4.22833333333336,4.542000000000087
Preinduction,ID372,In zone 3(O2_round / Nose-point),2,4.621000000000066,2.310500000000033,2.310500000000033
Preinduction,ID372,In zone 3(NeutralZone / Nose-point),4,10.502999999999759,2.6257499999999396,2.6404999999998893
Preinduction,ID374,In zone 3(C2_prevO2 / Nose-point),11,360.1709999999999,32.74281818181817,29.950000000000045
Preinduction,ID374,In zone 3(NeutralZone / Nose-point),15,36.629000000000055,2.441933333333337,2.3400000000000034
Preinduction,ID374,In zone 3(O2_prevC2 / Nose-point),10,34.29000000000029,3.429000000000029,2.320500000000152
Preinduction,ID374,In zone 3(O1_prevC1 / Nose-point),7,18.183999999999955,2.597714285714279,2.5009999999999764
Preinduction,ID374,In zone 3(O2_round / Nose-point),3,4.722999999999843,1.574333333333281,1.6010000000000133
Preinduction,ID374,In zone 3(C1_prevO1 / Nose-point),8,127.23800000000088,15.90475000000011,13.844500000000082
Preinduction,ID374,In zone 3(O1_round / Nose-point),4,15.164999999999637,3.791249999999909,3.230999999999945
Preinduction,ID429,In zone 3(O2_round / Nose-point),9,33.5300000000001,3.725555555555567,3.1810000000001537
Preinduction,ID429,In zone 3(O2_prevC2 / Nose-point),18,83.44700000000026,4.635944444444458,4.041000000000011
Preinduction,ID429,In zone 3(C1_prevO1 / Nose-point),11,293.54800000000034,26.68618181818185,15.464000000000027
Preinduction,ID429,In zone 3(NeutralZone / Nose-point),10,31.149000000000015,3.1149000000000013,2.901000000000142
Preinduction,ID429,In zone 3(C2_prevO2 / Nose-point),9,103.9290000000007,11.547666666666744,11.983999999999991
Preinduction,ID429,In zone 3(O1_round / Nose-point),8,27.36899999999975,3.421124999999969,3.870999999999988
Preinduction,ID429,In zone 3(O1_prevC1 / Nose-point),8,29.188000000000045,3.6485000000000056,3.7210000000000747
Preinduction,ID423,In zone 3(O2_prevC2 / Nose-point),10,75.6439999999999,7.56439999999999,4.781499999999994
Preinduction,ID423,In zone 3(O1_prevC1 / Nose-point),7,19.30500000000004,2.7578571428571483,3.261000000000024
Preinduction,ID423,In zone 3(C2_prevO2 / Nose-point),5,586.306000000053,117.2612000000106,119.3010000000263
Preinduction,ID423,In zone 3(O1_round / Nose-point),3,7.282999999999902,2.4276666666666338,2.3610000000000184
Preinduction,ID423,In zone 3(NeutralZone / Nose-point),2,17.265000000000015,8.632500000000007,8.632500000000007
Preinduction,ID423,In zone 3(O2_round / Nose-point),2,6.58199999999988,3.29099999999994,3.29099999999994
Preinduction,ID423,In zone 3(C1_prevO1 / Nose-point),1,3.001000000000033,3.001000000000033,3.001000000000033
Preinduction,ID463,In zone 3(O2_prevC2 / Nose-point),6,77.4039999999998,12.900666666666632,6.891999999999953
Preinduction,ID463,In zone 3(C1_prevO1 / Nose-point),8,196.1780000000007,24.52225000000009,20.696000000000055
Preinduction,ID463,In zone 3(O1_prevC1 / Nose-point),4,13.424999999999972,3.356249999999993,2.910999999999996
Preinduction,ID463,In zone 3(C2_prevO2 / Nose-point),6,323.91700000000003,53.98616666666667,29.158499999999993
Preinduction,ID463,In zone 3(NeutralZone / Nose-point),10,28.467000000000183,2.8467000000000184,3.090499999999995
Preinduction,ID463,In zone 3(O1_round / Nose-point),1,1.2199999999999918,1.2199999999999918,1.2199999999999918
Preinduction,ID463,In zone 3(O2_round / Nose-point),1,3.401000000000181,3.401000000000181,3.401000000000181
Preinduction,ID459,In zone 3(NeutralZone / Nose-point),7,21.547000000000004,3.0781428571428577,3.341
Preinduction,ID459,In zone 3(O2_round / Nose-point),4,12.823999999999973,3.2059999999999933,3.4709999999999894
Preinduction,ID459,In zone 3(C1_prevO1 / Nose-point),7,473.0570000000025,67.57957142857178,31.047000000001162
Preinduction,ID459,In zone 3(O2_prevC2 / Nose-point),11,35.19199999999963,3.1992727272726937,2.3609999999998763
Preinduction,ID459,In zone 3(O1_prevC1 / Nose-point),3,14.865000000000038,4.9550000000000125,3.4610000000000127
Preinduction,ID459,In zone 3(O1_round / Nose-point),1,7.342000000000013,7.342000000000013,7.342000000000013
Preinduction,ID459,In zone 3(C2_prevO2 / Nose-point),2,61.31799999999987,30.658999999999935,30.658999999999935
Preinduction,ID398,In zone 3(O1_prevC1 / Nose-point),5,16.284999999999755,3.256999999999951,3.4610000000000003
Preinduction,ID398,In zone 3(O2_prevC2 / Nose-point),9,52.85400000000006,5.872666666666674,6.322000000000003
Preinduction,ID398,In zone 3(O2_round / Nose-point),4,7.383999999999865,1.8459999999999663,1.5610000000000035
Preinduction,ID398,In zone 3(NeutralZone / Nose-point),4,14.604000000000038,3.6510000000000096,1.600000000000037
Preinduction,ID398,In zone 3(C2_prevO2 / Nose-point),4,261.23500000000274,65.30875000000069,39.671000000000646
Preinduction,ID398,In zone 3(C1_prevO1 / Nose-point),4,256.297,64.07425,31.369500000000002
Preinduction,ID398,In zone 3(O1_round / Nose-point),3,7.782999999999959,2.5943333333333194,2.7609999999999673
Preinduction,ID400,In zone 3(C2_prevO2 / Nose-point),5,649.8840000000079,129.97680000000156,110.393
Preinduction,ID400,In zone 3(NeutralZone / Nose-point),5,14.464999999999854,2.892999999999971,2.781000000000006
Preinduction,ID400,In zone 3(C1_prevO1 / Nose-point),2,174.83300000000003,87.41650000000001,87.41650000000001
Preinduction,ID400,In zone 3(O2_prevC2 / Nose-point),1,3.001000000000033,3.001000000000033,3.001000000000033
W1,ID376,In zone(C1_prevO1 / Nose-point),7,187.1560000000002,26.73657142857146,20.78599999999983
W1,ID376,In zone(O1_prevC1 / Nose-point),5,31.029000000000302,6.20580000000006,4.341000000000008
W1,ID376,In zone(C2_prevO2 / Nose-point),8,253.52700000000695,31.69087500000087,25.497500000000002
W1,ID376,In zone(NeutralZone / Nose-point),15,104.4090000000001,6.9606000000000074,5.102000000000146
W1,ID376,In zone(O2_prevC2 / Nose-point),5,28.929999999999808,5.785999999999961,3.702000000000112
W1,ID376,In zone(O2_round / Nose-point),2,14.244000000000199,7.122000000000099,7.122000000000099
W1,ID376,In zone(O1_round / Nose-point),1,1.2010000000000787,1.2010000000000787,1.2010000000000787
W1,ID372,In zone(C1_prevO1 / Nose-point),5,403.2619999999997,80.65239999999994,50.01500000000001
W1,ID372,In zone(O2_prevC2 / Nose-point),3,9.162999999999961,3.0543333333333202,3.4209999999999994
W1,ID372,In zone(C2_prevO2 / Nose-point),6,187.19500000000085,31.19916666666681,19.145000000000437
W1,ID372,In zone(O1_prevC1 / Nose-point),2,8.401999999999802,4.200999999999901,4.200999999999901
W1,ID372,In zone(NeutralZone / Nose-point),2,3.381000000000199,1.6905000000000996,1.6905000000000996
W1,ID372,In zone(O2_round / Nose-point),1,3.9209999999999354,3.9209999999999354,3.9209999999999354
W1,ID374,In zone(C1_prevO1 / Nose-point),6,264.6389999999999,44.10649999999998,38.63149999999999
W1,ID374,In zone(NeutralZone / Nose-point),8,26.929000000000073,3.366125000000009,2.860999999999997
W1,ID374,In zone(C2_prevO2 / Nose-point),8,324.6960000000003,40.58700000000004,36.85100000000004
W1,ID374,In zone(O2_prevC2 / Nose-point),3,9.12299999999982,3.04099999999994,3.661000000000058
W1,ID374,In zone(O1_prevC1 / Nose-point),2,7.242999999999995,3.6214999999999975,3.6214999999999975
W1,ID429,In zone(C1_prevO1 / Nose-point),8,461.7180000000006,57.71475000000007,28.21849999999998
W1,ID429,In zone(NeutralZone / Nose-point),3,11.603000000000112,3.867666666666704,3.6410000000000764
W1,ID429,In zone(C2_prevO2 / Nose-point),6,64.91999999999999,10.819999999999999,12.144000000000005
W1,ID429,In zone(O1_prevC1 / Nose-point),7,27.668999999999784,3.9527142857142548,1.8799999999999955
W1,ID429,In zone(O2_prevC2 / Nose-point),8,33.80999999999993,4.226249999999991,3.4510000000000502
W1,ID429,In zone(O2_round / Nose-point),3,8.642000000000124,2.880666666666708,3.6410000000000764
W1,ID429,In zone(O1_round / Nose-point),1,2.8209999999999695,2.8209999999999695,2.8209999999999695
W1,ID423,In zone(C2_prevO2 / Nose-point),7,567.9580000000249,81.13685714286069,58.221000000012396
W1,ID423,In zone(NeutralZone / Nose-point),4,5.100999999999932,1.275249999999983,1.2604999999999649
