method,trial_key,mouse_id,genotype,trial_type,timepoint,peak_number,peak_time_s,peak_amp_z,analysis_window,interaction_bout_number,trial_mean_z,mean_absolute_deviation,threshold_z
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,1,6.640000000000327,1.7520443988474883,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,2,11.600000000000364,2.850946255184065,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,3,37.39996799999972,2.4297042012063743,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,4,42.839968000000226,2.7889938006751067,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,5,45.31996799999979,2.3336166826213236,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,6,50.43993599999976,3.2073745092000783,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,7,76.5999040000006,3.9176907355643706,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,8,105.39990399999988,3.25523452068095,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,9,106.51990399999977,1.5458704412349062,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,10,109.95990400000028,3.4631470578748265,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,11,111.39990399999988,2.7600825074194217,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,12,113.1599040000001,2.341197205184228,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
