FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,4184.72256,7,37775074.9312,0.00392156862745098
1,4184.742528,2,37775094.8864,0.0407328866760915
2,4184.762528,1,37775114.9824,0.0259122666830578
3,4184.782528,2,37775134.8736,0.0405351691355748
4,4184.802528,1,37775154.8672,0.0257770401786629
5,4184.822528,2,37775175.5776,0.0402432028192677
6,4184.842528,1,37775194.8928,0.0257196713586166
7,4184.862528,2,37775214.8736,0.0397627389513799
8,4184.882528,1,37775234.9056,0.0256879136189481
9,4184.902528,2,37775254.8864,0.0393017395045793
10,4184.922528,1,37775274.88,0.0255199049316696
11,4184.942528,2,37775294.8992,0.0388735222406622
12,4184.962528,1,37775314.9056,0.0254656094412687
13,4184.982528,2,37775334.9248,0.0386112647775934
14,4185.002528,1,37775354.9056,0.0254645849980536
15,4185.022528,2,37775375.0272,0.0383848628270535
16,4185.042528,1,37775394.8928,0.0253191140615076
17,4185.062528,2,37775414.8864,0.0380263077017641
18,4185.082528,1,37775434.8928,0.0252074497510603
19,4185.102528,2,37775454.8736,0.0375540393795972
20,4185.122528,1,37775474.8928,0.0251019320999037
21,4185.142528,2,37775494.8992,0.0373716884873071
22,4185.162528,1,37775514.9056,0.0251705697953162
23,4185.182528,2,37775534.8992,0.0371821664925113
24,4185.202528,1,37775554.88,0.0250609543712992
25,4185.222528,2,37775574.912,0.0368563935501055
26,4185.242528,1,37775594.9056,0.0250783699059561
27,4185.262528,2,37775614.976,0.0366156493945541
28,4185.282528,1,37775634.9184,0.0249882189030262
29,4185.302528,2,37775654.9248,0.0365132050730428
30,4185.322528,1,37775674.944,0.0249103612186776
31,4185.342528,2,37775694.9504,0.0363974429897351
32,4185.362528,1,37775714.9568,0.0249103612186776
33,4185.382528,2,37775734.912,0.0363800274550782
34,4185.402528,1,37775754.9184,0.0248447968529104
35,4185.422528,2,37775774.9248,0.0363124142028807
36,4185.442528,1,37775794.944,0.0248345524207593
37,4185.462528,2,37775814.9248,0.0364763251172988
38,4185.482528,1,37775834.944,0.0247669391685619
39,4185.502528,2,37775854.9504,0.0362949986682238
40,4185.522528,1,37775874.9184,0.0247577191796259
41,4185.542528,2,37775894.9632,0.0360409367508759
42,4185.562528,1,37775914.9568,0.0246819103817075
43,4185.582528,2,37775934.9376,0.0358944413711148
44,4185.602528,1,37775954.9952,0.0247484991906899
45,4185.622528,2,37775974.976,0.0356403794537669
46,4185.642528,1,37775994.9568,0.0246470793123937
47,4185.662528,2,37776014.976,0.0354160263896572
48,4185.682528,1,37776034.9568,0.0246091749134346
49,4185.702528,2,37776054.9504,0.0353422664781691
50,4185.722528,1,37776074.9696,0.024631712664167
51,4185.742528,2,37776094.9504,0.0353043620792099
52,4185.762528,1,37776114.9696,0.0245886860491323
53,4185.782528,2,37776135.0016,0.0353770975474829
54,4185.802528,1,37776154.9568,0.0246112237998648
55,4185.822528,2,37776174.976,0.0354641752207675
56,4185.842528,1,37776194.9824,0.0245302927858709
57,4185.862528,2,37776215.424,0.0356024750548077
58,4185.882528,1,37776234.9952,0.0244841928411908
59,4185.902528,2,37776255.0016,0.0354529063454013
60,4185.922528,1,37776275.008,0.0243909685086156
61,4185.942528,2,37776295.0016,0.0351527444833733
62,4185.962528,1,37776315.0208,0.0243735529739587
63,4185.982528,2,37776334.9888,0.0349191714303276
64,4186.002528,1,37776355.008,0.0244985350462024
65,4186.022528,2,37776374.9888,0.0346272051140205
66,4186.042528,1,37776395.008,0.0244391173397259
67,4186.062528,2,37776415.0144,0.0344889052799803
68,4186.082528,1,37776435.0464,0.0243868707357551
69,4186.102528,2,37776455.0016,0.0344653430860327
70,4186.122528,1,37776475.008,0.0243284774724937
71,4186.142528,2,37776495.0272,0.0345247607925093
72,4186.162528,1,37776515.0336,0.0243827729628947
73,4186.182528,2,37776535.0144,0.0347398938676829
74,4186.202528,1,37776555.008,0.0243868707357551
75,4186.222528,2,37776575.0144,0.034586227385416
76,4186.242528,1,37776595.0208,0.0243807240764644
77,4186.262528,2,37776615.0784,0.0344591964267421
78,4186.282528,1,37776635.0208,0.0243479418935808
79,4186.302528,2,37776655.0656,0.0342655766590858
80,4186.322528,1,37776675.0464,0.0243919929518307
81,4186.342528,2,37776695.04,0.0343823631856086
82,4186.362528,1,37776715.0464,0.0243663818714529
83,4186.382528,2,37776735.04,0.0347573094023398
84,4186.402528,1,37776755.0592,0.0243059397217612
85,4186.422528,2,37776775.04,0.0348157026656012
86,4186.442528,1,37776795.0592,0.0244278484643596
87,4186.462528,2,37776815.04,0.0346517917511832
88,4186.482528,1,37776835.0336,0.0243540885528715
89,4186.502528,2,37776855.0784,0.0345186141332186
90,4186.522528,1,37776875.136,0.0243612596553773
91,4186.542528,2,37776895.0528,0.034467391972463
92,4186.562528,1,37776915.0592,0.0243715040875284
93,4186.582528,2,37776935.0656,0.0345186141332186
94,4186.602528,1,37776955.0464,0.0243786751900342
95,4186.622528,2,37776975.0528,0.0345882762718462
96,4186.642528,1,37776995.072,0.0243346241317844
97,4186.662528,2,37777015.0784,0.0344325609031491
98,4186.682528,1,37777035.0976,0.0243387219046448
99,4186.702528,2,37777055.0656,0.0344930030528408
100,4186.722528,1,37777075.0976,0.0243100374946217
101,4186.742528,2,37777095.0528,0.0345124674739279
102,4186.762528,1,37777115.0848,0.0243059397217612
103,4186.782528,2,37777135.0912,0.0346661339561948
104,4186.802528,1,37777155.0976,0.0242936464031799
105,4186.822528,2,37777175.0912,0.0344366586760096
106,4186.842528,1,37777195.0848,0.0243151597106972
107,4186.862528,2,37777215.104,0.0342368922490626
108,4186.882528,1,37777235.1104,0.0243090130514066
109,4186.902528,2,37777255.104,0.0339828303317147
110,4186.922528,1,37777275.1616,0.0243612596553773
111,4186.942528,2,37777295.1168,0.034003319196017
112,4186.962528,1,37777315.072,0.0243684307578831
113,4186.982528,2,37777335.104,0.0339930747638658
114,4187.002528,1,37777355.1232,0.024322330813203
115,4187.022528,2,37777375.0784,0.0338978015448604
116,4187.042528,1,37777395.0976,0.0243120863810519
117,4187.062528,2,37777415.1168,0.0339254615116684
118,4187.082528,1,37777435.1104,0.0243786751900342
119,4187.102528,2,37777455.104,0.0339336570573893
120,4187.122528,1,37777475.1232,0.0243479418935808
121,4187.142528,2,37777495.0912,0.0337984305529944
122,4187.162528,1,37777515.0848,0.0243274530292786
123,4187.182528,2,37777535.1424,0.0338353105087385
124,4187.202528,1,37777555.136,0.0242711086524474
125,4187.222528,2,37777575.1424,0.0338455549408896
126,4187.242528,1,37777595.1232,0.0243233552564181
127,4187.262528,2,37777615.1296,0.0335791997049604
128,4187.282528,1,37777635.1104,0.0243745774171738
129,4187.302528,2,37777655.0912,0.0335341242034954
130,4187.322528,1,37777675.1104,0.0242639375499416
131,4187.342528,2,37777695.1296,0.0334204110066179
132,4187.362528,1,37777715.1232,0.024276230868523
133,4187.382528,2,37777735.1424,0.0333609933001414
134,4187.402528,1,37777755.1232,0.0243571618825168
135,4187.422528,2,37777775.2064,0.0334132399041121
136,4187.442528,1,37777795.136,0.0242874997438892
137,4187.462528,2,37777815.1296,0.0333732866187227
138,4187.482528,1,37777835.1104,0.0243407707910751
139,4187.502528,2,37777855.1936,0.0332954289343742
140,4187.522528,1,37777875.1616,0.0243233552564181
141,4187.542528,2,37777895.168,0.0331263958038806
142,4187.562528,1,37777915.1872,0.0242741819820927
143,4187.582528,2,37777935.168,0.0330075603909275
144,4187.602528,1,37777955.1872,0.0242936464031799
145,4187.622528,2,37777975.1808,0.0330618558813285
146,4187.642528,1,37777995.1744,0.0242659864363718
147,4187.662528,2,37778015.1936,0.0330536603356076
148,4187.682528,1,37778035.1872,0.0242905730735345
149,4187.702528,2,37778055.2064,0.0330290736984449
150,4187.722528,1,37778075.2,0.0242629131067265
151,4187.742528,2,37778095.2192,0.0331325424631713
152,4187.762528,1,37778115.264,0.0242834019710287
153,4187.782528,2,37778135.3344,0.0331079558260086
154,4187.802528,1,37778155.1872,0.0242885241871043
155,4187.822528,2,37778175.2448,0.0330290736984449
156,4187.842528,1,37778195.2384,0.0243428196775053
157,4187.862528,2,37778215.2832,0.0330567336652529
158,4187.882528,1,37778235.3024,0.0242659864363718
159,4187.902528,2,37778255.2576,0.0329276538201487
160,4187.922528,1,37778275.2512,0.0243510152232262
161,4187.942528,2,37778295.2448,0.0329419960251603
162,4187.962528,1,37778315.2384,0.0243469174503657
163,4187.982528,2,37778335.2832,0.0328989694101256
164,4188.002528,1,37778355.2768,0.0242752064253078
165,4188.022528,2,37778375.1936,0.0328426250332944
166,4188.042528,1,37778395.2512,0.0243243796996333
167,4188.062528,2,37778415.2576,0.0329225316040732
168,4188.082528,1,37778435.2384,0.0243387219046448
169,4188.102528,2,37778455.2576,0.0328528694654455
170,4188.122528,1,37778475.2256,0.024221935378122
171,4188.142528,2,37778495.2576,0.0328323806011433
172,4188.162528,1,37778515.2256,0.0242454975720696
173,4188.182528,2,37778535.2576,0.0328764316593931
174,4188.202528,1,37778555.2512,0.0242198864916918
175,4188.222528,2,37778575.2576,0.0330567336652529
176,4188.242528,1,37778595.2256,0.0242393509127789
177,4188.262528,2,37778615.2576,0.0331253713606655
178,4188.282528,1,37778635.2512,0.0242332042534882
179,4188.302528,2,37778655.2448,0.0330464892331018
180,4188.322528,1,37778675.264,0.0242465220152847
