syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
60,328.6329,361.4827,1.6831,-2.049,1.0872,1.5674,-0.5345,-0.229,3.1446,-0.318
60,329.2137,362.5196,1.4954,-0.6861,1.197,-0.8467,0.469,1.3568,1.6936,3.1059
60,329.6134,363.3587,1.5166,-1.9673,0.6503,-0.8306,0.3779,-0.0843,0.8564,-0.4926
60,330.3366,366.2194,1.4626,-2.2172,0.0021,-0.1682,0.0694,-0.3534,0.0378,-1.4414
60,332.0722,369.624,1.4568,-2.3806,0.3191,-0.3358,0.139,-0.201,-0.6525,-2.1717
60,333.4892,373.6706,1.4247,-2.413,0.016,-0.0091,0.1676,-0.1589,-0.5135,-2.2979
60,335.3563,378.3924,1.4031,-2.3498,-0.2921,0.2332,-0.3654,-0.3068,-0.3677,-0.6896
60,337.1261,383.6219,1.389,-2.672,-0.2822,0.6299,-0.3586,0.2245,-0.2391,-1.339
60,336.9469,387.8709,1.3947,-2.7427,-0.8762,1.3308,-0.4388,0.3996,-0.3948,-1.4963
60,338.9793,393.3343,1.3869,-2.4523,-0.578,1.0275,-0.2352,0.8307,0.0805,-0.3306
60,341.0111,398.705,1.3527,-2.5001,-0.6572,0.9125,-0.3603,0.4011,-0.4246,0.4468
60,343.6047,403.6408,1.3517,-2.4216,-0.5342,0.8033,0.0493,0.6766,-0.2253,0.257
60,345.4188,407.7348,1.359,-2.3113,-0.6458,1.052,0.1099,0.4959,-0.4495,-0.511
60,347.6291,412.2104,1.2918,-2.4734,-0.8561,1.3494,0.0162,0.4286,-0.3839,-1.1208
60,350.4501,417.3712,1.3147,-2.2734,-0.933,1.7484,0.0281,1.0722,-0.3105,-0.1647
60,354.0749,424.418,1.3106,-2.2765,-0.7116,1.5542,0.1514,1.0153,-0.2928,-0.0113
60,355.5843,429.7363,1.3342,-2.4176,-0.6393,1.1369,0.2327,0.5819,0.1552,-1.0915
60,357.5593,435.8683,1.3065,-2.3093,-0.3966,0.8279,0.2272,0.2574,0.4564,-1.2375
60,360.7165,442.5248,1.2797,-2.1164,-0.1069,0.1768,0.309,-0.0554,0.1269,-0.752
60,363.7791,447.7034,1.2714,-2.2961,-0.3012,-0.2641,0.2838,-0.2737,0.0661,-2.0761
60,367.3183,452.3804,1.244,-2.3803,-0.6022,-0.1199,0.3007,-0.0749,0.2809,-3.0882
60,371.2047,458.5559,1.2013,-2.1813,-0.6853,-0.3992,-0.0239,-0.188,-0.0487,-1.969
60,374.4062,465.6126,1.1603,-2.1358,-0.4513,-0.8565,0.2371,-0.0804,-0.1721,-1.7494
60,377.9606,472.7738,1.1315,-1.9678,0.0756,-0.6497,0.1719,-0.1295,-0.2727,-1.4041
60,382.2299,478.6803,1.1869,-1.8773,0.3215,-0.3712,0.3529,-0.0936,-0.078,-1.0146
60,385.2797,482.1597,1.1327,-1.8073,0.3845,0.1143,0.3502,0.0352,0.3059,0.1029
60,388.5794,485.385,1.1216,-1.7864,0.3502,0.2213,0.3587,0.0758,0.2332,1.0562
60,392.4063,489.4002,1.1309,-1.9273,-0.1478,0.2748,0.5616,0.2733,0.2131,-0.1451
60,396.3565,493.5091,1.1075,-2.1087,-0.4698,0.7022,0.4192,0.4563,0.0988,-0.5477
60,401.3001,498.2887,1.091,-2.0318,-0.5545,0.5523,0.335,0.3364,0.4123,-0.816
60,403.9834,503.325,1.1329,-2.2288,-0.2031,0.1172,0.8042,0.4489,0.708,-1.0766
60,408.3148,507.3804,1.0819,-2.0826,-0.048,-0.2472,0.6443,0.0841,0.3716,-0.6602
60,409.66,511.1658,1.081,-1.9807,0.1404,-0.3597,0.722,-0.7106,0.2749,-1.1479
60,413.9836,515.8029,1.0783,-2.232,0.0058,-0.6995,0.4276,-0.0707,-0.078,-1.6138
60,417.4278,520.628,1.0658,-1.9716,0.1283,-0.9739,0.4137,-0.2813,-0.1248,-1.4624
60,421.4375,524.2649,1.0624,-1.7689,-0.0733,-0.9972,0.4566,0.2016,-0.2955,-1.6623
60,424.0385,528.2396,1.0165,-1.9143,-0.7063,-0.4343,0.6567,0.2073,0.4391,-2.476
60,426.9939,531.8591,0.9654,-1.9835,-0.6677,-0.4217,0.316,0.0693,0.4246,-2.6923
60,430.3001,534.4876,0.9956,-1.6269,-0.1416,-0.4201,0.398,0.0839,0.2451,-1.3459
7,433.0118,536.1564,1.048,-1.5797,0.1465,-0.6385,0.4206,-0.0488,0.49,-1.0481
7,435.6042,536.6814,1.0354,-1.5031,0.2592,-0.5224,0.5272,-0.0867,0.1886,-0.9247
7,437.3165,536.9368,1.0442,-1.1937,0.462,-0.7297,0.3995,-0.5237,0.6008,-0.9651
7,439.7455,536.6894,1.0764,-1.0029,0.3479,-0.7321,0.36,-0.1685,0.7353,-0.7194
7,441.7376,537.0984,1.1132,-0.8154,0.3505,-0.6345,0.1019,-0.3676,0.5079,-0.0657
