syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
38,447.1847,793.1089,-1.3068,0.0553,0.257,-1.0416,0.3867,0.9033,2.9714,2.8221
38,445.7546,793.3174,-1.5966,-0.366,1.0609,0.376,-0.5286,-1.0757,0.4308,-0.7677
38,444.9395,793.6077,-1.4722,0.349,1.2415,-0.1471,0.8812,-0.1629,1.8738,0.4511
38,444.6961,794.2512,-1.5037,0.1444,0.9155,-0.3682,0.7899,0.0883,1.788,0.7811
38,443.751,794.6132,-1.5483,0.0742,0.9886,-0.1083,0.4897,-0.3955,1.1691,0.0368
38,443.708,794.3351,-1.5351,0.1497,0.9543,-0.298,0.7189,-0.1544,1.5473,0.2098
38,444.052,794.6411,-1.5178,0.1777,0.8897,-0.2262,0.6864,-0.1684,1.4665,-0.0709
38,444.3278,794.8883,-1.5214,0.2672,0.8201,-0.0201,0.6969,-0.3772,1.4028,0.023
38,445.3334,794.7385,-1.5152,0.2405,0.8927,-0.2328,0.8015,-0.2101,1.5318,0.1643
38,444.3025,794.5618,-1.516,0.3376,0.9328,0.0347,0.6287,-0.3226,1.5706,0.2479
38,444.9054,794.1264,-1.478,0.2065,0.9331,-0.1829,0.624,-0.1852,1.7216,0.0781
38,444.2953,794.3075,-1.4946,0.1054,0.9389,0.0035,0.6803,-0.0488,1.465,0.353
38,444.5779,794.2057,-1.5146,0.0756,0.8336,-0.085,0.4466,-0.0624,1.6545,0.2751
38,444.3675,794.3822,-1.5298,0.0972,0.972,-0.2677,0.7607,-0.2459,1.5169,-0.0654
38,443.7291,794.902,-1.5495,0.2055,0.9878,-0.1318,0.7098,-0.1445,1.4505,0.3451
38,443.1102,793.7379,-1.5665,0.3095,0.9496,0.0439,0.7539,0.1111,1.4601,-0.04
38,443.4689,794.0418,-1.5188,0.3265,1.0072,-0.1127,0.8551,-0.0482,1.4879,-0.0783
38,443.7667,793.7001,-1.5018,0.254,0.9525,-0.2506,0.7204,-0.0278,1.5451,-0.0905
38,443.3366,793.9047,-1.4941,0.3677,0.9994,-0.135,0.6973,-0.0377,1.48,0.1252
38,443.4276,794.6227,-1.4753,0.2021,0.9048,-0.1438,0.594,-0.2403,1.5277,0.0288
38,442.8199,793.2483,-1.4875,0.1179,0.8751,-0.1352,0.5689,-0.1224,1.4559,0.1495
38,443.3998,793.7568,-1.508,0.1287,0.8405,-0.2973,0.6046,-0.1017,1.321,0.2827
38,443.9329,793.5917,-1.551,0.1656,0.8982,-0.1035,0.5114,-0.1747,1.6844,0.1613
38,444.3937,794.4417,-1.5463,0.2332,0.9388,-0.1003,0.5146,-0.0819,1.503,0.1496
38,443.4285,795.224,-1.4644,0.1723,0.7793,-0.2898,0.6862,-0.1622,1.4456,0.2281
38,443.6656,795.197,-1.525,0.1232,0.8741,-0.1964,0.7027,-0.2373,1.7156,0.1645
38,443.7864,795.2269,-1.4472,0.3229,0.9554,-0.1136,0.7758,-0.1208,1.5311,0.0356
38,443.6428,794.5314,-1.504,0.2014,0.8886,-0.1673,0.6243,-0.1751,1.6871,0.2247
38,443.1108,794.4671,-1.49,0.1587,0.9638,-0.2071,0.8929,-0.1602,1.5845,0.1637
38,443.9741,794.4368,-1.4681,0.2179,0.9008,-0.0775,0.7904,-0.2202,1.4499,0.0887
38,443.6144,793.4733,-1.5233,0.306,0.8739,-0.1631,0.7902,-0.191,1.4806,0.1408
38,443.882,793.6224,-1.4953,0.3557,0.8889,-0.168,0.9055,-0.2002,1.462,0.0263
38,443.8101,794.0101,-1.5184,0.2511,0.803,-0.3104,0.9258,-0.413,1.279,0.1268
38,444.4529,794.0811,-1.4954,0.2445,0.9195,-0.3276,0.9134,-0.348,1.3381,0.3089
38,444.3086,794.2757,-1.5299,0.156,0.8696,-0.2934,0.8734,-0.322,1.354,0.5036
38,443.4564,794.3482,-1.4874,0.2485,0.8486,-0.235,0.8943,-0.2201,1.1774,0.2855
38,443.3985,794.9536,-1.5154,0.2089,0.8687,0.0131,0.8818,-0.2813,1.4341,0.215
38,443.5088,795.3758,-1.5411,0.2215,0.8219,0.038,0.7409,-0.4026,1.0914,0.36
38,443.4802,795.3949,-1.4887,0.2633,0.9792,-0.1026,0.7562,-0.3896,0.964,0.1123
38,443.5495,794.871,-1.4789,0.2678,1.0425,-0.0857,0.8032,-0.5805,1.3257,0.0157
38,444.1526,794.3278,-1.5015,0.3106,0.9195,-0.028,0.8902,-0.3105,1.4538,0.0876
38,444.2372,794.1554,-1.4854,0.2943,1.0324,-0.1129,0.8281,-0.3317,1.4232,0.2513
38,443.2496,793.2317,-1.5394,0.2814,0.9141,-0.0569,0.7569,-0.3566,1.7143,0.1754
38,443.3438,793.4739,-1.4978,0.2723,0.9169,-0.0338,0.7446,-0.3518,1.6564,0.0687
38,443.8746,794.9272,-1.4816,0.2982,1.0047,-0.1477,0.5792,-0.3258,1.4674,0.2363
38,443.9882,794.9875,-1.5334,0.1015,0.8561,-0.2116,0.6615,-0.5579,1.4943,0.114
38,443.6841,794.9193,-1.5048,0.1713,0.8915,-0.112,0.7656,-0.5453,1.3163,0.2435
38,443.8326,795.6092,-1.5262,0.2483,0.9356,-0.18,0.7138,-0.4445,1.3675,0.4839
38,443.3371,794.3222,-1.5339,0.194,0.9446,-0.1387,0.7168,-0.5154,1.4753,0.1293
38,443.9783,795.1815,-1.528,0.0471,0.8558,-0.1659,0.8506,-0.427,1.1648,0.3856
38,443.3117,794.8344,-1.5207,0.2123,0.9255,-0.1518,0.679,-0.2517,1.3451,0.293
