syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
17,364.3765,111.2377,1.4795,-0.546,-4.4856,-1.1017,-1.5189,4.4879,0.2618,0.3166
17,365.4024,106.7191,1.7531,0.1917,-0.8564,0.3549,-1.0311,0.3125,-1.0876,0.8471
17,366.9112,103.0284,1.8846,0.7487,0.5615,0.0813,0.0724,-0.1255,0.8324,0.5909
17,367.5059,102.1447,1.8763,0.6257,0.4581,0.2522,0.1473,-0.4386,0.1776,0.535
17,367.3245,102.7717,1.8562,0.6491,0.679,0.2111,0.3905,-0.395,0.3566,0.5467
17,368.1933,103.3586,1.8439,0.6381,0.6106,0.2939,0.3753,-0.6141,0.257,0.341
17,368.1067,103.3913,1.786,0.6255,0.6051,0.1517,0.3887,-0.4432,0.4111,0.389
17,368.2001,103.9207,1.8058,0.5296,0.4505,0.1313,0.3679,-0.2774,0.467,0.3087
17,367.67,105.4649,1.8293,0.5467,0.4209,0.0601,0.5401,-0.2455,0.6228,0.2105
17,368.6688,106.9506,1.8111,0.5008,0.537,0.0828,0.5756,-0.4217,0.2618,0.3227
17,368.1941,108.4355,1.789,0.5015,0.5523,0.2992,0.5842,-0.2841,0.247,0.3158
17,367.6434,110.0561,1.7827,0.5228,0.5442,0.0269,0.4205,-0.5187,0.6988,0.531
17,367.98,111.3191,1.699,0.321,0.5193,0.2212,0.5699,-0.3927,0.4461,0.4208
17,368.3892,112.8655,1.7156,0.2661,0.4488,0.0634,0.3179,-0.3427,0.6411,0.5613
17,368.1137,114.9072,1.703,0.132,0.4645,0.0231,0.2363,-0.6481,0.5531,0.6181
17,369.4123,115.1804,1.7477,0.2176,0.328,0.0267,0.2302,-0.2666,0.9317,0.8004
17,369.6201,115.7492,1.7123,0.0909,0.392,-0.0464,0.3251,-0.4008,0.9056,0.6506
17,369.989,115.4101,1.711,0.1769,0.3546,-0.095,0.2012,-0.1884,1.0617,0.64
17,369.6417,115.6785,1.7324,0.055,0.4851,-0.147,0.3313,-0.2532,1.1379,0.7406
17,370.17,115.7948,1.6168,0.373,0.4506,-0.0656,0.3707,-0.1352,1.2848,0.8363
17,371.2398,115.3899,1.6409,0.2766,0.4913,0.0115,0.3699,-0.1149,1.1442,0.7808
17,371.976,115.4125,1.5691,0.3111,0.5649,0.0833,0.2778,0.0911,1.2601,0.6042
17,374.0439,115.8055,1.5502,0.5106,0.3869,0.226,0.3063,0.1442,1.0425,0.5507
17,374.2331,115.6096,1.5201,0.4704,0.4121,0.2395,0.2515,0.1542,0.9416,0.4915
17,374.5253,115.6059,1.4798,0.4529,0.4506,0.3099,0.148,0.047,1.0881,0.5065
17,375.4372,116.7767,1.4244,0.5175,0.5338,0.2851,0.0489,-0.0909,0.8526,0.5231
17,374.7574,115.9585,1.3819,0.3809,0.5294,0.1861,0.2804,-0.133,0.3043,0.3053
17,375.6237,116.1915,1.3532,0.4342,0.4309,0.1301,0.1902,-0.0309,0.3442,0.217
17,375.7104,116.9363,1.3012,0.6497,0.4113,0.1212,0.1896,0.0914,0.2892,0.1718
17,376.0319,116.2798,1.2388,0.7644,0.3498,0.073,0.0497,-0.0064,0.1445,0.2292
17,374.796,116.6683,1.2983,0.7786,0.2979,-0.1247,0.0191,-0.0126,0.2021,0.0636
17,374.628,117.0699,1.2307,0.7353,0.289,0.0366,0.1489,-0.1441,0.2689,0.0955
17,375.3616,118.2665,1.2434,0.8723,0.3977,-0.0779,0.2414,-0.0368,-0.1308,0.0422
17,375.8195,118.3489,1.1733,0.9026,0.4295,-0.1153,0.4602,-0.2626,0.0144,0.3652
17,375.5423,119.4549,1.1563,0.9339,0.2366,0.1782,0.2414,-0.2716,-0.2328,0.1593
17,375.4743,119.7865,1.1529,0.9064,0.1891,0.1391,-0.0746,-0.2133,-0.2483,0.0663
17,375.8323,119.6192,1.1243,0.87,0.3553,0.0113,-0.1107,-0.1558,-0.3192,0.1665
17,376.4504,119.0734,1.2037,0.9089,0.4138,0.0119,-0.0421,-0.1419,-0.3673,0.0442
17,377.6053,119.5054,1.1686,0.8666,0.2782,0.0644,-0.2343,-0.3488,-0.2607,0.1518
17,377.8056,118.9301,1.1296,0.9955,0.2948,-0.0887,0.0199,0.0372,-0.3815,0.0945
17,379.8133,117.9961,1.0234,1.1187,0.3015,0.046,-0.0178,0.0113,-0.2814,0.1266
17,379.1391,119.8483,1.1688,1.001,0.2458,0.0656,-0.1315,0.0317,-0.5163,0.0027
17,379.8747,120.6767,1.136,0.9305,0.2384,0.1679,-0.2112,0.0411,-0.3476,0.19
17,379.7839,120.8545,1.059,1.036,0.3968,0.2388,-0.0161,-0.1424,-0.4892,0.1073
17,379.4675,121.1513,1.1095,0.9181,0.3554,0.3104,-0.0535,-0.248,-0.5544,0.1545
17,379.7939,120.778,1.0585,0.9054,0.442,0.212,0.1146,-0.1188,-0.6977,0.131
17,379.4685,122.3984,1.0694,0.8684,0.4284,0.2962,-0.27,-0.4396,-0.8529,0.275
17,380.2385,123.2711,1.0413,0.6575,0.2205,0.5806,-0.2693,-0.3116,-0.7567,0.0706
17,380.3322,122.7609,1.0673,0.7766,0.2283,0.5037,-0.2986,-0.447,-0.8129,0.2901
17,380.5104,123.6115,1.0922,0.6658,-0.0217,0.388,-0.2169,-0.4393,-0.7119,0.3382
33,380.6642,125.9186,1.1602,0.6857,0.1264,0.3633,-0.1401,-0.5912,-0.2869,0.7657
33,378.7854,125.735,1.2017,0.7889,-0.3329,-0.2464,-0.0345,0.456,0.2742,0.74
33,378.3165,125.4174,1.2262,0.8693,-0.2936,-0.1989,0.0496,0.2484,0.2859,0.706
33,379.2563,124.9016,1.2144,0.8884,-0.243,-0.6342,0.4134,0.6705,0.0412,0.6026
33,378.7727,124.7548,1.1703,0.7564,-0.1313,-0.1878,0.5608,-0.062,-0.3135,0.6276
33,379.847,123.8503,1.0577,0.9219,0.1275,0.1951,0.1381,-0.4406,-0.2118,0.7832
