syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
16,555.3615,505.8332,-2.1576,-3.856,4.183,-3.756,-0.7147,-8.1142,-1.645,-4.1029
16,555.6797,505.1598,-2.198,0.2612,4.6766,1.2515,3.4138,1.6662,0.3016,-0.9748
16,556.9928,502.9862,-2.2647,0.4278,0.3675,-0.129,0.7513,-0.782,0.0779,0.5766
16,557.3851,503.341,-2.2248,0.4827,0.2915,-0.2455,1.0194,-0.8162,-0.1609,0.5057
16,557.835,502.2719,-2.1619,0.5107,0.2628,-0.1995,0.9734,-0.7593,-0.2573,0.7116
16,558.3152,503.1346,-2.1563,0.6604,0.2088,-0.1037,0.9482,-0.8585,-0.332,0.6004
16,557.2485,503.2993,-2.2562,0.5665,0.3428,-0.0605,0.959,-0.8328,-0.1956,0.4798
16,557.2921,502.9239,-2.2002,0.5184,0.2766,0.1486,0.8625,-0.7984,-0.0051,0.5255
16,557.4245,502.6256,-2.1465,0.52,0.2868,-0.0427,1.0192,-0.7229,-0.323,0.6005
16,556.7627,502.4765,-2.1858,0.4397,0.1138,-0.0975,0.8848,-0.8244,-0.0237,0.4633
16,555.6351,503.9579,-2.2088,0.5193,0.1632,-0.2281,0.8059,-0.7564,0.095,0.4843
16,555.7696,503.8949,-2.204,0.5438,0.1914,-0.054,0.7924,-0.7701,-0.0653,0.6976
16,556.3437,503.6671,-2.2042,0.5887,0.1775,0.2312,0.6623,-0.8864,-0.2071,0.6341
16,556.1216,502.882,-2.1768,0.5479,0.0464,0.2407,0.6893,-0.7612,-0.1504,0.7834
16,556.052,502.4829,-2.1927,0.6323,0.061,0.3157,0.8992,-0.53,-0.0569,0.539
16,556.067,501.6476,-2.2086,0.6091,0.1694,0.2172,0.9411,-0.7786,-0.1112,0.472
16,555.8797,502.6405,-2.1883,0.63,0.3958,-0.0409,0.9804,-0.7018,-0.1022,0.5044
16,556.5877,503.3392,-2.1584,0.5639,0.4442,-0.0594,0.8706,-0.7087,-0.1499,0.5663
16,556.8741,502.8914,-2.1759,0.4919,0.3113,-0.0705,0.7122,-0.6889,-0.1696,0.5401
16,556.9173,502.5253,-2.1305,0.571,0.3263,-0.0849,0.9761,-0.6406,-0.225,0.4995
