mouse_id,genotype,condition,week,behavior,mean_dFF,n_events
588,NE,Hab,Preinduction,Novel_interaction,-0.3037275020887796,3
588,NE,Hab,Preinduction,Social_interaction,1.9415903809619905,6
590,NE,Hab,Preinduction,Novel_interaction,1.518754682371937,7
590,NE,Hab,Preinduction,Social_interaction,-0.26834526744614795,7
566,NE,Hab,Preinduction,Novel_interaction,0.8637769456241038,5
566,NE,Hab,Preinduction,Social_interaction,1.4857792497416455,10
580,NE,Hab,Preinduction,Novel_interaction,2.2450178812814303,6
580,NE,Hab,Preinduction,Social_interaction,2.70594812952568,3
533,NE,Hab,Preinduction,Novel_interaction,0.47440107949824206,3
533,NE,Hab,Preinduction,Social_interaction,0.1367769626430173,2
541,NE,Hab,Preinduction,Novel_interaction,1.2556849089099935,5
541,NE,Hab,Preinduction,Social_interaction,0.5801761653392989,3
588,NE,Hab,W1,Novel_interaction,3.366098110056168,3
588,NE,Hab,W1,Social_interaction,0.5986301124455687,7
590,NE,Hab,W1,Novel_interaction,-0.3306595741023421,8
590,NE,Hab,W1,Social_interaction,0.5772467176934166,8
566,NE,Hab,W1,Novel_interaction,-0.5575290182668308,3
566,NE,Hab,W1,Social_interaction,0.5480266872482215,12
580,NE,Hab,W1,Novel_interaction,0.22990140190280328,4
580,NE,Hab,W1,Social_interaction,0.26059321230337035,4
533,NE,Hab,W1,Novel_interaction,0.20856785343966608,5
533,NE,Hab,W1,Social_interaction,0.564793489984111,3
541,NE,Hab,W1,Novel_interaction,1.3152820896312138,8
541,NE,Hab,W1,Social_interaction,-0.8903952903217622,10
588,NE,Hab,W2,Novel_interaction,0.3628009846579683,9
588,NE,Hab,W2,Social_interaction,1.1603470394745343,6
590,NE,Hab,W2,Novel_interaction,0.7163265058916474,12
590,NE,Hab,W2,Social_interaction,0.8088704025734257,7
566,NE,Hab,W2,Novel_interaction,0.6828483885910127,12
566,NE,Hab,W2,Social_interaction,-0.2122345030413147,7
533,NE,Hab,W2,Novel_interaction,0.07753569578780169,20
533,NE,Hab,W2,Social_interaction,0.180581997925444,7
541,NE,Hab,W2,Novel_interaction,0.5021256844373454,9
541,NE,Hab,W2,Social_interaction,-0.7516182384961496,6
