mouse_id,genotype,condition,week,behavior,mean_dFF,n_events
588,NE,Novel,Preinduction,Novel_interaction,-0.05682177607939949,4
588,NE,Novel,Preinduction,Social_interaction,4.103586000469705,3
590,NE,Novel,Preinduction,Novel_interaction,0.10680687994756614,11
590,NE,Novel,Preinduction,Social_interaction,1.8172960565143361,8
566,NE,Novel,Preinduction,Novel_interaction,1.657911261571592,10
566,NE,Novel,Preinduction,Social_interaction,0.10411870200950357,7
580,NE,Novel,Preinduction,Novel_interaction,1.0249707321639687,4
580,NE,Novel,Preinduction,Social_interaction,0.9149671329268269,6
533,NE,Novel,Preinduction,Novel_interaction,1.2689259438499179,3
533,NE,Novel,Preinduction,Social_interaction,6.949819745336516,3
541,NE,Novel,Preinduction,Novel_interaction,5.500774243042729,1
541,NE,Novel,Preinduction,Social_interaction,0.7070256043764568,6
588,NE,Novel,W1,Novel_interaction,2.7021480193046483,6
588,NE,Novel,W1,Social_interaction,0.9334803538967504,4
566,NE,Novel,W1,Novel_interaction,1.4318140808170299,8
566,NE,Novel,W1,Social_interaction,0.15398945642448,15
580,NE,Novel,W1,Novel_interaction,1.7575822348979684,5
580,NE,Novel,W1,Social_interaction,0.2135885183708581,11
533,NE,Novel,W1,Novel_interaction,1.723202514563001,7
533,NE,Novel,W1,Social_interaction,1.6212965927009797,4
541,NE,Novel,W1,Novel_interaction,2.0161197665750863,6
541,NE,Novel,W1,Social_interaction,3.234712899506529,5
588,NE,Novel,W2,Novel_interaction,1.924488723837084,8
588,NE,Novel,W2,Social_interaction,0.5466675219251865,9
590,NE,Novel,W2,Novel_interaction,1.6433817296678594,13
590,NE,Novel,W2,Social_interaction,0.6033820673295368,8
566,NE,Novel,W2,Novel_interaction,1.1100734318311518,18
566,NE,Novel,W2,Social_interaction,0.33579903433850855,9
533,NE,Novel,W2,Novel_interaction,1.609444389811909,12
533,NE,Novel,W2,Social_interaction,0.6398646338996176,8
541,NE,Novel,W2,Novel_interaction,0.21448319966765733,7
541,NE,Novel,W2,Social_interaction,1.7732242879752935,15
