mouse_id,genotype,condition,week,behavior,mean_dFF,n_events
588,NE,Social,Preinduction,Novel_interaction,-0.18353334569464766,3
588,NE,Social,Preinduction,Social_interaction,4.897026976808005,3
590,NE,Social,Preinduction,Novel_interaction,2.225303167978601,2
590,NE,Social,Preinduction,Social_interaction,1.6523048241052245,7
566,NE,Social,Preinduction,Novel_interaction,1.3841558042565962,2
566,NE,Social,Preinduction,Social_interaction,1.7730365409782538,22
580,NE,Social,Preinduction,Novel_interaction,1.098294666560552,2
580,NE,Social,Preinduction,Social_interaction,1.0403971846838018,13
533,NE,Social,Preinduction,Novel_interaction,4.989704796821158,2
533,NE,Social,Preinduction,Social_interaction,5.298382550380507,3
541,NE,Social,Preinduction,Novel_interaction,-0.4612251401929269,6
541,NE,Social,Preinduction,Social_interaction,1.2611896213602523,11
588,NE,Social,W1,Novel_interaction,1.1657920674950664,6
588,NE,Social,W1,Social_interaction,3.686534514556647,4
566,NE,Social,W1,Novel_interaction,4.1195258424110985,2
566,NE,Social,W1,Social_interaction,1.2155960806888626,15
580,NE,Social,W1,Novel_interaction,0.7494920816627807,2
580,NE,Social,W1,Social_interaction,1.4876102449604605,9
533,NE,Social,W1,Novel_interaction,0.4950872621230473,3
533,NE,Social,W1,Social_interaction,1.3479624234694898,11
541,NE,Social,W1,Novel_interaction,-0.42104528790078516,3
541,NE,Social,W1,Social_interaction,2.484428049372653,9
588,NE,Social,W2,Novel_interaction,-0.030294502235021947,8
588,NE,Social,W2,Social_interaction,2.746639079031415,7
590,NE,Social,W2,Novel_interaction,0.16582771138297814,4
590,NE,Social,W2,Social_interaction,2.280751680477075,9
566,NE,Social,W2,Novel_interaction,-0.16236576985808052,14
566,NE,Social,W2,Social_interaction,1.7879935540265544,15
580,NE,Social,W2,Novel_interaction,1.5113285150768805,3
580,NE,Social,W2,Social_interaction,1.0497328866805382,12
533,NE,Social,W2,Novel_interaction,0.4228753243956991,5
533,NE,Social,W2,Social_interaction,1.631878285182429,18
541,NE,Social,W2,Novel_interaction,1.6364233639209471,9
541,NE,Social,W2,Social_interaction,1.0095949870312935,15
