mouse_id,genotype,condition,week,behavior,mean_dFF,n_events
588,NE,Social,Preinduction,Novel_interaction,1.247994288621487,3
588,NE,Social,Preinduction,Social_interaction,5.047834687487721,3
590,NE,Social,Preinduction,Novel_interaction,-1.5658714252543116,2
590,NE,Social,Preinduction,Social_interaction,3.5074255094760187,7
566,NE,Social,Preinduction,Novel_interaction,0.22169331687746263,2
566,NE,Social,Preinduction,Social_interaction,3.308868633754747,22
580,NE,Social,Preinduction,Novel_interaction,0.16181342706926705,2
580,NE,Social,Preinduction,Social_interaction,1.4801222917673642,13
533,NE,Social,Preinduction,Novel_interaction,4.710651754107129,2
533,NE,Social,Preinduction,Social_interaction,4.181299940163752,3
541,NE,Social,Preinduction,Novel_interaction,-0.9689373635657027,6
541,NE,Social,Preinduction,Social_interaction,1.9133344997938637,11
588,NE,Social,W1,Novel_interaction,1.932830498737009,6
588,NE,Social,W1,Social_interaction,3.7444563808712004,4
566,NE,Social,W1,Novel_interaction,2.5612482643001373,2
566,NE,Social,W1,Social_interaction,2.889655317930826,15
580,NE,Social,W1,Novel_interaction,0.5842894910400993,2
580,NE,Social,W1,Social_interaction,1.2813444344487377,9
533,NE,Social,W1,Novel_interaction,1.2223968649912562,3
533,NE,Social,W1,Social_interaction,1.5002775618452333,11
541,NE,Social,W1,Novel_interaction,-2.1254462550006497,3
541,NE,Social,W1,Social_interaction,2.5857152474219705,9
588,NE,Social,W2,Novel_interaction,0.24413112353904748,8
588,NE,Social,W2,Social_interaction,2.761522231746167,6
590,NE,Social,W2,Novel_interaction,-2.052461381676906,4
590,NE,Social,W2,Social_interaction,2.9519126302303644,9
566,NE,Social,W2,Novel_interaction,0.5942947149311071,14
566,NE,Social,W2,Social_interaction,1.6057738486900703,14
580,NE,Social,W2,Novel_interaction,0.6655809087698655,3
580,NE,Social,W2,Social_interaction,0.18333922823808546,11
533,NE,Social,W2,Novel_interaction,-1.1914114318230966,5
533,NE,Social,W2,Social_interaction,1.4782042654139633,18
541,NE,Social,W2,Novel_interaction,1.4435943080392564,9
541,NE,Social,W2,Social_interaction,0.887488396072395,14
