mouse_id,genotype,condition,week,behavior,mean_dFF,n_events
588,NE,Hab,Preinduction,Novel_interaction,-0.3037275020887796,3
588,NE,Hab,Preinduction,Social_interaction,2.3943104963905335,5
590,NE,Hab,Preinduction,Novel_interaction,1.5390373599033456,6
590,NE,Hab,Preinduction,Social_interaction,-0.26834526744614795,7
566,NE,Hab,Preinduction,Novel_interaction,0.8439577149544619,4
566,NE,Hab,Preinduction,Social_interaction,1.794192656040434,8
580,NE,Hab,Preinduction,Novel_interaction,2.2450178812814303,6
580,NE,Hab,Preinduction,Social_interaction,2.70594812952568,3
533,NE,Hab,Preinduction,Novel_interaction,-2.25241989094309,2
533,NE,Hab,Preinduction,Social_interaction,0.1367769626430173,2
541,NE,Hab,Preinduction,Novel_interaction,1.2556849089099935,5
541,NE,Hab,Preinduction,Social_interaction,0.5801761653392989,3
588,NE,Hab,W1,Novel_interaction,3.366098110056168,3
588,NE,Hab,W1,Social_interaction,1.1192501950878422,6
590,NE,Hab,W1,Novel_interaction,-0.6541955019971608,6
590,NE,Hab,W1,Social_interaction,0.8046153422619026,6
566,NE,Hab,W1,Novel_interaction,0.6521027617433246,2
566,NE,Hab,W1,Social_interaction,0.9881241640361984,11
580,NE,Hab,W1,Novel_interaction,0.22990140190280328,4
580,NE,Hab,W1,Social_interaction,0.6496820157597287,3
533,NE,Hab,W1,Novel_interaction,0.16938666278997094,4
533,NE,Hab,W1,Social_interaction,0.564793489984111,3
541,NE,Hab,W1,Novel_interaction,1.3152820896312138,8
541,NE,Hab,W1,Social_interaction,-0.026240733520861093,8
588,NE,Hab,W2,Novel_interaction,1.4000363439072263,5
588,NE,Hab,W2,Social_interaction,1.486202326559766,4
590,NE,Hab,W2,Novel_interaction,0.9443778478180871,7
590,NE,Hab,W2,Social_interaction,1.7067158432431975,5
566,NE,Hab,W2,Novel_interaction,0.2615673442460176,9
566,NE,Hab,W2,Social_interaction,-0.07898713931912693,6
580,NE,Hab,W2,Novel_interaction,0.5842587236121894,4
580,NE,Hab,W2,Social_interaction,0.07893317280804613,8
533,NE,Hab,W2,Novel_interaction,-0.23840654928857297,12
533,NE,Hab,W2,Social_interaction,-0.40115350068297556,5
541,NE,Hab,W2,Novel_interaction,0.5021256844373454,9
541,NE,Hab,W2,Social_interaction,-0.6517513562504103,6
