mouse_id,genotype,condition,week,behavior,mean_dFF,n_events
588,NE,Novel,Preinduction,Novel_interaction,-0.05682177607939949,4
588,NE,Novel,Preinduction,Social_interaction,4.103586000469705,3
590,NE,Novel,Preinduction,Novel_interaction,0.05346286496421859,7
590,NE,Novel,Preinduction,Social_interaction,1.7979669157684979,6
566,NE,Novel,Preinduction,Novel_interaction,2.051035396287411,7
566,NE,Novel,Preinduction,Social_interaction,1.190715428615223,5
580,NE,Novel,Preinduction,Novel_interaction,1.0249707321639687,4
580,NE,Novel,Preinduction,Social_interaction,0.4852474199844473,5
533,NE,Novel,Preinduction,Novel_interaction,1.2689259438499179,3
533,NE,Novel,Preinduction,Social_interaction,6.949819745336516,3
541,NE,Novel,Preinduction,Novel_interaction,5.500774243042729,1
541,NE,Novel,Preinduction,Social_interaction,1.3412405095902504,5
588,NE,Novel,W1,Novel_interaction,2.7021480193046483,6
588,NE,Novel,W1,Social_interaction,0.9334803538967504,4
566,NE,Novel,W1,Novel_interaction,1.8961743148007622,7
566,NE,Novel,W1,Social_interaction,0.5923497586896179,12
580,NE,Novel,W1,Novel_interaction,1.7899264494957325,4
580,NE,Novel,W1,Social_interaction,0.3583384015628861,9
533,NE,Novel,W1,Novel_interaction,2.5849724173565627,5
533,NE,Novel,W1,Social_interaction,1.6212965927009797,4
541,NE,Novel,W1,Novel_interaction,2.0895545493504977,5
541,NE,Novel,W1,Social_interaction,3.234712899506529,5
588,NE,Novel,W2,Novel_interaction,2.4101289090721054,7
588,NE,Novel,W2,Social_interaction,0.5877519032862747,6
590,NE,Novel,W2,Novel_interaction,1.2227265080024314,10
590,NE,Novel,W2,Social_interaction,0.8239926538316854,7
566,NE,Novel,W2,Novel_interaction,1.5003751571445763,14
566,NE,Novel,W2,Social_interaction,1.7809905473700882,6
580,NE,Novel,W2,Novel_interaction,0.1250961406248752,8
580,NE,Novel,W2,Social_interaction,-0.19350545034355385,9
533,NE,Novel,W2,Novel_interaction,2.8711029408387545,7
533,NE,Novel,W2,Social_interaction,-0.3226566207016739,5
541,NE,Novel,W2,Novel_interaction,0.6863286085919079,6
541,NE,Novel,W2,Social_interaction,3.1602108651530565,10
