mouse_id,genotype,condition,week,behavior,mean_dFF,n_events
588,NE,Novel,Preinduction,Novel_interaction,-0.07279431136497772,4
588,NE,Novel,Preinduction,Social_interaction,2.6991466923955447,3
590,NE,Novel,Preinduction,Novel_interaction,1.0543323127802569,7
590,NE,Novel,Preinduction,Social_interaction,0.522984962800164,6
566,NE,Novel,Preinduction,Novel_interaction,1.972545310109354,7
566,NE,Novel,Preinduction,Social_interaction,2.3607908225737906,5
580,NE,Novel,Preinduction,Novel_interaction,0.6193733072668234,4
580,NE,Novel,Preinduction,Social_interaction,0.7071237565819897,5
533,NE,Novel,Preinduction,Novel_interaction,1.7127502697598702,3
533,NE,Novel,Preinduction,Social_interaction,6.212983368781195,3
541,NE,Novel,Preinduction,Novel_interaction,1.2795074648453717,1
541,NE,Novel,Preinduction,Social_interaction,-0.1689599333925366,5
588,NE,Novel,W1,Novel_interaction,3.7096141694155054,6
588,NE,Novel,W1,Social_interaction,2.210930129598955,4
566,NE,Novel,W1,Novel_interaction,1.8127332354197054,7
566,NE,Novel,W1,Social_interaction,0.6164939079363081,12
580,NE,Novel,W1,Novel_interaction,1.5548345727437738,4
580,NE,Novel,W1,Social_interaction,0.1485622034823398,9
533,NE,Novel,W1,Novel_interaction,2.958767864546529,5
533,NE,Novel,W1,Social_interaction,2.256397303849396,4
541,NE,Novel,W1,Novel_interaction,1.8466020614878462,5
541,NE,Novel,W1,Social_interaction,1.9426485383402667,5
588,NE,Novel,W2,Novel_interaction,2.399463216074708,7
588,NE,Novel,W2,Social_interaction,1.168575278762859,6
590,NE,Novel,W2,Novel_interaction,1.1182286679443538,10
590,NE,Novel,W2,Social_interaction,0.3293725074345467,7
566,NE,Novel,W2,Novel_interaction,1.0747352537559063,14
566,NE,Novel,W2,Social_interaction,-0.5399394055013207,5
580,NE,Novel,W2,Novel_interaction,0.3953070121979725,8
580,NE,Novel,W2,Social_interaction,-0.06687218013620679,9
533,NE,Novel,W2,Novel_interaction,2.6926223550171984,7
533,NE,Novel,W2,Social_interaction,-0.10853077096304693,5
541,NE,Novel,W2,Novel_interaction,-1.5212289138030473,6
541,NE,Novel,W2,Social_interaction,2.2943521806455895,10
