mouse_id,genotype,condition,week,behavior,mean_dFF,n_events
588,NE,Social,Preinduction,Novel_interaction,-0.18353334569464766,3
588,NE,Social,Preinduction,Social_interaction,4.897026976808005,3
590,NE,Social,Preinduction,Novel_interaction,2.225303167978601,2
590,NE,Social,Preinduction,Social_interaction,3.1193310117582795,5
566,NE,Social,Preinduction,Novel_interaction,1.3841558042565962,2
566,NE,Social,Preinduction,Social_interaction,2.484994444039349,17
580,NE,Social,Preinduction,Novel_interaction,1.098294666560552,2
580,NE,Social,Preinduction,Social_interaction,1.1797281435180094,9
533,NE,Social,Preinduction,Novel_interaction,4.989704796821158,2
533,NE,Social,Preinduction,Social_interaction,7.531069620176572,2
541,NE,Social,Preinduction,Novel_interaction,-0.05122349584277199,5
541,NE,Social,Preinduction,Social_interaction,1.4024801451320872,10
588,NE,Social,W1,Novel_interaction,1.1657920674950664,6
588,NE,Social,W1,Social_interaction,3.686534514556647,4
590,NE,Social,W1,Social_interaction,2.1878070439008024,8
566,NE,Social,W1,Novel_interaction,4.1195258424110985,2
566,NE,Social,W1,Social_interaction,0.2064011434888875,9
580,NE,Social,W1,Novel_interaction,0.01297096741360003,1
580,NE,Social,W1,Social_interaction,1.4758762113762065,7
533,NE,Social,W1,Novel_interaction,0.4950872621230473,3
533,NE,Social,W1,Social_interaction,1.5760127343679349,8
541,NE,Social,W1,Novel_interaction,-0.42104528790078516,3
541,NE,Social,W1,Social_interaction,3.1864042878683225,8
588,NE,Social,W2,Novel_interaction,-0.004329980536372835,5
588,NE,Social,W2,Social_interaction,2.867986375380781,5
590,NE,Social,W2,Novel_interaction,-0.0463494996366558,3
590,NE,Social,W2,Social_interaction,2.8081682489620277,6
566,NE,Social,W2,Novel_interaction,0.5019527202896322,6
566,NE,Social,W2,Social_interaction,3.960126944119622,7
580,NE,Social,W2,Novel_interaction,1.5113285150768805,3
580,NE,Social,W2,Social_interaction,1.252922181161004,10
533,NE,Social,W2,Novel_interaction,0.16668853692208918,4
533,NE,Social,W2,Social_interaction,2.3997787045105254,8
541,NE,Social,W2,Novel_interaction,1.5418451189093807,7
541,NE,Social,W2,Social_interaction,0.8284847015585896,11
