mouse_id,genotype,condition,week,behavior,mean_dFF,n_events
588,NE,Social,Preinduction,Novel_interaction,1.247994288621487,3
588,NE,Social,Preinduction,Social_interaction,5.047834687487721,3
590,NE,Social,Preinduction,Novel_interaction,-1.5658714252543116,2
590,NE,Social,Preinduction,Social_interaction,4.924944828857823,5
566,NE,Social,Preinduction,Novel_interaction,0.22169331687746263,2
566,NE,Social,Preinduction,Social_interaction,3.657452357559184,17
580,NE,Social,Preinduction,Novel_interaction,0.16181342706926705,2
580,NE,Social,Preinduction,Social_interaction,1.607916440131563,9
533,NE,Social,Preinduction,Novel_interaction,4.710651754107129,2
533,NE,Social,Preinduction,Social_interaction,6.335923095847233,2
541,NE,Social,Preinduction,Novel_interaction,-0.6367558834083817,5
541,NE,Social,Preinduction,Social_interaction,1.5290085626033203,10
588,NE,Social,W1,Novel_interaction,1.932830498737009,6
588,NE,Social,W1,Social_interaction,3.7444563808712004,4
590,NE,Social,W1,Social_interaction,2.975984182056023,8
566,NE,Social,W1,Novel_interaction,2.5612482643001373,2
566,NE,Social,W1,Social_interaction,1.6353656098435563,9
580,NE,Social,W1,Novel_interaction,-1.476857427707281,1
580,NE,Social,W1,Social_interaction,1.4647604351826833,7
533,NE,Social,W1,Novel_interaction,1.2223968649912562,3
533,NE,Social,W1,Social_interaction,1.6927641566302818,8
541,NE,Social,W1,Novel_interaction,-2.1254462550006497,3
541,NE,Social,W1,Social_interaction,3.1958311507022907,8
588,NE,Social,W2,Novel_interaction,0.7836822552174313,5
588,NE,Social,W2,Social_interaction,2.4479940952486743,4
590,NE,Social,W2,Novel_interaction,-2.0424393013171134,3
590,NE,Social,W2,Social_interaction,3.514317645073929,6
566,NE,Social,W2,Novel_interaction,-0.12114655573612705,6
566,NE,Social,W2,Social_interaction,1.1608406092893095,6
580,NE,Social,W2,Novel_interaction,0.6655809087698655,3
580,NE,Social,W2,Social_interaction,0.2822159988336346,9
533,NE,Social,W2,Novel_interaction,-0.8084687410348972,4
533,NE,Social,W2,Social_interaction,3.1225131111990745,8
541,NE,Social,W2,Novel_interaction,1.287191276511789,7
541,NE,Social,W2,Social_interaction,-0.26013408138098076,10
