mouse_id,week,behavior,mean_dFF
533,Preinduction,Novel_interaction,0.09917695856558884
533,W1,Novel_interaction,1.6220764663414216
533,W2,Novel_interaction,1.5505458451063254
541,Preinduction,Novel_interaction,5.5944770968111674
541,W1,Novel_interaction,1.4438381001941787
541,W2,Novel_interaction,1.3848477197368534
566,Preinduction,Novel_interaction,0.5989842201934584
566,W1,Novel_interaction,0.7429889102873651
566,W2,Novel_interaction,0.1157960934720792
580,Preinduction,Novel_interaction,0.4794996466242966
580,W1,Novel_interaction,0.915642828628731
588,Preinduction,Novel_interaction,-0.6922420469805599
588,W1,Novel_interaction,3.5358339014203284
588,W2,Novel_interaction,1.481618992009059
590,Preinduction,Novel_interaction,-0.192486380130547
590,W2,Novel_interaction,0.9491633157866789
533,Preinduction,Social_interaction,5.961435238173834
533,W1,Social_interaction,0.3224574109436539
533,W2,Social_interaction,1.5104623023004295
541,Preinduction,Social_interaction,0.570134907400667
541,W1,Social_interaction,3.4234944507877727
541,W2,Social_interaction,-0.02852519450057163
566,Preinduction,Social_interaction,-0.019473995765693718
566,W1,Social_interaction,-0.6889185392593367
566,W2,Social_interaction,0.6119915785257366
580,Preinduction,Social_interaction,1.3226204753658506
580,W1,Social_interaction,0.24817654513863233
588,Preinduction,Social_interaction,4.29790902052963
588,W1,Social_interaction,0.7371627343833801
588,W2,Social_interaction,0.7218972614414444
590,Preinduction,Social_interaction,1.3516537404112128
590,W2,Social_interaction,0.43457039741037834
