mouse_id,genotype,condition,week,behavior,pre_mean_dFF,post_mean_dFF,n_events
588,NE,Novel,Preinduction,Novel_interaction,-0.40589926805517057,-0.05682177607939949,4
588,NE,Novel,Preinduction,Social_interaction,0.49396294359943643,4.103586000469705,3
590,NE,Novel,Preinduction,Novel_interaction,0.1145941028618099,0.05346286496421859,7
590,NE,Novel,Preinduction,Social_interaction,0.06994432066319023,1.7979669157684979,6
566,NE,Novel,Preinduction,Novel_interaction,-0.8147349103524458,1.070557203825291,6
566,NE,Novel,Preinduction,Social_interaction,0.27778120751482305,1.190715428615223,5
580,NE,Novel,Preinduction,Novel_interaction,0.43332579164251717,1.0249707321639687,4
580,NE,Novel,Preinduction,Social_interaction,-0.23019077037115215,0.4852474199844473,5
533,NE,Novel,Preinduction,Novel_interaction,0.4527587652439618,1.2689259438499179,3
533,NE,Novel,Preinduction,Social_interaction,2.58286379039558,6.949819745336516,3
541,NE,Novel,Preinduction,Novel_interaction,2.353322022426721,5.500774243042729,1
541,NE,Novel,Preinduction,Social_interaction,0.5728292360517093,1.3412405095902504,5
588,NE,Novel,W1,Novel_interaction,-0.4248930330968806,2.7021480193046483,6
588,NE,Novel,W1,Social_interaction,-1.3025287666936638,0.9334803538967504,4
566,NE,Novel,W1,Novel_interaction,0.8356526679854291,1.8961743148007622,7
566,NE,Novel,W1,Social_interaction,-0.7546254804066534,0.5923497586896179,12
580,NE,Novel,W1,Novel_interaction,-0.9526002740604632,1.7899264494957325,4
580,NE,Novel,W1,Social_interaction,0.14752521967275467,0.3583384015628861,9
533,NE,Novel,W1,Novel_interaction,-0.4533827748295545,2.5849724173565627,5
533,NE,Novel,W1,Social_interaction,0.2378958991840817,1.6212965927009797,4
541,NE,Novel,W1,Novel_interaction,-0.8577293897672877,2.0895545493504977,5
541,NE,Novel,W1,Social_interaction,1.6770617363793174,3.234712899506529,5
588,NE,Novel,W2,Novel_interaction,0.03669310891069921,2.4101289090721054,7
588,NE,Novel,W2,Social_interaction,-0.2659539732412908,0.8174920407649143,5
590,NE,Novel,W2,Novel_interaction,-0.7060502406263633,1.2227265080024314,10
590,NE,Novel,W2,Social_interaction,-0.4826197286287087,0.8239926538316854,7
566,NE,Novel,W2,Novel_interaction,-0.7278646001400865,1.5003751571445763,14
566,NE,Novel,W2,Social_interaction,1.069021681479477,1.515069654104638,5
580,NE,Novel,W2,Novel_interaction,-0.3242847833610868,0.1250961406248752,8
580,NE,Novel,W2,Social_interaction,0.5411047655904978,-0.19350545034355385,9
533,NE,Novel,W2,Novel_interaction,0.11418010576304598,2.8711029408387545,7
533,NE,Novel,W2,Social_interaction,-0.5859489017443327,-0.3226566207016739,5
541,NE,Novel,W2,Novel_interaction,-0.28546271149544217,0.6863286085919079,6
541,NE,Novel,W2,Social_interaction,1.187483765102188,3.1602108651530565,10
