mouse_id,genotype,condition,week,behavior,pre_mean_dFF,post_mean_dFF,n_events
588,NE,Social,Preinduction,Novel_interaction,-2.5574560277479286,-0.18353334569464766,3
588,NE,Social,Preinduction,Social_interaction,0.7800373562704541,4.897026976808005,3
590,NE,Social,Preinduction,Novel_interaction,1.585918233753903,2.225303167978601,2
590,NE,Social,Preinduction,Social_interaction,-1.500119303808249,3.1193310117582795,5
566,NE,Social,Preinduction,Novel_interaction,2.7629036656498553,1.3841558042565962,2
566,NE,Social,Preinduction,Social_interaction,-0.027642533961556665,2.484994444039349,17
580,NE,Social,Preinduction,Novel_interaction,-0.16889072439006225,1.098294666560552,2
580,NE,Social,Preinduction,Social_interaction,-0.8342519438671024,1.1797281435180094,9
533,NE,Social,Preinduction,Novel_interaction,2.457419616268081,4.989704796821158,2
533,NE,Social,Preinduction,Social_interaction,0.574307817451102,7.531069620176572,2
541,NE,Social,Preinduction,Novel_interaction,1.5571293874732521,-0.05122349584277199,5
541,NE,Social,Preinduction,Social_interaction,-0.1552813562920386,1.4024801451320872,10
588,NE,Social,W1,Novel_interaction,-0.6917443428085365,0.8646518597977583,5
588,NE,Social,W1,Social_interaction,-0.41050831237479724,3.686534514556647,4
590,NE,Social,W1,Social_interaction,-1.1512272345095949,2.1878070439008024,8
566,NE,Social,W1,Novel_interaction,0.7310291318531575,4.1195258424110985,2
566,NE,Social,W1,Social_interaction,0.25137862127676613,0.2064011434888875,9
580,NE,Social,W1,Novel_interaction,0.12239578100668672,0.01297096741360003,1
580,NE,Social,W1,Social_interaction,0.33579575906073533,1.4758762113762065,7
533,NE,Social,W1,Novel_interaction,-0.4414597461073224,0.4950872621230473,3
533,NE,Social,W1,Social_interaction,0.3455083734577601,1.5760127343679349,8
541,NE,Social,W1,Novel_interaction,-0.4092139927970351,-0.42104528790078516,3
541,NE,Social,W1,Social_interaction,0.2105010590772324,2.1005767664626736,7
588,NE,Social,W2,Novel_interaction,-0.09364042108122166,-0.004329980536372835,5
588,NE,Social,W2,Social_interaction,-0.29899456728650653,2.450505557786113,4
590,NE,Social,W2,Novel_interaction,-0.45533618632627215,-0.0463494996366558,3
590,NE,Social,W2,Social_interaction,-0.46537048134324,2.8081682489620277,6
566,NE,Social,W2,Novel_interaction,1.4234948678920565,0.5019527202896322,6
566,NE,Social,W2,Social_interaction,0.8805800756652516,2.7323283740971487,6
580,NE,Social,W2,Novel_interaction,0.2617227809925782,1.5113285150768805,3
580,NE,Social,W2,Social_interaction,-0.13779032350619166,0.6973252641466612,9
533,NE,Social,W2,Novel_interaction,-0.7098804754329917,0.16668853692208918,4
533,NE,Social,W2,Social_interaction,0.42820222924289086,2.3997787045105254,8
541,NE,Social,W2,Novel_interaction,0.32527051543506785,1.5418451189093807,7
541,NE,Social,W2,Social_interaction,1.4332342841310195,1.01204421363247,10
