mouse_id,genotype,condition,week,behavior,pre_mean_dFF,post_mean_dFF,n_events
590,NE,Social,Preinduction,Sniffing,-0.8681032712247939,-0.24053503474973315,2
580,NE,Social,Preinduction,Sniffing,-0.8795577728033783,-1.2266853454998503,1
541,NE,Social,Preinduction,Sniffing,-0.035743823047680576,-5.436120923559661,1
588,NE,Social,W1,Sniffing,-0.25172945575484923,-1.6228150695573944,2
590,NE,Social,W1,Sniffing,-0.9146653785825525,-1.7203049658693816,1
566,NE,Social,W1,Sniffing,1.4918080886872596,2.4234353051645026,2
580,NE,Social,W1,Sniffing,0.17407594376368082,-0.21574191933843434,2
533,NE,Social,W1,Sniffing,0.7459412799872563,-0.06822639627127437,1
588,NE,Social,W2,Sniffing,1.6685827466592635,4.647099221403186,1
580,NE,Social,W2,Sniffing,-1.5632128746412306,-0.7694717994639825,1
