mouse_id,genotype,week,mean_dFF
533,NE,Preinduction,3.257513430275464e-07
533,NE,W1,9.967242042929886e-06
533,NE,W2,0.00010751058820454634
541,NE,Preinduction,0.0004823287638822146
541,NE,W1,5.147064634041949e-06
541,NE,W2,0.0003559274923964731
566,NE,Preinduction,0.0006879857191223899
566,NE,W1,0.0004265976875768343
566,NE,W2,0.0007351381331000503
580,NE,Preinduction,2.566839792537163e-05
580,NE,W1,2.1322900650904043e-05
580,NE,W2,1.4227858559361038e-06
588,NE,Preinduction,1.3586696759097818e-05
588,NE,W1,6.268737849325339e-06
588,NE,W2,9.913811707974127e-07
590,NE,Preinduction,5.422297394258778e-06
590,NE,W2,2.0168696993227474e-05
