trial_key,mouse_id,genotype,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_min,mean_peak_amp_z,trial_SD,threshold_z,n_interaction_bouts
Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,Interaction,26.509000000000015,9,20.370440227847133,3.597860751028765,0.9190635134547634,1.838127026909527,3
Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,Outside interaction,273.3306480000001,28,6.146401848064983,2.743983417033949,0.9190635134547634,1.838127026909527,3
Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,Interaction,16.706000000000017,1,3.5915240033520854,2.7310203277884106,0.9898831007600358,1.9797662015200717,4
Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,Outside interaction,283.1337759999998,37,7.840816561567708,3.0621979900545666,0.9898831007600358,1.9797662015200717,4
Preinduction__ID590_NE__3CT_FP4_3__3CT_Preinduction_C3-Trial_____6,590,NE,Social,Preinduction,Interaction,48.55999999999992,11,13.591433278418474,2.6571026138148452,0.9264722304535247,1.8529444609070493,5
Preinduction__ID590_NE__3CT_FP4_3__3CT_Preinduction_C3-Trial_____6,590,NE,Social,Preinduction,Outside interaction,251.28012800000081,28,6.685765457744413,2.4105520954594795,0.9264722304535247,1.8529444609070493,5
Preinduction__ID590_NE__3CT_FP5_3__3CT_Preinduction_C3-Trial_____7,590,NE,Novel,Preinduction,Interaction,60.17999999999992,5,4.985044865403795,2.518542895362726,0.9396672176643066,1.8793344353286132,7
Preinduction__ID590_NE__3CT_FP5_3__3CT_Preinduction_C3-Trial_____7,590,NE,Novel,Preinduction,Outside interaction,239.7002239999987,31,7.7596923730868514,2.4838343252230763,0.9396672176643066,1.8793344353286132,7
Preinduction__ID566_NE__3CT_FP8_3__3CT_Preinduction_C3-Trial____10,566,NE,Social,Preinduction,Interaction,104.59999999999994,28,16.061185468451253,2.8508090087729374,1.0073824625862298,2.0147649251724595,17
Preinduction__ID566_NE__3CT_FP8_3__3CT_Preinduction_C3-Trial____10,566,NE,Social,Preinduction,Outside interaction,195.24003200000013,9,2.7658262215404656,2.4231394544881932,1.0073824625862298,2.0147649251724595,17
Preinduction__ID566_NE__3CT_FP9_3__3CT_Preinduction_C3-Trial____11,566,NE,Novel,Preinduction,Interaction,32.38,9,16.676961087090795,3.5434643418364744,1.0128442286461206,2.025688457292241,7
Preinduction__ID566_NE__3CT_FP9_3__3CT_Preinduction_C3-Trial____11,566,NE,Novel,Preinduction,Outside interaction,267.46031999999934,29,6.505637920421258,2.734190903044554,1.0128442286461206,2.025688457292241,7
Preinduction__ID580_NE__3CT_FP11_3__3CT_Preinduction_C3-Trial____13,580,NE,Social,Preinduction,Interaction,71.95999999999997,24,20.011117287381886,2.8014958993535113,0.9110980737500491,1.8221961475000983,9
Preinduction__ID580_NE__3CT_FP11_3__3CT_Preinduction_C3-Trial____13,580,NE,Social,Preinduction,Outside interaction,227.88015999999976,14,3.686148017449175,2.54230546701477,0.9110980737500491,1.8221961475000983,9
Preinduction__ID580_NE__3CT_FP12_3__3CT_Preinduction_C3-Trial____14,580,NE,Novel,Preinduction,Interaction,17.679999999999993,7,23.755656108597293,2.766069598964036,0.9332940640458557,1.8665881280917114,4
Preinduction__ID580_NE__3CT_FP12_3__3CT_Preinduction_C3-Trial____14,580,NE,Novel,Preinduction,Outside interaction,282.1599360000003,27,5.741424608205178,2.8250545573134977,0.9332940640458557,1.8665881280917114,4
Preinduction__ID533_NE__3CT_FP21_3__3CT_Preinduction_C3-Trial____23,533,NE,Social,Preinduction,Interaction,9.66,6,37.26708074534161,4.1155744948259905,0.9473259949399643,1.8946519898799286,2
Preinduction__ID533_NE__3CT_FP21_3__3CT_Preinduction_C3-Trial____23,533,NE,Social,Preinduction,Outside interaction,290.1805119999988,14,2.8947498721072056,2.6727117391004844,0.9473259949399643,1.8946519898799286,2
Preinduction__ID533_NE__3CT_FP22_3__3CT_Preinduction_C3-Trial____24,533,NE,Novel,Preinduction,Interaction,13.83999999999999,2,8.67052023121388,3.7794034598780426,1.0183285883065416,2.036657176613083,3
Preinduction__ID533_NE__3CT_FP22_3__3CT_Preinduction_C3-Trial____24,533,NE,Novel,Preinduction,Outside interaction,286.0008640000016,19,3.9860019443857113,3.2772947160159567,1.0183285883065416,2.036657176613083,3
Preinduction__ID541_NE__3CT_FP24_3__3CT_Preinduction_C3-Trial____26,541,NE,Social,Preinduction,Interaction,45.699999999999996,11,14.442013129102847,2.718881016318038,0.9511507701998765,1.902301540399753,10
Preinduction__ID541_NE__3CT_FP24_3__3CT_Preinduction_C3-Trial____26,541,NE,Social,Preinduction,Outside interaction,254.14064000000218,31,7.318782230185555,2.644464610037124,0.9511507701998765,1.902301540399753,10
Preinduction__ID541_NE__3CT_FP25_3__3CT_Preinduction_C3-Trial____27,541,NE,Novel,Preinduction,Interaction,1.9199999999999875,1,31.250000000000203,2.5333887229195375,0.9217296324954481,1.8434592649908963,1
Preinduction__ID541_NE__3CT_FP25_3__3CT_Preinduction_C3-Trial____27,541,NE,Novel,Preinduction,Outside interaction,297.92079999999817,37,7.451644866689448,2.8401123696227035,0.9217296324954481,1.8434592649908963,1
W1__ID588_NE__3CT_FP1_3__3CT_W1_C3-Trial_____3,588,NE,Social,W1,Interaction,27.900000000000034,9,19.354838709677395,3.211193438751829,1.0028174980161895,2.005634996032379,4
W1__ID588_NE__3CT_FP1_3__3CT_W1_C3-Trial_____3,588,NE,Social,W1,Outside interaction,271.9397760000002,29,6.398475521286002,2.8775771868068376,1.0028174980161895,2.005634996032379,4
W1__ID588_NE__3CT_FP2_3__3CT_W1_C3-Trial_____4,588,NE,Novel,W1,Interaction,21.220000000000027,9,25.4476908576814,4.212408183799758,0.9903497488333499,1.9806994976666998,6
W1__ID588_NE__3CT_FP2_3__3CT_W1_C3-Trial_____4,588,NE,Novel,W1,Outside interaction,278.61984000000007,24,5.168332592538994,2.7188835725714795,0.9903497488333499,1.9806994976666998,6
W1__ID590_NE__3CT_FP4_3__3CT_W1_C3-Trial_____6,590,NE,Social,W1,Interaction,117.38,24,12.267848014994037,3.1523968454009528,0.9397871877227012,1.8795743754454024,8
W1__ID590_NE__3CT_FP4_3__3CT_W1_C3-Trial_____6,590,NE,Social,W1,Outside interaction,182.49993600000028,6,1.9726034314883238,2.2499256126991427,0.9397871877227012,1.8795743754454024,8
W1__ID566_NE__3CT_FP7_3__3CT_W1_C3-Trial____10,566,NE,Social,W1,Interaction,111.56,17,9.14306202940122,2.755143879710592,0.9720366450238961,1.9440732900477922,9
W1__ID566_NE__3CT_FP7_3__3CT_W1_C3-Trial____10,566,NE,Social,W1,Outside interaction,188.28006399999998,12,3.824090478320637,2.7173272753506894,0.9720366450238961,1.9440732900477922,9
W1__ID566_NE__3CT_FP8_3__3CT_W1_C3-Trial____11,566,NE,Novel,W1,Interaction,29.159999999999997,5,10.288065843621402,2.8506852947295647,1.339188604637093,2.678377209274186,7
W1__ID566_NE__3CT_FP8_3__3CT_W1_C3-Trial____11,566,NE,Novel,W1,Outside interaction,270.6801919999997,20,4.433276004178397,3.400132848305786,1.339188604637093,2.678377209274186,7
W1__ID580_NE__3CT_FP10_3__3CT_W1_C3-Trial____13,580,NE,Social,W1,Interaction,55.93999999999998,21,22.52413299964248,2.675852906155597,0.9345371880668973,1.8690743761337947,7
W1__ID580_NE__3CT_FP10_3__3CT_W1_C3-Trial____13,580,NE,Social,W1,Outside interaction,243.90028799999942,20,4.9200433908466845,2.7921856148104247,0.9345371880668973,1.8690743761337947,7
W1__ID580_NE__3CT_FP11_3__3CT_W1_C3-Trial____14,580,NE,Novel,W1,Interaction,22.060000000000002,6,16.319129646418855,2.544910194117293,0.9402802904629197,1.8805605809258394,4
