trial_type,analysis_window,timepoint,n_mice,mean_duration_s,mean_n_peaks,mean_peaks_per_min,sd_peaks_per_min
Novel,Interaction,Preinduction,6,23.78433333333332,4.166666666666667,14.821617715943008,11.080255015130177
Novel,Interaction,W1,5,26.208000000000016,8.0,18.072548620925307,6.95371553107101
Novel,Interaction,W2,6,46.809999999999974,13.5,20.82104518991635,6.692202616221511
Novel,Outside interaction,Preinduction,6,276.062653333333,30.0,6.547536379059359,1.4948135850128692
Novel,Outside interaction,W1,5,273.6481728,23.8,5.190921286110637,1.7282369789656222
Novel,Outside interaction,W2,6,253.05683199999976,28.166666666666668,6.591860761690332,1.2073045917630585
Social,Interaction,Preinduction,6,51.1648333333333,14.833333333333334,20.2905450227572,8.777905603925188
Social,Interaction,W1,6,66.25666666666667,16.666666666666668,17.65819690154724,6.255038610759024
Social,Interaction,W2,6,59.84666666666667,15.5,16.93963091382641,5.3338455960522655
Social,Outside interaction,Preinduction,6,248.67535333333365,20.666666666666668,4.916278941181966,2.031775367409457
Social,Outside interaction,W1,6,233.5967466666667,17.166666666666668,4.258706660703337,1.535362783770426
Social,Outside interaction,W2,6,240.00010133333308,25.333333333333332,6.233638331083891,2.652172227076555
