syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
16,248.2261,352.0007,2.7999,2.2765,4.3588,-8.9953,-0.483,4.204,-2.6256,-1.7833
16,246.9382,352.7687,-0.8381,0.7595,4.6158,-1.4375,-0.2007,-4.2038,-1.289,-0.1334
16,245.6701,354.0596,-0.6157,0.0434,0.0462,-1.1245,0.3476,-0.2607,-1.1433,-0.5128
16,246.8171,353.3531,-0.6341,0.0228,0.2032,-1.0142,0.3056,-0.2222,-0.9819,-0.476
16,247.5866,352.9682,-0.5234,-0.0178,0.0677,-0.9889,0.4194,-0.0089,-0.5962,-0.2336
16,247.6477,352.1506,-0.5187,0.0161,0.0628,-0.9148,0.3544,0.1602,-0.7853,0.1308
16,247.4487,351.3349,-0.4856,0.0919,0.2577,-0.9461,0.4033,0.0049,-0.6459,-0.1366
16,246.7691,348.7014,-0.5019,0.0284,0.27,-0.9895,0.3789,-0.1191,-0.8144,-0.1863
16,246.9106,349.5886,-0.4836,0.104,0.3464,-0.8137,0.5319,-0.1231,-0.6468,-0.1115
16,246.702,348.5541,-0.441,0.1387,0.4521,-0.809,0.5903,-0.23,-0.6664,-0.1552
16,246.7856,349.2276,-0.4539,0.1379,0.5411,-0.768,0.5872,-0.3693,-0.9026,-0.1037
16,247.7514,349.1165,-0.4967,0.1203,0.5067,-0.6446,0.5715,-0.5233,-0.8538,-0.0874
16,247.5211,349.3961,-0.5048,0.1182,0.3299,-0.5491,0.5732,-0.419,-1.0694,-0.2288
16,248.1878,349.8881,-0.4564,0.0291,0.4238,-0.6913,0.6728,-0.3089,-0.9473,-0.4963
13,247.4624,350.4296,-0.4586,0.0714,0.3813,-0.6321,0.512,-0.4525,-0.9492,-0.4715
13,247.7521,349.8279,-0.4687,0.1092,0.3208,-0.5729,0.6231,-0.3407,-0.9036,-0.305
13,247.1037,349.8717,-0.4433,0.1096,0.4147,-0.9085,0.6606,-0.339,-0.9381,-0.5337
13,247.4,350.1553,-0.4376,0.1879,0.3757,-0.6955,0.6912,-0.4545,-0.9949,-0.5618
13,247.205,350.4685,-0.4711,0.2288,0.4967,-0.747,0.4811,-0.2597,-0.9542,-0.1815
13,247.3828,350.289,-0.4931,0.1707,0.6,-0.7537,0.5118,-0.2832,-1.2466,-0.354
13,247.2948,350.1911,-0.4818,0.1688,0.3903,-0.6103,0.4956,-0.2686,-1.163,-0.3564
13,247.3344,350.4772,-0.4561,0.2231,0.4169,-0.6029,0.5081,-0.2443,-0.9515,-0.3051
13,247.568,350.5841,-0.5095,0.0939,0.4284,-0.7056,0.5165,-0.1164,-1.0002,-0.2685
13,247.5657,350.5168,-0.4895,0.2068,0.2916,-0.6802,0.47,-0.1601,-0.9746,-0.3071
13,246.9632,349.8259,-0.4312,0.3005,0.3914,-0.6389,0.4877,-0.1744,-0.9809,-0.04
13,247.1758,350.4332,-0.4619,0.2554,0.5283,-0.5881,0.6285,-0.3509,-0.8598,-0.1719
13,247.6857,350.0893,-0.4132,0.1964,0.4761,-0.6631,0.5552,-0.2256,-0.7434,-0.0654
13,246.796,350.3103,-0.4494,0.3267,0.4683,-0.7068,0.3999,-0.4305,-0.9479,-0.2264
13,247.2345,350.2534,-0.4188,0.2911,0.3869,-0.6203,0.3369,-0.2687,-0.7519,-0.3116
13,246.5543,351.474,-0.445,0.3311,0.5058,-0.6621,0.1986,-0.1506,-0.7132,-0.3568
13,247.0163,350.3396,-0.4386,0.3549,0.3376,-0.7371,0.4382,-0.245,-1.0079,-0.334
13,247.7569,350.131,-0.4301,0.329,0.2745,-0.74,0.3835,-0.3118,-0.95,-0.1966
25,247.6749,350.3546,-0.4463,0.2431,0.3673,-0.894,0.3635,-0.1232,-0.913,-0.2988
25,247.9695,350.0912,-0.4381,0.2119,0.1695,-1.0413,0.2905,-0.1377,-1.0132,-0.2294
25,248.5783,349.8033,-0.4424,0.248,0.0588,-1.0677,0.2441,-0.1989,-1.0077,-0.0552
25,250.569,350.4659,-0.4093,0.2661,-0.0187,-1.1261,0.2641,-0.076,-0.9821,-0.0796
25,252.3816,349.9995,-0.3217,0.2896,0.0683,-1.1328,0.2211,-0.1941,-0.7557,-0.1503
25,254.8978,349.7197,-0.3352,0.0227,0.2057,-1.0212,0.2196,-0.4674,-0.6945,-0.139
25,257.2024,349.5808,-0.2816,0.0572,0.2022,-0.9858,0.2854,-0.2831,-0.5895,-0.0783
25,259.5613,348.3025,-0.2532,0.0729,0.2053,-0.8289,0.2848,-0.2929,-0.6147,-0.1712
25,263.112,348.1504,-0.259,-0.0095,0.2624,-1.0537,0.1152,-0.2791,-0.4054,-0.0967
25,265.7223,347.0572,-0.2215,-0.0037,0.1204,-1.0277,0.0535,-0.1858,-0.562,-0.1602
25,268.582,346.9008,-0.2471,-0.1712,0.1248,-0.9637,0.1425,-0.2153,-0.6218,-0.1986
25,271.4993,346.0693,-0.2646,-0.0796,0.1787,-1.0468,-0.0125,-0.0412,-0.5942,-0.2944
25,274.6354,345.3092,-0.275,-0.2238,0.2074,-1.1402,0.034,-0.3419,-0.7056,-0.1867
25,277.4015,344.7882,-0.3035,-0.253,0.3155,-0.8556,-0.0706,-0.6015,-0.7442,-0.1123
25,280.3268,343.843,-0.3055,-0.0773,0.4031,-0.9584,0.3037,-0.3702,-0.751,-0.1752
25,282.971,343.2588,-0.3099,-0.124,0.3779,-0.7878,0.4472,-0.2505,-0.6189,-0.2335
25,284.3221,341.4487,-0.2581,-0.0316,0.1916,-0.9085,0.3738,-0.4354,-0.5616,-0.1427
25,285.9086,339.225,-0.3268,-0.0974,0.2916,-0.9758,0.565,-0.3011,-0.5732,-0.2994
25,287.9764,336.8302,-0.3433,-0.2159,0.4026,-0.7063,0.5689,-0.2711,-0.7415,-0.2243
25,290.0852,334.8333,-0.3157,-0.3043,0.379,-0.6201,0.6571,-0.2654,-0.6232,-0.4619
25,291.4444,333.5992,-0.3335,-0.312,0.4156,-0.515,0.7841,-0.3858,-0.4084,-0.3741
25,292.9778,331.5516,-0.3491,-0.2707,0.2661,-0.709,0.5783,-0.2682,-0.4631,-0.4225
25,296.0596,329.9712,-0.3258,-0.3279,0.2385,-0.6956,0.5151,-0.4144,-0.272,-0.3464
25,298.0629,328.4047,-0.3507,-0.2646,0.3615,-0.8615,0.5566,-0.362,-0.3166,-0.1937
25,300.1832,325.7616,-0.3519,-0.3589,0.3914,-0.822,0.5333,-0.3624,-0.1219,-0.2505
25,301.2778,326.3738,-0.3758,-0.4078,0.2772,-0.8836,0.4428,-0.2656,0.0114,-0.2044
25,303.1334,325.5222,-0.359,-0.3645,0.2255,-0.9614,0.3176,-0.0876,-0.1557,-0.0155
25,304.463,326.0278,-0.4288,-0.4681,0.1328,-0.8958,0.2536,-0.1933,-0.063,-0.0869
25,307.1314,325.9659,-0.4399,-0.3076,0.034,-0.9646,0.0494,-0.4047,-0.2207,0.1842
25,308.5885,326.1164,-0.4348,-0.6437,-0.1892,-0.8361,-0.0375,-0.3682,-0.2236,-0.0792
25,310.8205,324.4552,-0.4382,-0.5544,-0.0979,-0.9233,-0.1555,-0.2153,-0.2185,-0.0199
