syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4,latent_state 5,latent_state 6
1,511.0193,707.3413,-1.473,4.4282,0.4195,-1.2011,2.6714,1.8787,3.506,-1.2097
1,512.8818,707.1182,3.1377,0.0418,0.3743,-1.5821,-0.1208,-0.4627,-0.696,1.3833
1,511.8504,707.5402,-3.0754,1.0409,0.2221,-0.1519,-0.2551,-0.205,0.5205,0.1791
1,510.2194,707.0803,-3.029,0.7967,0.2393,-0.3556,-0.1452,-0.4959,0.409,-0.1197
1,509.6266,707.0641,-3.0361,0.9911,0.3485,-0.2331,-0.256,-0.4692,0.4194,0.4584
1,509.1348,707.2444,-2.9785,0.9576,0.0651,-0.2581,-0.1157,-0.5899,0.724,0.2151
1,509.5708,708.2257,-3.054,0.9391,0.252,-0.271,-0.1863,-0.4583,0.5226,0.135
1,509.4283,708.0385,-3.0626,0.8979,0.3333,-0.3005,-0.3384,-0.3977,0.6567,0.5501
1,509.6447,708.5918,-3.0787,0.8552,0.1869,-0.1811,-0.2222,-0.3878,0.6903,0.5724
1,508.8188,707.9063,-3.036,0.8479,0.3629,-0.1535,-0.2585,-0.4721,0.7059,0.5458
1,508.8803,707.6381,-3.0468,0.9787,0.2885,-0.13,-0.1602,-0.2991,0.6757,0.4769
1,509.2733,707.2596,-3.0435,0.9982,0.1763,-0.3622,-0.3571,-0.5506,0.69,0.4593
1,509.6729,707.8715,-3.0237,0.9828,0.1322,-0.2409,-0.3379,-0.5532,0.7489,0.5552
1,509.7793,707.8016,-3.0085,1.0122,0.0857,-0.3187,-0.4082,-0.4567,0.692,0.4821
1,510.1646,708.3316,-3.041,0.9824,0.1635,-0.3854,-0.4469,-0.5039,0.7543,0.4668
1,510.4,707.8885,-3.0372,1.063,0.11,-0.4176,-0.4285,-0.5278,0.8446,0.3514
1,510.8911,708.4547,-3.0262,0.979,0.1424,-0.4311,-0.4297,-0.5393,0.6828,0.2584
1,511.3639,708.0513,-2.9951,0.9777,0.2609,-0.3087,-0.4608,-0.5956,0.7296,0.4326
1,510.6691,707.812,-3.0355,0.9509,0.1098,-0.2787,-0.3637,-0.5126,0.7781,0.3313
1,510.5688,708.5348,-3.0537,0.9106,0.176,-0.2318,-0.3892,-0.6044,0.7296,0.3321
