week,mouse_id,condition,behavior,duration_s
Preinduction,376,Social,Novel_interaction,0.7199999999997999
Preinduction,376,Social,Novel_interaction,4.960000000000036
Preinduction,376,Social,Novel_interaction,0.47999999999956344
Preinduction,376,Social,Social_interaction,15.519999999999982
Preinduction,376,Social,Social_interaction,15.239968000000317
Preinduction,376,Social,Social_interaction,1.1599999999998545
Preinduction,376,Social,Social_interaction,7.400000000000091
Preinduction,376,Social,Social_interaction,9.559999999999945
Preinduction,376,Social,Social_interaction,2.3200000000001637
Preinduction,376,Social,Social_interaction,6.359999999999673
Preinduction,376,Social,Social_interaction,14.840000000000146
Preinduction,376,Social,Social_interaction,4.960000000000036
Preinduction,376,Social,Social_interaction,2.2799999999997453
Preinduction,376,Social,Social_interaction,1.6000000000003638
Preinduction,376,Novel,Novel_interaction,6.8400000000001455
Preinduction,376,Novel,Novel_interaction,6.920000000000073
Preinduction,376,Novel,Novel_interaction,5.279999999999745
Preinduction,376,Novel,Novel_interaction,6.519999999999527
Preinduction,376,Novel,Novel_interaction,4.920000000000073
Preinduction,376,Novel,Social_interaction,3.2000000000007276
Preinduction,376,Novel,Social_interaction,3.2399999999997817
Preinduction,376,Novel,Social_interaction,2.7600000000002183
Preinduction,376,Novel,Social_interaction,2.2799999999997453
Preinduction,376,Novel,Social_interaction,1.4400000000005093
Preinduction,376,Novel,Social_interaction,2.839999999999236
Preinduction,372,Social,Novel_interaction,3.4399999999996
Preinduction,372,Social,Novel_interaction,4.8400000000001455
Preinduction,372,Social,Novel_interaction,2.800000000000182
Preinduction,372,Social,Novel_interaction,2.199999999999818
Preinduction,372,Social,Novel_interaction,1.9199999999991633
Preinduction,372,Social,Social_interaction,3.759968000000299
Preinduction,372,Social,Social_interaction,5.279967999999826
Preinduction,372,Social,Social_interaction,11.919999999999163
Preinduction,372,Novel,Novel_interaction,2.0799999999999272
Preinduction,372,Novel,Novel_interaction,1.8800000000001091
Preinduction,372,Novel,Novel_interaction,2.4799999999995634
Preinduction,372,Novel,Novel_interaction,1.4399999999995998
Preinduction,372,Novel,Novel_interaction,2.3200000000006185
Preinduction,372,Novel,Novel_interaction,4.440000000000509
Preinduction,372,Novel,Novel_interaction,2.9200000000000728
Preinduction,372,Novel,Novel_interaction,11.920000000000073
Preinduction,372,Novel,Novel_interaction,1.199999999999818
Preinduction,372,Novel,Social_interaction,1.800000000000182
Preinduction,372,Novel,Social_interaction,9.079999999999927
Preinduction,372,Novel,Social_interaction,4.600000000000364
Preinduction,372,Novel,Social_interaction,8.720000000000255
Preinduction,372,Novel,Social_interaction,1.5600000000004002
Preinduction,374,Social,Novel_interaction,1.640000000001237
Preinduction,374,Social,Novel_interaction,3.2000000000007276
Preinduction,374,Social,Social_interaction,6.079999999999927
Preinduction,374,Social,Social_interaction,4.040000000000873
Preinduction,374,Social,Social_interaction,22.31996800000161
Preinduction,374,Social,Social_interaction,19.959968000001027
Preinduction,374,Social,Social_interaction,3.4400000000005093
Preinduction,374,Social,Social_interaction,8.19996799999899
Preinduction,374,Social,Social_interaction,2.319999999999709
Preinduction,374,Social,Social_interaction,3.360000000000582
Preinduction,374,Social,Social_interaction,2.4800000000013824
Preinduction,374,Novel,Novel_interaction,2.4399999999986903
Preinduction,374,Novel,Novel_interaction,2.4799679999996442
Preinduction,374,Novel,Novel_interaction,18.519968000000517
Preinduction,374,Novel,Novel_interaction,1.2799680000007356
Preinduction,374,Novel,Novel_interaction,11.719967999999426
Preinduction,374,Novel,Novel_interaction,1.8000000000010914
Preinduction,374,Novel,Social_interaction,3.3199679999997898
Preinduction,374,Novel,Social_interaction,1.1999999999989086
Preinduction,374,Novel,Social_interaction,3.7600000000002183
Preinduction,374,Novel,Social_interaction,0.7199999999993452
Preinduction,374,Novel,Social_interaction,1.680000000000291
Preinduction,429,Social,Novel_interaction,1.4799999999995634
Preinduction,429,Social,Novel_interaction,0.8400000000001455
Preinduction,429,Social,Novel_interaction,7.720000000001164
Preinduction,429,Social,Novel_interaction,2.280000000000655
Preinduction,429,Social,Novel_interaction,1.8799999999991996
Preinduction,429,Social,Social_interaction,4.119999999998981
Preinduction,429,Social,Social_interaction,3.9200000000000728
Preinduction,429,Social,Social_interaction,7.319999999999709
Preinduction,429,Social,Social_interaction,4.599999999998545
Preinduction,429,Social,Social_interaction,13.359967999998844
Preinduction,429,Social,Social_interaction,6.520000000000437
Preinduction,429,Social,Social_interaction,9.960000000000946
Preinduction,429,Social,Social_interaction,16.360000000000582
Preinduction,429,Social,Social_interaction,3.600000000000364
Preinduction,429,Social,Social_interaction,6.039999999999054
Preinduction,429,Novel,Novel_interaction,4.719999999999345
Preinduction,429,Novel,Novel_interaction,0.8799999999991996
Preinduction,429,Novel,Novel_interaction,5.1200000000008
Preinduction,429,Novel,Novel_interaction,6.079999999999927
Preinduction,429,Novel,Novel_interaction,2.599999999998545
Preinduction,429,Novel,Novel_interaction,0.7600000000002183
Preinduction,429,Novel,Novel_interaction,2.1599999999998545
Preinduction,429,Novel,Novel_interaction,4.239999999999782
Preinduction,429,Novel,Novel_interaction,4.719999999999345
Preinduction,429,Novel,Novel_interaction,1.4799999999995634
Preinduction,429,Novel,Novel_interaction,1.0799999999999272
Preinduction,429,Novel,Novel_interaction,17.19999999999891
Preinduction,429,Novel,Novel_interaction,3.7600000000002183
Preinduction,429,Novel,Social_interaction,5.719967999999426
Preinduction,429,Novel,Social_interaction,6.119999999998981
Preinduction,429,Novel,Social_interaction,3.319999999999709
Preinduction,429,Novel,Social_interaction,4.200000000000728
Preinduction,429,Novel,Social_interaction,1.2800000000006548
Preinduction,423,Social,Novel_interaction,2.0
Preinduction,423,Social,Novel_interaction,2.0
Preinduction,423,Social,Novel_interaction,2.959999999999127
Preinduction,423,Social,Social_interaction,10.240031999999701
Preinduction,423,Social,Social_interaction,5.1599999999998545
Preinduction,423,Social,Social_interaction,15.1200319999989
Preinduction,423,Social,Social_interaction,5.760000000000218
Preinduction,423,Social,Social_interaction,19.359999999998763
Preinduction,423,Social,Social_interaction,2.2799680000007356
Preinduction,423,Social,Social_interaction,0.5599999999994907
Preinduction,423,Social,Social_interaction,2.2000000000007276
Preinduction,423,Social,Social_interaction,1.639999999999418
Preinduction,423,Social,Social_interaction,2.360000000000582
Preinduction,423,Social,Social_interaction,6.239999999999782
Preinduction,423,Social,Social_interaction,2.039999999999054
Preinduction,423,Social,Social_interaction,4.119967999999062
Preinduction,423,Novel,Social_interaction,1.3999999999996362
Preinduction,423,Novel,Social_interaction,3.0800000000017462
Preinduction,423,Novel,Social_interaction,12.199999999998909
Preinduction,463,Social,Novel_interaction,3.3600320000005013
Preinduction,463,Social,Novel_interaction,6.1599999999998545
Preinduction,463,Social,Novel_interaction,10.199999999998909
Preinduction,463,Social,Novel_interaction,4.1599999999998545
Preinduction,463,Social,Novel_interaction,4.1599999999998545
Preinduction,463,Social,Social_interaction,19.1200000000008
Preinduction,463,Social,Social_interaction,18.039999999999054
Preinduction,463,Social,Social_interaction,2.279999999998836
Preinduction,463,Social,Social_interaction,5.520000000000437
Preinduction,463,Novel,Novel_interaction,3.040000000000873
Preinduction,463,Novel,Novel_interaction,4.440000000000509
Preinduction,463,Novel,Novel_interaction,3.9199680000001536
Preinduction,463,Novel,Novel_interaction,4.759968000000299
