method,trial_key,mouse_id,genotype,trial_type,timepoint,peak_number,peak_time_s,peak_amp_z,is_social_interaction,social_bout_number,time_from_social_onset_s,time_from_social_offset_s
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,1,1.1199999999998909,2.614853293705822,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,2,1.7600000000002183,2.814155853240368,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,3,2.5600000000004,1.9758477702088433,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,4,4.720000000000255,1.8192936541212008,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,5,12.920000000000073,2.24644327231966,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,6,18.840000000000146,3.0443000341450834,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,7,19.44000000000051,3.231338959287074,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,8,35.31996799999979,2.3709672248839357,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,9,43.839968000000226,4.593990600446032,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,10,52.51993599999969,4.7713408513538775,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,11,54.11993600000005,3.842962593863419,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,12,54.67993600000045,2.2475910521994225,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,13,55.19993599999998,2.943620685828396,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,14,92.59987199999978,3.3225051636535414,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,15,94.7998720000005,2.2464565863250407,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,16,96.55987199999981,2.837396549777713,True,1.0,0.32787199999981453,-4.934128000000186
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,17,97.07987200000025,4.165311274489326,True,1.0,0.8478720000002511,-4.414127999999749
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,18,105.03987200000029,2.148296217273481,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,19,107.79983999999968,2.0344790591843065,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,20,125.43984,4.6057050637281955,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,21,127.1998080000003,2.668527209322727,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,22,163.03977600000053,3.4080306551522344,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,23,164.35977600000024,2.130067510746515,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,24,165.23977600000035,3.123681825592397,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,25,170.55974400000014,2.545994352789513,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,26,197.2397120000005,3.8961087898871165,True,3.0,1.1937120000005166,-6.608287999999504
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,27,197.799712,3.4044990174501897,True,3.0,1.7537120000000073,-6.048288000000014
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,28,198.799712,4.744684186738402,True,3.0,2.7537120000000073,-5.048288000000014
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,29,199.99971199999982,3.6944527627272987,True,3.0,3.9537119999998254,-3.8482880000001956
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,30,201.55971200000022,2.5669863053106896,True,3.0,5.5137120000002255,-2.2882879999997954
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,31,229.71968000000015,1.8907413870267071,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,32,230.95967999999993,2.441700295873064,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,33,231.87968,2.2994021245586307,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,34,239.51968000000033,1.7035211108756523,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,35,241.63968000000023,1.6474100016993527,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,36,242.75968000000012,1.7148663005594018,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,37,244.1196799999998,1.5432570583191247,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,38,247.6796800000002,2.44921424766763,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,39,265.0796799999998,0.9754664447127532,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,40,278.39968000000044,1.4288118334386644,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,41,278.91967999999997,1.235427127462007,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,1,4.920000000000073,1.5280824415258076,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,2,6.640000000000327,2.252341504883969,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,3,10.920000000000073,1.5205225334217545,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,4,11.600000000000364,3.30671024918606,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,5,19.039968000000044,1.6145059444410204,False,,,
