method,trial_key,mouse_id,genotype,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,n_social_bouts
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,Entire_trial,299.8396480000001,41,0.13673975497730034,8.204385298638021,2.7168221050718246,2.545994352789513,5
rolling_60s,Preinduction__ID588_NE__3CT_FP0_3__3CT_Preinduction_C3-Trial_____1,588,NE,Hab,Preinduction,Social_interaction,22.04700000000001,7,0.31750351521748976,19.050210913049387,3.6156341266258196,3.6944527627272987,5
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,Entire_trial,299.8396480000001,43,0.14340998692741255,8.604599215644754,2.7251305827607664,2.6502307839699846,3
rolling_60s,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,Social_interaction,26.509000000000015,7,0.2640612622128332,15.843675732769993,3.952712828539922,3.3020572228499985,3
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,Entire_trial,299.8397759999998,42,0.14007481115514184,8.40448866930851,2.9197556175281587,2.6581846650364707,3
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,Social_interaction,10.603999999999985,7,0.6601282534892503,39.607695209355015,3.5269147937617715,3.4394216895468976,3
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,Entire_trial,299.8399359999994,46,0.15341518749523778,9.204911249714266,2.5368372352281985,2.4051357256019776,7
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,Social_interaction,28.259999999999955,7,0.24769992922859205,14.861995753715522,2.2695206866812447,2.3245953837476576,7
rolling_60s,Preinduction__ID590_NE__3CT_FP4_3__3CT_Preinduction_C3-Trial_____6,590,NE,Social,Preinduction,Entire_trial,299.84012800000073,41,0.1367395360770387,8.204372164622322,2.4085838804100983,2.2234802731763055,5
rolling_60s,Preinduction__ID590_NE__3CT_FP4_3__3CT_Preinduction_C3-Trial_____6,590,NE,Social,Preinduction,Social_interaction,48.55999999999992,6,0.12355848434925885,7.413509060955532,3.2460357851017583,3.101285444306065,5
rolling_60s,Preinduction__ID590_NE__3CT_FP5_3__3CT_Preinduction_C3-Trial_____7,590,NE,Novel,Preinduction,Entire_trial,299.88022399999863,38,0.12671725895469577,7.603035537281746,2.4263310306896044,2.1734941554179636,6
rolling_60s,Preinduction__ID590_NE__3CT_FP5_3__3CT_Preinduction_C3-Trial_____7,590,NE,Novel,Preinduction,Social_interaction,24.639999999999986,4,0.16233766233766242,9.740259740259745,2.4575920015106427,2.3516726921917632,6
rolling_60s,Preinduction__ID566_NE__3CT_FP7_3__3CT_Preinduction_C3-Trial_____9,566,NE,Hab,Preinduction,Entire_trial,299.84064000000035,38,0.12673398776096514,7.604039265657908,2.9250872401717247,2.6809081896215377,9
rolling_60s,Preinduction__ID566_NE__3CT_FP7_3__3CT_Preinduction_C3-Trial_____9,566,NE,Hab,Preinduction,Social_interaction,37.34,10,0.26780931976432776,16.068559185859666,3.2345808153038917,2.876186556516525,9
rolling_60s,Preinduction__ID566_NE__3CT_FP8_3__3CT_Preinduction_C3-Trial____10,566,NE,Social,Preinduction,Entire_trial,299.84003200000006,35,0.11672890963405444,7.003734578043266,2.5921642793116946,2.377230745309646,17
rolling_60s,Preinduction__ID566_NE__3CT_FP8_3__3CT_Preinduction_C3-Trial____10,566,NE,Social,Preinduction,Social_interaction,104.59999999999994,26,0.24856596558317415,14.91395793499045,2.8254386962525495,2.4879583246739667,17
rolling_60s,Preinduction__ID566_NE__3CT_FP9_3__3CT_Preinduction_C3-Trial____11,566,NE,Novel,Preinduction,Entire_trial,299.84031999999934,43,0.1434096655179667,8.604579931078002,2.732604444637091,2.659963623817281,5
rolling_60s,Preinduction__ID566_NE__3CT_FP9_3__3CT_Preinduction_C3-Trial____11,566,NE,Novel,Preinduction,Social_interaction,27.02000000000001,5,0.18504811250925235,11.102886750555141,2.2955320131455443,2.3496085352150544,5
rolling_60s,Preinduction__ID580_NE__3CT_FP10_3__3CT_Preinduction_C3-Trial____12,580,NE,Hab,Preinduction,Entire_trial,299.84031999999934,48,0.16008520802005582,9.60511248120335,2.554741229324128,2.4419533482442057,3
rolling_60s,Preinduction__ID580_NE__3CT_FP10_3__3CT_Preinduction_C3-Trial____12,580,NE,Hab,Preinduction,Social_interaction,13.38000000000001,4,0.2989536621823615,17.937219730941692,2.7763799558338045,2.72289377909219,3
rolling_60s,Preinduction__ID580_NE__3CT_FP11_3__3CT_Preinduction_C3-Trial____13,580,NE,Social,Preinduction,Entire_trial,299.84015999999974,41,0.1367395214837133,8.204371289022797,2.5580596542641123,2.434956101358578,9
rolling_60s,Preinduction__ID580_NE__3CT_FP11_3__3CT_Preinduction_C3-Trial____13,580,NE,Social,Preinduction,Social_interaction,71.95999999999997,21,0.2918287937743192,17.509727626459153,2.90874592781982,2.7376700675086614,9
rolling_60s,Preinduction__ID580_NE__3CT_FP12_3__3CT_Preinduction_C3-Trial____14,580,NE,Novel,Preinduction,Entire_trial,299.8399360000003,39,0.13006939809378815,7.804163885627289,2.5442224994135567,2.361237005558559,5
rolling_60s,Preinduction__ID580_NE__3CT_FP12_3__3CT_Preinduction_C3-Trial____14,580,NE,Novel,Preinduction,Social_interaction,45.50000000000003,11,0.24175824175824162,14.505494505494497,2.964263343484268,3.3133722018630096,5
rolling_60s,Preinduction__ID533_NE__3CT_FP20_3__3CT_Preinduction_C3-Trial____22,533,NE,Hab,Preinduction,Entire_trial,299.84060800000225,33,0.11005847480138431,6.603508488083058,2.669597850301549,2.3614672977561444,2
