bout,behavior_start_s,behavior_end_s,behavior_duration_s,movie_start_s,movie_end_s,movie_duration_s,output_file
1,15.18,25.48,10.3,10.18,27.48,17.3,3CT_FP_11_1__Social_interaction_001__start_15.18s__end_25.48s.mp4
2,28.44,33.62,5.179999999999996,23.44,35.62,12.179999999999996,3CT_FP_11_1__Social_interaction_002__start_28.44s__end_33.62s.mp4
3,44.42,59.58,15.159999999999997,39.42,61.58,22.159999999999997,3CT_FP_11_1__Social_interaction_003__start_44.42s__end_59.58s.mp4
4,73.86,79.66,5.799999999999997,68.86,81.66,12.799999999999997,3CT_FP_11_1__Social_interaction_004__start_73.86s__end_79.66s.mp4
5,100.02,119.44,19.42,95.02,121.44,26.42,3CT_FP_11_1__Social_interaction_005__start_100.02s__end_119.44s.mp4
6,216.24,218.54,2.299999999999983,211.24,220.54,9.299999999999983,3CT_FP_11_1__Social_interaction_006__start_216.24s__end_218.54s.mp4
7,227.1,227.7,0.5999999999999943,222.1,229.7,7.599999999999994,3CT_FP_11_1__Social_interaction_007__start_227.10s__end_227.70s.mp4
8,233.08,235.3,2.219999999999999,228.08,237.3,9.219999999999999,3CT_FP_11_1__Social_interaction_008__start_233.08s__end_235.30s.mp4
9,249.06,250.72,1.6599999999999966,244.06,252.72,8.659999999999997,3CT_FP_11_1__Social_interaction_009__start_249.06s__end_250.72s.mp4
10,268.46,270.86,2.400000000000034,263.46,272.86,9.400000000000034,3CT_FP_11_1__Social_interaction_010__start_268.46s__end_270.86s.mp4
11,275.26,285.12,9.860000000000014,270.26,287.12,16.860000000000014,3CT_FP_11_1__Social_interaction_011__start_275.26s__end_285.12s.mp4
12,295.74,300.0,4.259999999999991,290.74,300.782,10.041999999999973,3CT_FP_11_1__Social_interaction_012__start_295.74s__end_300.00s.mp4
