FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,21210.16256,7,62399946.0992,0.00392156862745098
1,21210.182528,2,62399964.3008,0.0371801176060811
2,21210.202528,1,62399984.2432,0.0245528305366034
3,21210.222528,2,62400004.1472,0.0370356711127502
4,21210.242528,1,62400024.1792,0.022511115208884
5,21210.262528,2,62400044.1856,0.036933226791239
6,21210.282528,1,62400064.1664,0.0243848218493249
7,21210.302528,2,62400084.2112,0.0366453582477923
8,21210.322528,1,62400104.2176,0.0243530641096564
9,21210.342528,2,62400124.16,0.0362181654270904
10,21210.362528,1,62400144.2176,0.0241850554223779
11,21210.382528,2,62400164.1984,0.0358483414264347
12,21210.402528,1,62400184.1664,0.0241666154445059
13,21210.422528,2,62400204.2368,0.0355481795644067
14,21210.442528,1,62400224.2048,0.0240846599872969
15,21210.462528,2,62400244.1984,0.0351814288933964
16,21210.482528,1,62400264.2432,0.023985288995431
17,21210.502528,2,62400284.1984,0.0348915114635196
18,21210.522528,1,62400304.1792,0.0239289446185998
19,21210.542528,2,62400324.16,0.0345575429753929
20,21210.562528,1,62400344.2048,0.0237937181142049
21,21210.582528,2,62400364.2624,0.0342532833405044
22,21210.602528,1,62400384.2304,0.0237742536931178
23,21210.622528,2,62400404.2624,0.0341293257114758
24,21210.642528,1,62400424.3072,0.0237322515212982
25,21210.662528,2,62400444.2112,0.0339818058884996
26,21210.682528,1,62400464.192,0.0236728338148216
27,21210.702528,2,62400484.224,0.0337635994836806
28,21210.722528,1,62400504.256,0.0236800049173274
29,21210.742528,2,62400524.2368,0.0337390128465179
30,21210.762528,1,62400544.2176,0.023558096174729
31,21210.782528,2,62400564.2496,0.0336017374556928
32,21210.802528,1,62400584.2304,0.0235816583686766
33,21210.822528,2,62400604.2496,0.0336519351732333
34,21210.842528,1,62400624.2176,0.0234617985125085
35,21210.862528,2,62400644.2752,0.0337717950294015
36,21210.882528,1,62400664.2304,0.0233982830331715
37,21210.902528,2,62400684.2496,0.0337134017661401
38,21210.922528,1,62400704.256,0.0234259429999795
39,21210.942528,2,62400724.2368,0.0336334951953613
40,21210.962528,1,62400744.2176,0.023448480750712
41,21210.982528,2,62400764.2752,0.0334921220316758
42,21211.002528,1,62400784.2688,0.0234607740692933
43,21211.022528,2,62400804.3392,0.0332134734771652
44,21211.042528,1,62400824.3072,0.0233224742352531
45,21211.062528,2,62400844.3264,0.0331417624521073
46,21211.082528,1,62400864.32,0.0233870141578052
47,21211.102528,2,62400884.2624,0.0330956625074272
48,21211.122528,1,62400904.2688,0.0233439875427705
49,21211.142528,2,62400924.2752,0.0332011801585838
50,21211.162528,1,62400944.32,0.0232948142684451
51,21211.182528,2,62400964.288,0.0330096092773578
52,21211.202528,1,62400984.2432,0.0232773987337882
53,21211.222528,2,62401004.2624,0.0330587825516832
54,21211.242528,1,62401024.256,0.0232190054705268
55,21211.262528,2,62401044.2624,0.0330946380642121
56,21211.282528,1,62401064.2688,0.0232773987337882
57,21211.302528,2,62401084.2496,0.0329471182412359
58,21211.322528,1,62401104.3072,0.0232272010162477
59,21211.342528,2,62401124.2496,0.0329338004794394
60,21211.362528,1,62401144.32,0.0231513922183293
61,21211.382528,2,62401164.3136,0.0327791095539574
62,21211.402528,1,62401184.3072,0.0231104144897248
63,21211.422528,2,62401204.3264,0.0327924273157539
64,21211.442528,1,62401224.32,0.0231770032987072
65,21211.462528,2,62401244.288,0.0328303317147131
66,21211.482528,1,62401264.32,0.0231268055811666
67,21211.502528,2,62401284.3648,0.0327330096092774
68,21211.522528,1,62401304.3584,0.0230130923842891
69,21211.542528,2,62401324.3264,0.0328036961911201
70,21211.562528,1,62401344.3328,0.0229915790767718
71,21211.582528,2,62401364.352,0.0326899829942426
72,21211.602528,1,62401384.3072,0.023094023398283
73,21211.622528,2,62401404.3264,0.0326633474706497
74,21211.642528,1,62401424.3456,0.023047923453603
75,21211.662528,2,62401444.3776,0.0324553854979818
76,21211.682528,1,62401464.4096,0.0230581678857541
77,21211.702528,2,62401484.3776,0.0323396234146741
78,21211.722528,1,62401504.384,0.0230059212817834
79,21211.742528,2,62401524.352,0.0321685413977503
80,21211.762528,1,62401544.3968,0.0230171901571496
81,21211.782528,2,62401564.3776,0.0320302415637101
82,21211.802528,1,62401584.3072,0.0230366545782367
83,21211.822528,2,62401604.352,0.0320763415083902
84,21211.842528,1,62401624.3456,0.0230366545782367
85,21211.862528,2,62401644.3904,0.0320630237465937
86,21211.882528,1,62401664.3584,0.0230110434978589
87,21211.902528,2,62401684.3392,0.0320681459626693
88,21211.922528,1,62401704.3968,0.023094023398283
89,21211.942528,2,62401724.3776,0.0321101481344889
90,21211.962528,1,62401744.384,0.0230643145450448
91,21211.982528,2,62401764.352,0.0320917081566169
92,21212.002528,1,62401784.3712,0.0230223123732252
93,21212.022528,2,62401804.416,0.0321378081012969
94,21212.042528,1,62401824.4352,0.0230899256254226
95,21212.062528,2,62401844.3264,0.0320896592701867
96,21212.082528,1,62401864.4608,0.0230817300797017
97,21212.102528,2,62401884.4288,0.0322095191263548
98,21212.122528,1,62401904.3712,0.023057143442539
99,21212.142528,2,62401924.416,0.0320271682340648
100,21212.162528,1,62401944.384,0.0230878767389924
101,21212.182528,2,62401964.3904,0.0321080992480587
102,21212.202528,1,62401984.4352,0.0229946524064171
103,21212.222528,2,62402004.3904,0.0320415104390764
104,21212.242528,1,62402024.448,0.0230264101460856
105,21212.262528,2,62402044.4544,0.0320640481898088
106,21212.282528,1,62402064.3968,0.0230253857028705
107,21212.302528,2,62402084.416,0.0319902882783207
108,21212.322528,1,62402104.4224,0.0229854324174811
109,21212.342528,2,62402124.3904,0.0320230704612043
110,21212.362528,1,62402144.4608,0.0228963058577663
111,21212.382528,2,62402164.4416,0.0319318950150593
112,21212.402528,1,62402184.4096,0.0228799147663245
113,21212.422528,2,62402204.4032,0.0318950150593153
114,21212.442528,1,62402224.3968,0.0229608457803184
115,21212.462528,2,62402244.3776,0.0319206261396931
116,21212.482528,1,62402264.4608,0.0229045014034872
117,21212.502528,2,62402284.4288,0.0317813018624378
118,21212.522528,1,62402304.4736,0.0229075747331325
119,21212.542528,2,62402324.48,0.0317372508041879
120,21212.562528,1,62402344.4352,0.0228829880959698
121,21212.582528,2,62402364.4672,0.0317679841006413
122,21212.602528,1,62402384.4608,0.0228870858688303
123,21212.622528,2,62402404.4416,0.0317905218513738
124,21212.642528,1,62402424.512,0.022939332472801
125,21212.662528,2,62402444.4928,0.0317987173970947
126,21212.682528,1,62402464.4224,0.0228778658798943
127,21212.702528,2,62402484.4928,0.0318673550925072
128,21212.722528,1,62402504.448,0.0228676214477431
129,21212.742528,2,62402524.48,0.0320722437355297
130,21212.762528,1,62402544.5248,0.0228706947773885
131,21212.782528,2,62402564.4416,0.032101952588768
132,21212.802528,1,62402584.4736,0.0228584014588071
133,21212.822528,2,62402604.4672,0.0321070748048436
134,21212.842528,1,62402624.4224,0.0228532792427316
135,21212.862528,2,62402644.4928,0.032101952588768
136,21212.882528,1,62402664.4864,0.0228788903231094
137,21212.902528,2,62402684.672,0.0320978548159076
138,21212.922528,1,62402704.512,0.0228747925502489
139,21212.942528,2,62402724.4416,0.0321388325445121
