mouse_id,genotype,condition,week,mean_dFF,n_frames
588,NE,,Preinduction,-0.4521966248769752,9624
590,NE,,Preinduction,-0.14640633844837309,14428
566,NE,,Preinduction,-0.17238055222945156,14023
580,NE,,Preinduction,-0.09392396584379001,13706
533,NE,,Preinduction,0.07277040933825887,8576
541,NE,,Preinduction,-0.19010746502351256,14499
588,NE,,W1,-0.13865925206370244,13939
590,NE,,W1,9.65548881306517e-05,14998
566,NE,,W1,-0.010573706931133532,14958
580,NE,,W1,-0.10311044365871828,14502
533,NE,,W1,-0.3456594150150796,13994
541,NE,,W1,5.036831747938657e-12,14998
588,NE,,W2,-0.11624467479310785,12530
566,NE,,W2,-0.13574108995143006,14691
580,NE,,W2,-0.061749038506869636,14404
533,NE,,W2,-0.3652498937246835,13642
541,NE,,W2,-0.018028690674611256,14875
590,NE,,W2,-0.017064044106582084,14897
