mouse_id,genotype,condition,week,mean_dFF,n_frames
588,NE,,Preinduction,0.7215068631113432,4375
590,NE,,Preinduction,3.3971275228668434,304
566,NE,,Preinduction,2.3716520037894955,741
580,NE,,Preinduction,0.7608210140335511,562
533,NE,,Preinduction,0.8349952715039712,2356
541,NE,,Preinduction,3.8205892553222007,76
588,NE,,W1,1.236615999186364,582
580,NE,,W1,3.020631430855578,495
533,NE,,W1,4.793022708904547,789
588,NE,,W2,0.5944961095477674,1416
580,NE,,W2,1.6178743069147765,522
533,NE,,W2,3.7915360507927107,375
541,NE,,W2,3.273073999232844,104
