mouse_id,genotype,condition,week,mean_dFF,n_events
588,NE,,Preinduction,3.620193890860572,5
590,NE,,Preinduction,3.806369621050834,2
566,NE,,Preinduction,3.4223880577459314,2
580,NE,,Preinduction,0.7354889157217498,3
533,NE,,Preinduction,0.5228242145772461,5
541,NE,,Preinduction,4.216577819915036,1
588,NE,,W1,7.678156003895386,1
580,NE,,W1,5.704209422991475,1
533,NE,,W1,5.875766087337031,3
588,NE,,W2,2.141404530909866,5
580,NE,,W2,1.839153093064175,2
533,NE,,W2,5.8699046417925125,2
541,NE,,W2,3.5734185812098307,1
