mouse_id,genotype,condition,week,mean_dFF,n_events
588,NE,,Preinduction,-1.0555780489804973,5
590,NE,,Preinduction,-1.9778088675701522,2
566,NE,,Preinduction,-1.480680969199267,3
580,NE,,Preinduction,-0.21294140251721413,3
533,NE,,Preinduction,-0.27229612655521046,6
541,NE,,Preinduction,1.0328894900837764,1
588,NE,,W1,-1.5194494694367633,2
580,NE,,W1,0.22803085232768877,2
533,NE,,W1,-1.7927125996321192,3
588,NE,,W2,-1.8175914941878624,6
580,NE,,W2,-0.2621984247613696,2
533,NE,,W2,-0.442931666451778,2
541,NE,,W2,-4.746708949802903,1
