mouse_id,genotype,week,window,mean_dFF
588,NE,Preinduction,Pre (-2 to 0s),2.119271333600701
590,NE,Preinduction,Pre (-2 to 0s),2.843017193492962
566,NE,Preinduction,Pre (-2 to 0s),5.424436971968879
580,NE,Preinduction,Pre (-2 to 0s),1.1899432811243904
533,NE,Preinduction,Pre (-2 to 0s),1.3189767472115002
541,NE,Preinduction,Pre (-2 to 0s),2.6422509008390684
588,NE,W1,Pre (-2 to 0s),6.4556208771461
580,NE,W1,Pre (-2 to 0s),3.6902708298693088
533,NE,W1,Pre (-2 to 0s),4.5671052102175755
588,NE,W2,Pre (-2 to 0s),1.7668786365846287
580,NE,W2,Pre (-2 to 0s),1.498245793899505
533,NE,W2,Pre (-2 to 0s),4.944232062495468
541,NE,W2,Pre (-2 to 0s),-3.103753939856582
588,NE,Preinduction,Post (0 to 2s),3.620193890860572
590,NE,Preinduction,Post (0 to 2s),3.806369621050834
566,NE,Preinduction,Post (0 to 2s),3.4223880577459314
580,NE,Preinduction,Post (0 to 2s),0.7354889157217498
533,NE,Preinduction,Post (0 to 2s),0.5228242145772461
541,NE,Preinduction,Post (0 to 2s),4.216577819915036
588,NE,W1,Post (0 to 2s),7.678156003895386
580,NE,W1,Post (0 to 2s),5.704209422991475
533,NE,W1,Post (0 to 2s),6.194007225394395
588,NE,W2,Post (0 to 2s),2.141404530909866
580,NE,W2,Post (0 to 2s),1.839153093064175
533,NE,W2,Post (0 to 2s),5.8699046417925125
541,NE,W2,Post (0 to 2s),3.5734185812098307
