mouse_id,genotype,week,window,mean_dFF
588,NE,Preinduction,Pre (-2 to 0s),1.326237067359612
590,NE,Preinduction,Pre (-2 to 0s),3.0721291676522817
566,NE,Preinduction,Pre (-2 to 0s),2.5517475862972097
580,NE,Preinduction,Pre (-2 to 0s),0.41614474627001846
533,NE,Preinduction,Pre (-2 to 0s),1.5457051074999384
541,NE,Preinduction,Pre (-2 to 0s),4.5400125283899015
588,NE,W1,Pre (-2 to 0s),3.28623118287348
580,NE,W1,Pre (-2 to 0s),2.4299821757121345
533,NE,W1,Pre (-2 to 0s),4.286616483005116
588,NE,W2,Pre (-2 to 0s),2.5773507992949747
580,NE,W2,Pre (-2 to 0s),0.5536186483798226
533,NE,W2,Pre (-2 to 0s),2.6352709680605133
541,NE,W2,Pre (-2 to 0s),3.343014917719587
588,NE,Preinduction,Post (0 to 2s),0.2706590183791145
590,NE,Preinduction,Post (0 to 2s),1.0943203000821295
566,NE,Preinduction,Post (0 to 2s),1.0710666170979428
580,NE,Preinduction,Post (0 to 2s),0.20320334375280436
533,NE,Preinduction,Post (0 to 2s),1.2734089809447278
541,NE,Preinduction,Post (0 to 2s),5.572902018473679
588,NE,W1,Post (0 to 2s),1.766781713436717
580,NE,W1,Post (0 to 2s),2.6580130280398233
533,NE,W1,Post (0 to 2s),2.4939038833729974
588,NE,W2,Post (0 to 2s),0.7597593051071126
580,NE,W2,Post (0 to 2s),0.29142022361845293
533,NE,W2,Post (0 to 2s),2.192339301608735
541,NE,W2,Post (0 to 2s),-1.4036940320833164
