FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,17879.62256,7,59069022.5024,0.00392156862745098
1,17879.642528,2,59069042.4448,0.0427950908681132
2,17879.662528,1,59069062.4768,0.0237291781916528
3,17879.682528,2,59069082.432,0.0425123445407421
4,17879.702528,1,59069102.4256,0.0255209293748847
5,17879.722528,2,59069122.4192,0.0418997274981048
6,17879.742528,1,59069142.4384,0.0254953182945069
7,17879.762528,2,59069162.432,0.0412655971479501
8,17879.782528,1,59069182.4384,0.0252853074354089
9,17879.802528,2,59069202.432,0.0410484151863462
10,17879.822528,1,59069222.464,0.0251746675681767
11,17879.842528,2,59069242.432,0.0408404532136784
12,17879.862528,1,59069262.4512,0.025032269961276
13,17879.882528,2,59069282.4192,0.0406150757063536
14,17879.902528,1,59069302.4128,0.0250722232466654
15,17879.922528,2,59069322.4832,0.0404962402934005
16,17879.942528,1,59069342.4384,0.0248990923433114
17,17879.962528,2,59069362.4832,0.0403179871739709
18,17879.982528,1,59069382.464,0.0249185567643985
19,17880.002528,2,59069402.496,0.0400413875058905
20,17880.022528,1,59069422.464,0.0249031901161719
21,17880.042528,2,59069442.624,0.0397309812117114
22,17880.062528,1,59069462.464,0.0247966480218002
23,17880.082528,2,59069482.496,0.0392976417317188
24,17880.102528,1,59069502.4384,0.0245067305919233
25,17880.122528,2,59069522.4448,0.039044604257586
26,17880.142528,1,59069542.6048,0.0245436105476673
27,17880.162528,2,59069562.496,0.0390814842133301
28,17880.182528,1,59069582.464,0.0245118528079988
29,17880.202528,2,59069602.496,0.0392013440694982
30,17880.222528,1,59069622.5152,0.0245046817054931
31,17880.242528,2,59069642.4704,0.0390405064847256
32,17880.262528,1,59069662.4512,0.0244186284754236
33,17880.282528,2,59069682.4832,0.0390118220747024
34,17880.302528,1,59069702.5152,0.0243653574282378
35,17880.322528,2,59069722.4704,0.0389257688446329
36,17880.342528,1,59069742.528,0.0243602352121622
37,17880.362528,2,59069762.5344,0.0384862827053496
38,17880.382528,1,59069782.4896,0.024358186325732
39,17880.402528,2,59069802.5088,0.0380498698957117
40,17880.422528,1,59069822.4768,0.0242813530845985
41,17880.442528,2,59069842.5472,0.0376390681664515
42,17880.462528,1,59069862.5664,0.0241737865470117
43,17880.482528,2,59069882.496,0.0374731083656033
44,17880.502528,1,59069902.5664,0.0242229598213371
45,17880.522528,2,59069922.5088,0.0375837482328355
46,17880.542528,1,59069942.5024,0.0241625176716455
47,17880.562528,2,59069962.5216,0.0376237015182248
48,17880.582528,1,59069982.5152,0.0242045198434651
49,17880.602528,2,59070002.6112,0.0378962034134448
50,17880.622528,1,59070022.5664,0.0241420288073432
51,17880.642528,2,59070042.56,0.0380375765771303
52,17880.662528,1,59070062.528,0.0241358821480525
53,17880.682528,2,59070082.5728,0.038134898682566
54,17880.702528,1,59070102.5664,0.0240795377712213
55,17880.722528,2,59070122.5216,0.038216854139775
56,17880.742528,1,59070142.528,0.0241071977380294
57,17880.762528,2,59070162.5344,0.0381625586493741
58,17880.782528,1,59070182.5792,0.0241235888294712
59,17880.802528,2,59070202.5216,0.0381195320343393
60,17880.822528,1,59070222.6304,0.0241266621591165
61,17880.842528,2,59070242.6496,0.0381000676132522
62,17880.862528,1,59070262.6176,0.0240324133833262
63,17880.882528,2,59070282.6752,0.0382086585940541
64,17880.902528,1,59070302.592,0.0240436822586924
65,17880.922528,2,59070322.5472,0.0379033745159506
66,17880.942528,1,59070342.6048,0.0240928555330178
67,17880.962528,2,59070362.5856,0.0376534103714631
68,17880.982528,1,59070382.5408,0.0241256377159014
69,17881.002528,2,59070402.5472,0.0373921773516094
70,17881.022528,1,59070422.5664,0.024048804474768
71,17881.042528,2,59070442.5344,0.037160653184994
72,17881.062528,1,59070462.592,0.0240334378265413
73,17881.082528,2,59070482.5728,0.0369414223369599
74,17881.102528,1,59070502.528,0.0240436822586924
75,17881.122528,2,59070522.5728,0.0369578134284017
76,17881.142528,1,59070542.6176,0.0240754399983609
77,17881.162528,2,59070562.5984,0.0368533202204602
78,17881.182528,1,59070582.6432,0.0240139734054541
79,17881.202528,2,59070602.6368,0.0367283381482165
80,17881.222528,1,59070622.6176,0.0240272911672506
81,17881.242528,2,59070642.624,0.0366074538488332
82,17881.262528,1,59070662.5664,0.0240467555883377
83,17881.282528,2,59070682.624,0.0368738090847624
84,17881.302528,1,59070702.6304,0.0240016800868728
85,17881.322528,2,59070722.5728,0.036806195832565
86,17881.342528,1,59070742.6432,0.0239914356547217
87,17881.362528,2,59070762.5728,0.0368113180486406
88,17881.382528,1,59070782.5792,0.0240447067019075
89,17881.402528,2,59070802.6368,0.0368768824144078
90,17881.422528,1,59070822.6304,0.0239904112115065
91,17881.442528,2,59070842.6752,0.0374556928309464
92,17881.462528,1,59070862.6432,0.0239576290286229
93,17881.482528,2,59070882.6112,0.0380611387710779
94,17881.502528,1,59070902.6944,0.0240016800868728
95,17881.522528,2,59070922.6112,0.0382547585387342
96,17881.542528,1,59070942.592,0.023921773516094
97,17881.562528,2,59070962.6624,0.0383182740180712
98,17881.582528,1,59070982.6816,0.0239688979039892
99,17881.602528,2,59071002.688,0.0382650029708853
100,17881.622528,1,59071022.6816,0.0238961624357162
101,17881.642528,2,59071042.9312,0.0381103120454033
102,17881.662528,1,59071062.6176,0.0239975823140123
103,17881.682528,2,59071082.6624,0.0377486835904686
104,17881.702528,1,59071102.656,0.0239238224025242
105,17881.722528,2,59071122.688,0.0374270084209232
106,17881.742528,1,59071142.6688,0.0239084557542975
107,17881.762528,2,59071162.6624,0.0372210953346856
108,17881.782528,1,59071182.6816,0.0238664535824779
109,17881.802528,2,59071202.7008,0.0367990247300592
