trial_key,mouse_id,genotype,condition,week,n_peaks,trial_duration_s,peak_rate_per_min
Preinduction__ID588_NE__EPM_FP3_3__EPM_PReinduction_C3-Trial_____4,588,NE,,Preinduction,1240,599.84,124.033
Preinduction__ID590_NE__EPM_FP4_3__EPM_PReinduction_C3-Trial_____5,590,NE,,Preinduction,1185,599.84,118.531
Preinduction__ID566_NE__EPM_FP5_3__EPM_PReinduction_C3-Trial_____6,566,NE,,Preinduction,1440,599.84,144.038
Preinduction__ID580_NE__EPM_FP6_3__EPM_PReinduction_C3-Trial_____8,580,NE,,Preinduction,1113,599.84,111.33
Preinduction__ID533_NE__EPM_FP7_3__EPM_PReinduction_C3-Trial_____9,533,NE,,Preinduction,1152,599.88,115.223
Preinduction__ID541_NE__EPM_FP8_3__EPM_PReinduction_C3-Trial____10,541,NE,,Preinduction,1519,599.84,151.94
W1__ID588_NE__EPM_FP2_3__EPM_W1_C3-Trial_____4,588,NE,,W1,1464,599.84,146.439
W1__ID590_NE__EPM_FP3_3__EPM_W1_C3-Trial_____5,590,NE,,W1,1560,599.88,156.031
W1__ID566_NE__EPM_FP4_3__EPM_W1_C3-Trial_____6,566,NE,,W1,1641,599.88,164.133
W1__ID580_NE__EPM_FP5_3__EPM_W1_C3-Trial_____8,580,NE,,W1,1252,599.84,125.233
W1__ID533_NE__EPM_FP6_3__EPM_W1_C3-Trial_____9,533,NE,,W1,1444,599.84,144.438
W1__ID541_NE__EPM_FP7_3__EPM_W1_C3-Trial____10,541,NE,,W1,1842,599.88,184.237
W2__ID588_NE__EPM_FP2_3__EPM_W2_C3-Trial_____4,588,NE,,W2,1356,599.84,135.636
W2__ID566_NE__EPM_FP4_3__EPM_W2_C3-Trial_____6,566,NE,,W2,1482,599.84,148.24
W2__ID580_NE__EPM_FP5_3__EPM_W2_C3-Trial_____8,580,NE,,W2,1253,599.84,125.333
W2__ID533_NE__EPM_FP6_3__EPM_W2_C3-Trial_____9,533,NE,,W2,1387,599.84,138.737
W2__ID541_NE__EPM_FP7_3__EPM_W2_C3-Trial____10,541,NE,,W2,1624,599.84,162.443
W2__ID590_NE__EPM_FP10_3__EPM_W2_C3-Trial____13,590,NE,,W2,1352,599.84,135.236
