mouse_id,genotype,condition,week,mean_dFF,n_events
588,NE,,Preinduction,1.4491961645632845,12
590,NE,,Preinduction,2.5717515053824433,8
566,NE,,Preinduction,2.6687768370598355,7
580,NE,,Preinduction,1.1615689354226135,10
533,NE,,Preinduction,1.0486271194998154,11
541,NE,,Preinduction,4.345151727316394,9
588,NE,,W1,3.9409946677800347,5
590,NE,,W1,4.358832122505853,1
566,NE,,W1,11.218760226608094,2
580,NE,,W1,2.7661505597707805,2
533,NE,,W1,3.7616276822978265,3
541,NE,,W1,11.578974173224845,3
588,NE,,W2,1.2107134439949447,11
566,NE,,W2,6.348193547119277,5
580,NE,,W2,1.3268288593237982,4
533,NE,,W2,4.143821454297143,10
541,NE,,W2,4.273647356896246,3
590,NE,,W2,0.4652217525688758,1
