mouse_id,genotype,condition,week,mean_dFF,n_events
588,NE,,Preinduction,1.0721035604795845,12
590,NE,,Preinduction,1.0969396204279,8
566,NE,,Preinduction,-0.17852250411214518,7
580,NE,,Preinduction,-0.1805844732105327,10
533,NE,,Preinduction,0.03546545117869551,11
541,NE,,Preinduction,1.7526120364194644,9
588,NE,,W1,1.654206596375571,5
590,NE,,W1,-0.5828622852092474,1
566,NE,,W1,5.667405536162821,2
580,NE,,W1,-0.7523195016275128,2
533,NE,,W1,1.489310574712488,3
541,NE,,W1,-0.8213340190556794,3
588,NE,,W2,0.6074970744493662,11
566,NE,,W2,1.9085812040776227,5
580,NE,,W2,0.05442234458179408,4
533,NE,,W2,1.3496257668445646,10
541,NE,,W2,4.839337011125482,3
590,NE,,W2,-0.613955024020178,1
