mouse_id,genotype,condition,week,mean_dFF,n_events
588,NE,,Preinduction,0.9287643554416234,12
590,NE,,Preinduction,0.9210599803003914,9
566,NE,,Preinduction,1.7724504905905483,8
580,NE,,Preinduction,0.3961130083273496,9
533,NE,,Preinduction,1.4613895817820186,12
541,NE,,Preinduction,3.576732790576777,9
588,NE,,W1,1.6048101867727338,6
590,NE,,W1,1.0819227148077055,1
566,NE,,W1,3.6294548979008936,2
580,NE,,W1,1.930583970962607,3
533,NE,,W1,3.2598523223849187,4
541,NE,,W1,6.996717651053626,3
588,NE,,W2,1.4093044026981945,12
566,NE,,W2,2.751018058711659,5
533,NE,,W2,2.785596495387372,11
541,NE,,W2,1.2095105557065946,3
590,NE,,W2,-1.2914650246110377,1
