mouse_id,genotype,condition,week,mean_dFF,n_events
588,NE,,Preinduction,-0.8091317735997029,12
590,NE,,Preinduction,-1.7387715549885858,8
566,NE,,Preinduction,-0.07979964667677475,8
580,NE,,Preinduction,-0.17914900637721082,10
533,NE,,Preinduction,1.1646565552068513,12
541,NE,,Preinduction,-0.6219560609443502,9
588,NE,,W1,-3.4727577610022955,6
590,NE,,W1,-2.4836715329234065,1
566,NE,,W1,-6.484942531859432,2
580,NE,,W1,-0.5234376133260558,3
533,NE,,W1,-1.236236504098413,4
541,NE,,W1,-0.9166941690128049,3
588,NE,,W2,-0.11974456873364446,12
566,NE,,W2,-2.896498641631248,5
580,NE,,W2,-0.06501205605729826,4
533,NE,,W2,-0.35845212959919176,11
541,NE,,W2,-3.60223844669632,3
590,NE,,W2,-1.1550322390611958,1
