FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,10639.877568,7,64813130.5856,0.00392156862745098
1,10639.897536,2,64813150.1184,0.0346015940336427
2,10639.917536,1,64813170.112,0.0260515909603131
3,10639.937536,2,64813190.0928,0.0342911877394636
4,10639.957536,1,64813210.112,0.0260526154035282
5,10639.977536,2,64813230.208,0.0339684881267031
6,10639.997536,1,64813250.2784,0.025860020079087
7,10640.017536,2,64813270.1312,0.0337236461982912
8,10640.037536,1,64813290.24,0.0259081689101973
9,10640.057536,2,64813310.1312,0.033375335505153
10,10640.077536,1,64813330.2912,0.0258446534308603
11,10640.097536,2,64813350.1312,0.0331786424078513
12,10640.117536,1,64813372.992,0.0257340135636282
13,10640.137536,2,64813390.464,0.0329491671276661
14,10640.157536,1,64813410.176,0.0257391357797037
15,10640.177536,2,64813430.144,0.0327166185178356
16,10640.197536,1,64813450.1504,0.0256920113918086
17,10640.217536,2,64813472.5504,0.0327084229721147
18,10640.237536,1,64813490.6112,0.0256469358903436
19,10640.257536,2,64813513.1648,0.0325270965230397
20,10640.277536,1,64813530.1504,0.0255362960231114
21,10640.297536,2,64813550.1568,0.0325619275923536
22,10640.317536,1,64813570.304,0.025550638228123
23,10640.337536,2,64813590.2208,0.0325404142848362
24,10640.357536,1,64813610.1504,0.0255813715245764
25,10640.377536,2,64813631.6544,0.0322679123896162
26,10640.397536,1,64813650.2144,0.0255537115577684
27,10640.417536,2,64813670.1568,0.0320917081566169
28,10640.437536,1,64813690.1888,0.0255434671256172
29,10640.457536,2,64813710.4384,0.0318991128321757
30,10640.477536,1,64813730.2272,0.0255936648431577
31,10640.497536,2,64813750.4,0.0318806728543037
32,10640.517536,1,64813770.176,0.0255557604441986
33,10640.537536,2,64813790.1696,0.0317874485217284
34,10640.557536,1,64813810.1632,0.0255455160120475
35,10640.577536,2,64813830.208,0.0317526174524146
36,10640.597536,1,64813850.2016,0.0255199049316696
37,10640.617536,2,64813870.2336,0.0317515930091995
38,10640.637536,1,64813890.1888,0.0254983916241523
39,10640.657536,2,64813910.1952,0.0317556907820599
40,10640.677536,1,64813930.2144,0.0254666338844838
41,10640.697536,2,64813950.1952,0.0317229085991763
42,10640.717536,1,64813970.1888,0.0253805806544143
43,10640.737536,2,64813990.1952,0.0316225131640953
44,10640.757536,1,64814010.2016,0.0253908250865654
45,10640.777536,2,64814030.2592,0.0314022578728461
46,10640.797536,1,64814050.24,0.0253734095519085
47,10640.817536,2,64814070.2336,0.0314258200667937
48,10640.837536,1,64814090.2016,0.0253508718011761
49,10640.857536,2,64814110.336,0.0315569487983281
50,10640.877536,1,64814130.4064,0.0253621406765423
51,10640.897536,2,64814150.3232,0.0315098244104329
52,10640.917536,1,64814170.3424,0.0253549695740365
53,10640.937536,2,64814190.336,0.0314422111582355
54,10640.957536,1,64814210.2656,0.0253611162333272
55,10640.977536,2,64814230.3872,0.0313684512467474
56,10640.997536,1,64814250.3424,0.0253539451308214
57,10641.017536,2,64814270.2336,0.0312639580388059
58,10641.037536,1,64814290.2272,0.0253887762001352
59,10641.057536,2,64814310.2592,0.0313582068145963
60,10641.077536,1,64814330.2528,0.0253006740836355
61,10641.097536,2,64814350.2336,0.0314002089864159
62,10641.117536,1,64814370.3296,0.0253795562111992
63,10641.137536,2,64814390.5536,0.031356157928166
