mouse_id,genotype,condition,week,mean_dFF,n_events
588,NE,,Preinduction,0.39848404745293886,10
590,NE,,Preinduction,-0.1519497328660547,9
566,NE,,Preinduction,-0.2363031666962228,8
580,NE,,Preinduction,-0.7896802848433737,10
533,NE,,Preinduction,-0.5432066187584468,11
541,NE,,Preinduction,1.024902173485106,6
588,NE,,W1,0.5581287747675502,4
590,NE,,W1,-0.800659345101747,1
566,NE,,W1,-4.128244208419516,3
580,NE,,W1,-0.27542580813389106,2
533,NE,,W1,0.34458954211500936,3
541,NE,,W1,-3.3983290978472263,2
588,NE,,W2,0.3698336666665021,13
566,NE,,W2,2.020736092250363,5
533,NE,,W2,0.626145323931435,11
541,NE,,W2,3.105242526737635,4
590,NE,,W2,0.623660974182345,3
