mouse_id,genotype,condition,week,mean_dFF,n_events
588,NE,,Preinduction,0.41330894214457825,10
590,NE,,Preinduction,1.6596743685141604,9
566,NE,,Preinduction,1.1234601206199224,9
580,NE,,Preinduction,0.6208968723484409,10
533,NE,,Preinduction,1.082772149546824,12
541,NE,,Preinduction,5.457613290410158,6
588,NE,,W1,0.9590778055354221,5
590,NE,,W1,2.7603378600576285,1
566,NE,,W1,3.649583662529564,3
580,NE,,W1,1.6455063787501913,3
533,NE,,W1,2.7459518620818697,4
541,NE,,W1,3.49641484414246,2
588,NE,,W2,0.33491177773626796,14
566,NE,,W2,0.8506920632297215,5
533,NE,,W2,2.9301546826079226,12
541,NE,,W2,-0.5862122103828483,4
590,NE,,W2,2.1698484307456427,3
