method,trial_key,mouse_id,genotype,trial_type,timepoint,peak_number,peak_time_s,peak_amp_z,analysis_window,interaction_bout_number,trial_mean_z,mean_absolute_deviation,threshold_z
mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,1,13.0,1.5050470895667394,Outside interaction,,0.0,0.7116199755357224,1.4232399510714449
mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,2,15.879967999999735,6.897823024380224,Interaction,1.0,0.0,0.7116199755357224,1.4232399510714449
mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,3,16.759967999999844,8.499840592789157,Interaction,1.0,0.0,0.7116199755357224,1.4232399510714449
mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,4,19.959968000000117,1.7485453652843401,Interaction,1.0,0.0,0.7116199755357224,1.4232399510714449
mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,5,22.639967999999953,3.332336098278129,Interaction,1.0,0.0,0.7116199755357224,1.4232399510714449
mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,6,23.759967999999844,2.995107424185618,Interaction,1.0,0.0,0.7116199755357224,1.4232399510714449
mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,7,26.59996799999999,1.859775244455745,Interaction,1.0,0.0,0.7116199755357224,1.4232399510714449
mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,8,33.23996799999986,3.878733915268938,Interaction,2.0,0.0,0.7116199755357224,1.4232399510714449
mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,9,34.439968000000135,2.2524387957186818,Interaction,2.0,0.0,0.7116199755357224,1.4232399510714449
mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,10,38.759967999999844,1.8671070522718725,Interaction,2.0,0.0,0.7116199755357224,1.4232399510714449
mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,11,40.07996800000001,2.3643909747690532,Interaction,2.0,0.0,0.7116199755357224,1.4232399510714449
mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,12,44.039936000000125,1.4233169060098438,Interaction,2.0,0.0,0.7116199755357224,1.4232399510714449
mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,13,45.95993599999974,2.722926980222189,Interaction,2.0,0.0,0.7116199755357224,1.4232399510714449
mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,14,52.879935999999816,1.576087697946001,Outside interaction,,0.0,0.7116199755357224,1.4232399510714449
mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,15,57.759935999999925,4.0864355370238705,Interaction,4.0,0.0,0.7116199755357224,1.4232399510714449
mean_MAD,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,16,58.359935999999834,4.237367416550357,Interaction,4.0,0.0,0.7116199755357224,1.4232399510714449
