trial_type,analysis_window,timepoint,n_mice,mean_duration_s,mean_n_peaks,sd_n_peaks,mean_peaks_per_min,sd_peaks_per_min,sem_peaks_per_min
Novel,Interaction,Preinduction,12,26.35408333333334,7.583333333333333,5.124953806148063,20.878214809872613,16.271675160558136,4.697228017057194
Novel,Interaction,W1,12,46.85433333333331,16.166666666666668,12.25363273284764,20.907683091611514,8.602838591622799,2.4834255883341623
Novel,Interaction,W2,12,43.85999999999999,13.25,10.208062766977163,20.21131114821191,11.82206253237833,3.412735492722609
Novel,Outside interaction,Preinduction,12,273.49921799999976,49.333333333333336,10.873933246182094,10.83835421532095,2.3848667182337464,0.6884517208768165
Novel,Outside interaction,W1,12,252.98899733333357,37.833333333333336,14.395916929547218,8.806821516013612,2.7637709111612407,0.7978319397686998
Novel,Outside interaction,W2,12,255.99025600000036,49.0,13.416407864998739,11.342684135257521,2.385550965933044,0.6886492461735074
Social,Interaction,Preinduction,12,60.842666666666666,20.0,10.374794631045168,20.866517708000064,8.414832371910004,2.429152867553909
Social,Interaction,W1,12,52.95275000000001,19.583333333333332,11.555859067498131,25.79041628830699,11.460109138167217,3.3082485479316666
Social,Interaction,W2,12,54.764999999999986,18.75,7.735690602067091,23.08256217998552,9.52180355742929,2.748707923526269
Social,Outside interaction,Preinduction,12,239.0139626666669,35.25,7.641097017860959,8.905767487996243,2.0299586092613082,0.5859985747504074
Social,Outside interaction,W1,12,246.90068199999988,37.833333333333336,13.933826292570004,9.192086541965285,2.985035615232231,0.8617055579974744
Social,Outside interaction,W2,12,245.08854400000004,37.583333333333336,11.766349038549286,9.305925174416101,3.1492470734966544,0.9091093228139674
