FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,17414.320544,7,51006198.6944,0.00392156862745098
1,17414.340512,2,51006218.5856,0.060409367508759
2,17414.360512,1,51006238.6304,0.0301770237875715
3,17414.380512,2,51006258.6112,0.0598121171143483
4,17414.400512,1,51006278.592,0.0300213084188743
5,17414.420512,2,51006298.5728,0.0594955641608786
6,17414.440512,1,51006318.6048,0.0297938820251193
7,17414.460512,2,51006338.6496,0.0586237629848177
8,17414.480512,1,51006358.592,0.0296586555207245
9,17414.500512,2,51006378.5984,0.0583563833056734
10,17414.520512,1,51006398.6304,0.0295244534595447
11,17414.540512,2,51006418.6624,0.0573175978855492
12,17414.560512,1,51006438.6688,0.0293574692154814
13,17414.580512,2,51006458.7008,0.0568555739955334
14,17414.600512,1,51006478.72,0.0292314627000225
15,17414.620512,2,51006498.6624,0.0565646321224415
16,17414.640512,1,51006518.656,0.0290829184338312
17,17414.660512,2,51006538.7008,0.0561650992685475
18,17414.680512,1,51006558.6688,0.0288882742229598
19,17414.700512,2,51006578.688,0.0557317597885549
20,17414.720512,1,51006598.7456,0.028780707685373
21,17414.740512,2,51006618.688,0.0550064539922552
22,17414.760512,1,51006638.7328,0.0287694388100068
23,17414.780512,2,51006658.6624,0.0545454545454545
24,17414.800512,1,51006678.6432,0.0287561210482103
25,17414.820512,2,51006698.624,0.0540045485278751
26,17414.840512,1,51006718.6816,0.0285338168705309
27,17414.860512,2,51006738.5984,0.054076259552933
28,17414.880512,1,51006758.6816,0.0284836191529904
29,17414.900512,2,51006778.6752,0.0539420574917532
30,17414.920512,1,51006798.6688,0.0283483926485955
31,17414.940512,2,51006818.6624,0.0541940705226709
32,17414.960512,1,51006838.6688,0.028325854897863
33,17414.980512,2,51006858.6752,0.0537463888376667
34,17415.000512,1,51006878.6816,0.0282223861331366
35,17415.020512,2,51006898.6752,0.0533110004712439
36,17415.040512,1,51006918.7328,0.0282449238838691
37,17415.060512,2,51006938.7264,0.0531009896121458
38,17415.080512,1,51006958.6944,0.0280728174237302
39,17415.100512,2,51006978.6624,0.0528879054234024
40,17415.120512,1,51006998.6944,0.0280697440940849
41,17415.140512,2,51007018.6624,0.0529893253016985
42,17415.160512,1,51007038.72,0.0280103263876083
43,17415.180512,2,51007058.688,0.0526440879382056
44,17415.200512,1,51007078.6944,0.027880222099289
45,17415.220512,2,51007098.7008,0.0526174524146127
46,17415.240512,1,51007118.7072,0.0278638310078472
47,17415.260512,2,51007138.7392,0.0524084659987297
48,17415.280512,1,51007158.7072,0.0278228532792427
49,17415.300512,2,51007178.7008,0.0520212264634171
50,17415.320512,1,51007198.7328,0.0276999200934292
51,17415.340512,2,51007218.7136,0.0516852090888602
52,17415.360512,1,51007238.6816,0.0276517712623189
53,17415.380512,2,51007258.7136,0.0520458131005798
54,17415.400512,1,51007278.7456,0.0276118179769295
55,17415.420512,2,51007298.688,0.0516903313049358
56,17415.440512,1,51007318.7456,0.0275841580101215
57,17415.460512,2,51007338.7392,0.0516975024074416
58,17415.480512,1,51007358.7584,0.0276189890794353
59,17415.500512,2,51007378.752,0.051382998340402
60,17415.520512,1,51007398.72,0.0275144958714938
61,17415.540512,2,51007418.8032,0.0513768516811113
62,17415.560512,1,51007438.7968,0.027533960292581
63,17415.580512,2,51007458.7264,0.0514331960579425
64,17415.600512,1,51007478.7712,0.0274765914725347
65,17415.620512,2,51007498.7392,0.0514751982297621
66,17415.640512,1,51007518.7072,0.0274171737660581
67,17415.660512,2,51007538.7264,0.0514588071383203
68,17415.680512,1,51007558.7968,0.0274724936996742
69,17415.700512,2,51007578.7392,0.051382998340402
70,17415.720512,1,51007598.7456,0.027442784846436
71,17415.740512,2,51007618.752,0.0511606941627226
72,17415.760512,1,51007638.7456,0.0274591759378778
73,17415.780512,2,51007658.7392,0.0512365029606409
74,17415.800512,1,51007678.7712,0.0273567316163665
75,17415.820512,2,51007698.7648,0.0510500542954904
76,17415.840512,1,51007718.8096,0.0274345893007151
77,17415.860512,2,51007738.7776,0.0513328006228615
78,17415.880512,1,51007758.7584,0.0273516094002909
79,17415.900512,2,51007778.752,0.0510715676030078
80,17415.920512,1,51007798.784,0.0273413649681398
81,17415.940512,2,51007818.8288,0.0512242096420595
82,17415.960512,1,51007838.7968,0.0273997582314012
83,17415.980512,2,51007858.7648,0.0514301227282972
84,17416.000512,1,51007878.7968,0.0272911672505993
85,17416.020512,2,51007898.8032,0.0514639293543959
86,17416.040512,1,51007918.8608,0.027252238408425
87,17416.060512,2,51007938.8032,0.0514946626508493
88,17416.080512,1,51007958.8352,0.0272911672505993
89,17416.100512,2,51007978.816,0.0512887495646116
90,17416.120512,1,51007998.8096,0.0271651607351405
91,17416.140512,2,51008018.7904,0.0509179011207409
92,17416.160512,1,51008038.8608,0.0272604339541459
93,17416.180512,2,51008058.8416,0.0507037924887823
94,17416.200512,1,51008078.8352,0.0272481406355646
95,17416.220512,2,51008098.8672,0.0503390907042023
96,17416.240512,1,51008118.8224,0.0272030651340996
97,17416.260512,2,51008139.072,0.0501536664822669
98,17416.280512,1,51008158.848,0.0271733562808614
99,17416.300512,2,51008178.8032,0.0497613047308788
100,17416.320512,1,51008198.8352,0.0271979429180241
101,17416.340512,2,51008218.8416,0.0495533427582109
102,17416.360512,1,51008238.8224,0.0271375007683324
103,17416.380512,2,51008258.8416,0.0493566496609093
104,17416.400512,1,51008278.8224,0.0272368717601983
105,17416.420512,2,51008298.8288,0.0493873829573627
106,17416.440512,1,51008318.8736,0.0272133095662507
107,17416.460512,2,51008338.944,0.0491835187575553
108,17416.480512,1,51008358.8736,0.027233798430553
109,17416.500512,2,51008378.8544,0.0492316675886656
110,17416.520512,1,51008398.8608,0.027224578441617
111,17416.540512,2,51008418.9696,0.0495943204868154
112,17416.560512,1,51008438.9376,0.027188722929088
113,17416.580512,2,51008458.8928,0.0497643780605241
114,17416.600512,1,51008478.9376,0.027170282951216
115,17416.620512,2,51008498.8928,0.0499323867478026
116,17416.640512,1,51008518.8352,0.0271620874054951
117,17416.660512,2,51008538.8928,0.0498975556784887
118,17416.680512,1,51008558.8608,0.0272481406355646
119,17416.700512,2,51008578.8416,0.0497428647530067
120,17416.720512,1,51008598.8864,0.0271446718708382
121,17416.740512,2,51008618.8672,0.0494498739934845
122,17416.760512,1,51008638.9504,0.0272798983752331
123,17416.780512,2,51008658.8672,0.0495625627471469
124,17416.800512,1,51008678.9504,0.0271446718708382
125,17416.820512,2,51008698.9952,0.049299280840863
126,17416.840512,1,51008718.9376,0.0271508185301289
127,17416.860512,2,51008738.88,0.0493371852398222
128,17416.880512,1,51008758.912,0.0272276517712623
129,17416.900512,2,51008778.9056,0.0493484541151884
130,17416.920512,1,51008798.8736,0.0271477452004835
131,17416.940512,2,51008818.9184,0.0494980228245948
132,17416.960512,1,51008838.8992,0.0271344274386871
133,17416.980512,2,51008858.9056,0.0498750179277563
134,17417.000512,1,51008878.9376,0.0271436474276231
135,17417.020512,2,51008898.8928,0.0497336447640707
136,17417.040512,1,51008919.0528,0.0271436474276231
137,17417.060512,2,51008938.9824,0.0495031450406704
138,17417.080512,1,51008958.912,0.0270770586186408
139,17417.100512,2,51008978.9312,0.0491978609625668
140,17417.120512,1,51008998.9504,0.0271538918597742
141,17417.140512,2,51009018.9056,0.0493546007744791
142,17417.160512,1,51009038.9376,0.0271272563361813
143,17417.180512,2,51009058.9312,0.0491005388571311
144,17417.200512,1,51009078.912,0.0271241830065359
145,17417.220512,2,51009098.944,0.049126149937509
146,17417.240512,1,51009118.9248,0.0271190607904604
147,17417.260512,2,51009138.944,0.0492163009404389
148,17417.280512,1,51009158.9632,0.0270965230397279
149,17417.300512,2,51009178.944,0.0492972319544328
150,17417.320512,1,51009199.0144,0.0270893519372221
151,17417.340512,2,51009218.9568,0.0492951830680025
152,17417.360512,1,51009238.9504,0.0271497940869138
153,17417.380512,2,51009258.9696,0.0495420738828447
154,17417.400512,1,51009279.0016,0.0271805273833671
155,17417.420512,2,51009298.944,0.0495246583481878
156,17417.440512,1,51009319.0016,0.0271170119040302
157,17417.460512,2,51009338.9696,0.0494078718216649
158,17417.480512,1,51009358.9888,0.0270944741532977
159,17417.500512,2,51009378.9824,0.0492388386911713
160,17417.520512,1,51009398.9376,0.0271252074497511
161,17417.540512,2,51009418.9952,0.0490237056159977
162,17417.560512,1,51009439.0016,0.0270657897432745
163,17417.580512,2,51009458.944,0.0490984899707009
164,17417.600512,1,51009478.9888,0.0270278853443154
165,17417.620512,2,51009498.9696,0.0490216567295675
166,17417.640512,1,51009518.9632,0.0270381297764665
167,17417.660512,2,51009539.008,0.0491599565636077
168,17417.680512,1,51009559.0272,0.0270924252668675
169,17417.700512,2,51009578.9824,0.0491999098489971
170,17417.720512,1,51009599.04,0.0269408076710308
171,17417.740512,2,51009619.008,0.0491394676993054
172,17417.760512,1,51009639.1552,0.0270760341754257
173,17417.780512,2,51009658.9952,0.0493546007744791
174,17417.800512,1,51009679.0528,0.0270914008236523
175,17417.820512,2,51009698.9952,0.0491558587907472
176,17417.840512,1,51009719.04,0.0269797365132051
177,17417.860512,2,51009738.9824,0.0491159055053578
178,17417.880512,1,51009759.0144,0.0270217386850247
179,17417.900512,2,51009778.9824,0.0492501075665376
180,17417.920512,1,51009799.0656,0.0270729608457803
181,17417.940512,2,51009819.0592,0.049372016309136
182,17417.960512,1,51009839.0144,0.0271088163583093
183,17417.980512,2,51009859.0592,0.0493986518327289
184,17418.000512,1,51009879.0272,0.0270862786075768
185,17418.020512,2,51009899.008,0.049299280840863
186,17418.040512,1,51009919.1168,0.0271026696990186
187,17418.060512,2,51009939.0848,0.0491363943696601
188,17418.080512,1,51009959.04,0.0270289097875305
189,17418.100512,2,51009979.072,0.0489427746020038
190,17418.120512,1,51009999.0656,0.0271375007683324
191,17418.140512,2,51010019.0592,0.0490790255496138
192,17418.160512,1,51010039.1168,0.02716106296228
193,17418.180512,2,51010059.0336,0.0490564877988813
194,17418.200512,1,51010079.0144,0.0271293052226115
195,17418.220512,2,51010099.0592,0.0490841477656894
196,17418.240512,1,51010119.0528,0.0271057430286639
197,17418.260512,2,51010139.1104,0.0488802835658819
198,17418.280512,1,51010159.0656,0.0271405740979777
199,17418.300512,2,51010179.0464,0.0488956502141086
200,17418.320512,1,51010199.0784,0.0271682340647858
201,17418.340512,2,51010219.0848,0.0487952547790276
202,17418.360512,1,51010239.04,0.0271897473723032
203,17418.380512,2,51010259.0848,0.048553486180261
204,17418.400512,1,51010279.0912,0.0271754051672916
205,17418.420512,2,51010299.0336,0.0487501792775626
206,17418.440512,1,51010319.0912,0.0271805273833671
207,17418.460512,2,51010339.1232,0.0489509701477247
208,17418.480512,1,51010359.0656,0.0271989673612392
209,17418.500512,2,51010379.0976,0.0492849386358514
210,17418.520512,1,51010399.1168,0.0271282807793964
211,17418.540512,2,51010419.1872,0.0489960456491897
212,17418.560512,1,51010439.1296,0.0272348228737681
213,17418.580512,2,51010459.072,0.0490564877988813
214,17418.600512,1,51010479.1296,0.0271692585080009
215,17418.620512,2,51010499.0976,0.0487952547790276
216,17418.640512,1,51010519.0784,0.0271395496547626
217,17418.660512,2,51010539.136,0.0486907615710861
218,17418.680512,1,51010559.1296,0.0271006208125884
219,17418.700512,2,51010579.1104,0.0485411928616797
220,17418.720512,1,51010599.104,0.0271528674165591
221,17418.740512,2,51010619.1232,0.0485698772717028
222,17418.760512,1,51010639.1936,0.0271866740426578
223,17418.780512,2,51010659.2128,0.0484008441412093
224,17418.800512,1,51010679.1296,0.0271948695883787
225,17418.820512,2,51010699.1872,0.0483465486508083
226,17418.840512,1,51010719.1808,0.0271979429180241
227,17418.860512,2,51010739.1488,0.0482379576700064
228,17418.880512,1,51010759.1168,0.0272409695330588
229,17418.900512,2,51010779.0976,0.0485094351220112
230,17418.920512,1,51010799.104,0.02716106296228
231,17418.940512,2,51010819.1232,0.0487102259921733
232,17418.960512,1,51010839.1296,0.0272256028848321
233,17418.980512,2,51010859.136,0.0488761857930215
234,17419.000512,1,51010879.1552,0.0273280472063434
235,17419.020512,2,51010899.136,0.0491568832339623
236,17419.040512,1,51010919.2576,0.0272450673059192
237,17419.060512,2,51010939.1488,0.0492849386358514
238,17419.080512,1,51010959.1296,0.0272962894666749
239,17419.100512,2,51010979.1232,0.0493228430348106
240,17419.120512,1,51010999.1552,0.0272891183641691
241,17419.140512,2,51011019.1488,0.0493505030016186
242,17419.160512,1,51011039.168,0.027270678386297
243,17419.180512,2,51011059.1616,0.0494129940377405
244,17419.200512,1,51011079.1424,0.0272102362366054
245,17419.220512,2,51011099.1488,0.0494007007191591
246,17419.240512,1,51011119.168,0.0272440428627041
247,17419.260512,2,51011139.328,0.0492234720429447
248,17419.280512,1,51011159.1552,0.0271282807793964
249,17419.300512,2,51011179.1744,0.0494918761653042
250,17419.320512,1,51011199.1936,0.0271282807793964
251,17419.340512,2,51011219.1744,0.0495369516667691
252,17419.360512,1,51011239.1936,0.0273444382977852
253,17419.380512,2,51011259.1616,0.0495277316778331
254,17419.400512,1,51011279.168,0.0271682340647858
255,17419.420512,2,51011299.1616,0.04954514721249
256,17419.440512,1,51011319.1552,0.0271415985411929
257,17419.460512,2,51011339.1872,0.0497766713791055
258,17419.480512,1,51011359.2064,0.027224578441617
259,17419.500512,2,51011379.1744,0.0497889646976868
260,17419.520512,1,51011399.1808,0.0272737517159424
261,17419.540512,2,51011419.2128,0.0497479869690823
262,17419.560512,1,51011439.2576,0.0272624828405761
263,17419.580512,2,51011459.1872,0.0497735980494601
264,17419.600512,1,51011479.1808,0.0271282807793964
265,17419.620512,2,51011499.1872,0.0495195361321122
266,17419.640512,1,51011519.1808,0.0271876984858729
267,17419.660512,2,51011539.1872,0.0496230048968386
268,17419.680512,1,51011559.1936,0.0271948695883787
269,17419.700512,2,51011579.2256,0.0496281271129141
270,17419.720512,1,51011599.232,0.0272911672505993
271,17419.740512,2,51011619.2128,0.0495471960989202
272,17419.760512,1,51011639.3088,0.027334193865634
