mouse_id,genotype,condition,week,behavior,mean_dFF,n_events
584,NE,Hab,Preinduction,Novel_interaction,0.3473649351216112,8
584,NE,Hab,Preinduction,Social_interaction,3.611882947497343,4
450,NE,Hab,Preinduction,Novel_interaction,0.6994999175428126,3
450,NE,Hab,Preinduction,Social_interaction,0.8922130072235962,5
597,NE,Hab,Preinduction,Social_interaction,4.411903644199591,6
584,NE,Hab,W1,Novel_interaction,1.667625133617583,3
584,NE,Hab,W1,Social_interaction,0.11919365791994455,8
450,NE,Hab,W1,Novel_interaction,-1.1004754216873975,4
450,NE,Hab,W1,Social_interaction,-0.5463994809375171,8
597,NE,Hab,W1,Social_interaction,1.1173468402864806,15
584,NE,Hab,W2,Novel_interaction,-0.2798556752273104,9
584,NE,Hab,W2,Social_interaction,-0.013125073323239634,10
450,NE,Hab,W2,Novel_interaction,0.5645511812937416,17
450,NE,Hab,W2,Social_interaction,0.21495107017121143,13
597,NE,Hab,W2,Novel_interaction,0.5431161597443354,11
597,NE,Hab,W2,Social_interaction,1.62326964577096,8
