mouse_id,genotype,condition,week,behavior,mean_dFF,n_events
376,NE,Novel,Preinduction,Novel_interaction,-0.42046720456943004,5
376,NE,Novel,Preinduction,Social_interaction,1.2665233881895033,6
372,NE,Novel,Preinduction,Novel_interaction,0.18376687706439554,9
372,NE,Novel,Preinduction,Social_interaction,2.2077442181206304,5
423,NE,Novel,Preinduction,Social_interaction,1.3200816484489257,3
584,NE,Novel,Preinduction,Novel_interaction,-0.6237483413263595,11
584,NE,Novel,Preinduction,Social_interaction,-0.2020314938062331,5
450,NE,Novel,Preinduction,Novel_interaction,0.5476556316750194,5
450,NE,Novel,Preinduction,Social_interaction,1.1033895006006726,3
597,NE,Novel,Preinduction,Novel_interaction,1.5055158017967412,5
597,NE,Novel,Preinduction,Social_interaction,1.7237560532142582,4
459,NE,Novel,Preinduction,Novel_interaction,2.401016598481134,2
459,NE,Novel,Preinduction,Social_interaction,1.054799332371161,6
398,NE,Novel,Preinduction,Novel_interaction,2.9843579709931958,1
398,NE,Novel,Preinduction,Social_interaction,2.637680310738621,1
400,NE,Novel,Preinduction,Novel_interaction,0.6308495591287422,10
400,NE,Novel,Preinduction,Social_interaction,0.53974782622464,6
376,NE,Novel,W1,Novel_interaction,1.6125180179114906,8
376,NE,Novel,W1,Social_interaction,1.1886178192498418,3
372,NE,Novel,W1,Novel_interaction,3.3123016386165047,9
372,NE,Novel,W1,Social_interaction,0.4227683924924646,3
423,NE,Novel,W1,Novel_interaction,2.7167286900087313,5
423,NE,Novel,W1,Social_interaction,2.131215666587882,4
584,NE,Novel,W1,Novel_interaction,5.066905728785204,1
584,NE,Novel,W1,Social_interaction,0.7638282733238958,10
450,NE,Novel,W1,Novel_interaction,-0.05838804229521563,9
450,NE,Novel,W1,Social_interaction,-0.7281284125220979,7
597,NE,Novel,W1,Novel_interaction,0.8579718810825829,3
597,NE,Novel,W1,Social_interaction,-0.0036849343023400588,7
459,NE,Novel,W1,Novel_interaction,0.8285611107667812,4
459,NE,Novel,W1,Social_interaction,0.47503556500497096,13
398,NE,Novel,W1,Novel_interaction,1.0105586439704044,6
398,NE,Novel,W1,Social_interaction,1.788451379535265,6
400,NE,Novel,W1,Novel_interaction,0.19820403116454896,16
400,NE,Novel,W1,Social_interaction,1.3406257454863866,2
376,NE,Novel,W2,Novel_interaction,0.19146238314481304,9
376,NE,Novel,W2,Social_interaction,0.9264376627863294,13
372,NE,Novel,W2,Novel_interaction,0.46845263109338414,9
372,NE,Novel,W2,Social_interaction,3.1000441782654895,2
423,NE,Novel,W2,Novel_interaction,0.9165536010949794,12
423,NE,Novel,W2,Social_interaction,0.9734258656275726,5
459,NE,Novel,W2,Novel_interaction,0.6601585779375626,6
459,NE,Novel,W2,Social_interaction,0.7794039464675844,10
398,NE,Novel,W2,Novel_interaction,0.6770493968746086,13
398,NE,Novel,W2,Social_interaction,2.464767151772684,3
400,NE,Novel,W2,Novel_interaction,0.06962835369917335,5
400,NE,Novel,W2,Social_interaction,-0.8188107309358582,14
584,NE,Novel,W2,Novel_interaction,0.23572341653979093,14
584,NE,Novel,W2,Social_interaction,-0.9411872520691663,14
450,NE,Novel,W2,Novel_interaction,-0.0004867092058857825,17
450,NE,Novel,W2,Social_interaction,-0.01571150241064327,8
597,NE,Novel,W2,Novel_interaction,1.5108619749798815,8
597,NE,Novel,W2,Social_interaction,0.2547648875263829,9
