mouse_id,genotype,condition,week,behavior,mean_dFF,n_events
376,NE,Novel,Preinduction,Novel_interaction,0.012071044703558242,5
376,NE,Novel,Preinduction,Social_interaction,1.066375917856994,6
372,NE,Novel,Preinduction,Novel_interaction,0.7766037952915457,9
372,NE,Novel,Preinduction,Social_interaction,0.9398762025366618,5
423,NE,Novel,Preinduction,Social_interaction,1.2470158410928611,3
584,NE,Novel,Preinduction,Novel_interaction,0.612359544438208,10
584,NE,Novel,Preinduction,Social_interaction,-0.4624746395748631,5
450,NE,Novel,Preinduction,Novel_interaction,-0.10374255315447498,5
450,NE,Novel,Preinduction,Social_interaction,-0.09814961995756706,3
597,NE,Novel,Preinduction,Novel_interaction,2.552656771892209,3
597,NE,Novel,Preinduction,Social_interaction,0.282853928187609,4
459,NE,Novel,Preinduction,Novel_interaction,2.5648033981857066,2
459,NE,Novel,Preinduction,Social_interaction,0.23233882800660743,4
398,NE,Novel,Preinduction,Novel_interaction,1.4940590937875986,1
398,NE,Novel,Preinduction,Social_interaction,0.9844375819706397,1
400,NE,Novel,Preinduction,Novel_interaction,0.07345891462565228,9
400,NE,Novel,Preinduction,Social_interaction,-0.01636346592051665,5
376,NE,Novel,W1,Novel_interaction,1.2375388019680411,6
376,NE,Novel,W1,Social_interaction,0.39755146816828596,3
372,NE,Novel,W1,Novel_interaction,3.235509019307944,8
372,NE,Novel,W1,Social_interaction,0.07918973808325298,3
423,NE,Novel,W1,Novel_interaction,3.1019635036372515,5
423,NE,Novel,W1,Social_interaction,1.1800045202696583,4
584,NE,Novel,W1,Novel_interaction,3.1647880102690404,1
584,NE,Novel,W1,Social_interaction,0.12924979672106165,8
450,NE,Novel,W1,Novel_interaction,-0.576861495918324,7
450,NE,Novel,W1,Social_interaction,-0.5308169928570491,7
597,NE,Novel,W1,Novel_interaction,0.6181002927855317,3
597,NE,Novel,W1,Social_interaction,-0.3329057059280908,6
459,NE,Novel,W1,Novel_interaction,0.9238988138653572,4
459,NE,Novel,W1,Social_interaction,0.7044323348113537,11
398,NE,Novel,W1,Novel_interaction,0.6765153337752801,6
398,NE,Novel,W1,Social_interaction,1.9984859970906186,6
400,NE,Novel,W1,Novel_interaction,0.2749440698298438,15
400,NE,Novel,W1,Social_interaction,0.08445974598841455,2
376,NE,Novel,W2,Novel_interaction,0.7413441956794043,9
376,NE,Novel,W2,Social_interaction,1.012127985175864,10
372,NE,Novel,W2,Novel_interaction,0.20898064591825816,5
372,NE,Novel,W2,Social_interaction,1.649585175314219,2
423,NE,Novel,W2,Novel_interaction,1.0406381595643566,9
423,NE,Novel,W2,Social_interaction,0.3153445812879428,5
459,NE,Novel,W2,Novel_interaction,0.5345597480315833,5
459,NE,Novel,W2,Social_interaction,0.6790057976126403,9
398,NE,Novel,W2,Novel_interaction,0.8083552111789489,10
398,NE,Novel,W2,Social_interaction,1.5159633157123442,3
400,NE,Novel,W2,Novel_interaction,-0.15004595264236298,4
400,NE,Novel,W2,Social_interaction,-0.565865444395306,10
584,NE,Novel,W2,Novel_interaction,-1.2701705489084287,10
584,NE,Novel,W2,Social_interaction,0.1913733129411663,8
450,NE,Novel,W2,Novel_interaction,0.4704983897266396,10
450,NE,Novel,W2,Social_interaction,-0.5025350592568706,7
597,NE,Novel,W2,Novel_interaction,0.8395279054652681,7
597,NE,Novel,W2,Social_interaction,0.8377587788302459,7
