mouse_id,genotype,condition,week,behavior,mean_dFF,n_events
376,NE,Social,Preinduction,Novel_interaction,-0.7652121762738607,3
376,NE,Social,Preinduction,Social_interaction,1.3579613445600531,9
372,NE,Social,Preinduction,Novel_interaction,1.0823423676909247,5
372,NE,Social,Preinduction,Social_interaction,0.7628541244023154,3
423,NE,Social,Preinduction,Novel_interaction,0.5265978773937973,2
423,NE,Social,Preinduction,Social_interaction,0.9676806022597341,12
584,NE,Social,Preinduction,Novel_interaction,-1.8387222596831951,4
584,NE,Social,Preinduction,Social_interaction,0.6379440436804892,12
450,NE,Social,Preinduction,Novel_interaction,-0.1996796815645446,3
450,NE,Social,Preinduction,Social_interaction,1.179389661099881,9
597,NE,Social,Preinduction,Social_interaction,0.8989258562468312,11
459,NE,Social,Preinduction,Novel_interaction,1.4139303712000397,5
459,NE,Social,Preinduction,Social_interaction,2.206336750787245,5
398,NE,Social,Preinduction,Social_interaction,1.3207849410441053,5
400,NE,Social,Preinduction,Novel_interaction,1.3317654793140987,4
400,NE,Social,Preinduction,Social_interaction,0.461516844611312,7
376,NE,Social,W1,Novel_interaction,0.4588000343482933,5
376,NE,Social,W1,Social_interaction,1.8968284434966962,11
372,NE,Social,W1,Novel_interaction,2.6958103313190667,2
372,NE,Social,W1,Social_interaction,2.733094177980026,6
423,NE,Social,W1,Novel_interaction,1.2283963775138227,1
423,NE,Social,W1,Social_interaction,3.3563201142555124,5
584,NE,Social,W1,Social_interaction,0.8982104274578027,11
450,NE,Social,W1,Novel_interaction,-0.8821464290325431,2
450,NE,Social,W1,Social_interaction,0.10168975671313617,13
597,NE,Social,W1,Novel_interaction,0.8678620051574168,4
597,NE,Social,W1,Social_interaction,0.0736220216496855,12
459,NE,Social,W1,Novel_interaction,1.031243088912643,5
459,NE,Social,W1,Social_interaction,2.0202073627330046,7
398,NE,Social,W1,Novel_interaction,1.091105365037068,2
398,NE,Social,W1,Social_interaction,2.3693923423715524,8
400,NE,Social,W1,Novel_interaction,3.0587646816630865,3
400,NE,Social,W1,Social_interaction,1.048130413186732,7
376,NE,Social,W2,Novel_interaction,0.6145765144232265,9
376,NE,Social,W2,Social_interaction,1.7963015356456944,12
372,NE,Social,W2,Novel_interaction,1.445774540970972,4
372,NE,Social,W2,Social_interaction,3.4708239933167566,6
423,NE,Social,W2,Novel_interaction,0.8442770361720758,7
423,NE,Social,W2,Social_interaction,1.5632132173926407,9
459,NE,Social,W2,Novel_interaction,0.4682991981676526,9
459,NE,Social,W2,Social_interaction,2.0306461875298902,7
398,NE,Social,W2,Novel_interaction,1.3332302120235906,7
398,NE,Social,W2,Social_interaction,1.8006443701121828,6
400,NE,Social,W2,Novel_interaction,-0.2630957695116678,11
400,NE,Social,W2,Social_interaction,0.4869015576539439,3
584,NE,Social,W2,Novel_interaction,3.394268712706778,2
584,NE,Social,W2,Social_interaction,-0.31314395341712403,18
450,NE,Social,W2,Novel_interaction,1.3882310080844065,3
450,NE,Social,W2,Social_interaction,1.0252852790477933,7
597,NE,Social,W2,Novel_interaction,2.98377078272364,2
597,NE,Social,W2,Social_interaction,2.5415827509753903,8
